metrics,2019-01-07,2019-01-14,2019-01-21,2019-01-28,2019-02-04,2019-02-11,2019-02-18,2019-02-25,2019-03-04,2019-03-11,2019-03-18,2019-03-25,2019-04-01,2019-04-08,2019-04-15,2019-04-22,2019-04-29,2019-05-06,2019-05-13,2019-05-20,2019-05-27,2019-06-03,2019-06-10,2019-06-17,2019-06-24,2019-07-01,2019-07-08,2019-07-15,2019-07-22,2019-07-29,2019-08-05,2019-08-12,2019-08-19,2019-08-26,2019-09-02,2019-09-09,2019-09-16,2019-09-23,2019-09-30,2019-10-07,2019-10-14,2019-10-21,2019-10-28,2019-11-04,2019-11-11,2019-11-18,2019-11-25,2019-12-02,2019-12-09,2019-12-16,2019-12-23,2019-12-30,2020-01-06,2020-01-13,2020-01-20,2020-01-27,2020-02-03,2020-02-10,2020-02-17,2020-02-24,2020-03-02,2020-03-09,2020-03-16,2020-03-23,2020-03-30,2020-04-06,2020-04-13,2020-04-20,2020-04-27,2020-05-04,2020-05-11,2020-05-18,2020-05-25,2020-06-01,2020-06-08,2020-06-15,2020-06-22,2020-06-29,2020-07-06,2020-07-13,2020-07-20,2020-07-27,2020-08-03,2020-08-10,2020-08-17,2020-08-24,2020-08-31,2020-09-07,2020-09-14,2020-09-21,2020-09-28,2020-10-05,2020-10-12,2020-10-19,2020-10-26,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21,2020-12-28,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-05,2021-04-12,2021-04-19,2021-04-26,2021-05-03,2021-05-10,2021-05-17,2021-05-24,2021-05-31,2021-06-07,2021-06-14,2021-06-21,2021-06-28,2021-07-05,2021-07-12,2021-07-19,2021-07-26,2021-08-02,2021-08-09,2021-08-23,2021-08-30,2021-09-06,2021-09-13,2021-09-20,2021-09-27,2021-10-04,2021-10-11,2021-10-18,2021-10-25,2021-11-01,2021-11-08,2021-11-15,2021-11-22,2021-11-29,2021-12-06,2021-12-13,2021-12-20,2021-12-27,2022-01-03,2022-01-10,2022-01-17,2022-01-24,2022-01-31,2022-02-07,2022-02-14,2022-02-21,2022-02-28,2022-03-07,2022-03-14,2022-03-21,2022-03-28,2022-04-04,2022-04-11,2022-04-18,2022-04-25,2022-05-02,2022-05-09,2022-05-16,2022-05-23,2022-05-30,2022-06-06,2022-06-13,2022-06-20,2022-06-27,2022-07-04,2022-07-11,2022-07-18,2022-07-25,2022-08-01,2022-08-08,2022-08-15,2022-08-22,2022-08-29,2022-09-05,2022-09-12,2022-09-19,2022-09-26,2022-10-03,2022-10-10,2022-10-17,2022-10-24,2022-10-31,2022-11-07,2022-11-14,2022-11-21,2022-11-28,2022-12-05,2022-12-12,2022-12-19,2022-12-26
count,14838.0,14872.0,14804.0,14833.0,14861.0,14915.0,14813.0,14901.0,14887.0,14955.0,14987.0,14991.0,15071.0,14980.0,14931.0,15030.0,14996.0,15094.0,15118.0,15192.0,15110.0,15208.0,15194.0,15152.0,15228.0,15082.0,15222.0,15147.0,15256.0,15247.0,15202.0,15153.0,15252.0,15208.0,15112.0,15181.0,15199.0,15227.0,15077.0,15004.0,14934.0,14889.0,14828.0,14743.0,14715.0,14690.0,14620.0,14695.0,14691.0,14743.0,14432.0,14463.0,14631.0,14596.0,14533.0,14522.0,14520.0,14574.0,14620.0,14598.0,14577.0,14562.0,13925.0,13483.0,13395.0,13226.0,13362.0,13472.0,13544.0,13714.0,13734.0,14008.0,14106.0,14201.0,14226.0,14304.0,14339.0,14261.0,14347.0,14340.0,14422.0,14472.0,14561.0,14498.0,14482.0,14622.0,14583.0,14546.0,14564.0,14546.0,14588.0,14533.0,14369.0,14458.0,14763.0,14228.0,14264.0,14235.0,13936.0,14141.0,14138.0,13958.0,13685.0,13665.0,13951.0,13864.0,13827.0,13789.0,13776.0,13888.0,13861.0,13962.0,14028.0,14056.0,13842.0,13825.0,13855.0,13981.0,13745.0,13856.0,13933.0,13868.0,14055.0,13984.0,14170.0,14174.0,14141.0,14064.0,14136.0,13978.0,14021.0,14134.0,14108.0,14042.0,14117.0,14067.0,14063.0,14034.0,13950.0,13950.0,13997.0,13970.0,13995.0,13952.0,13855.0,13814.0,13918.0,13834.0,13826.0,13577.0,13774.0,13631.0,13830.0,13413.0,13327.0,13383.0,13479.0,13471.0,13438.0,13465.0,13662.0,13781.0,13667.0,13730.0,13898.0,14174.0,14058.0,14050.0,14068.0,14142.0,14068.0,14109.0,14256.0,14246.0,14326.0,14370.0,14311.0,14392.0,14186.0,13690.0,13773.0,13767.0,13779.0,13785.0,13818.0,13792.0,13787.0,14347.0,14347.0,14333.0,14237.0,14326.0,14294.0,14388.0,14317.0,14372.0,14372.0,14313.0,14262.0,14253.0,14307.0,14135.0,14208.0,14080.0,14091.0,13975.0,13809.0
mean,149.03962798220783,146.41373050026897,154.58713861118616,152.49882019820672,160.9629230872754,157.7461615822997,152.7382704381287,155.7808200791893,156.06999395445692,167.74891340688734,165.50743978114366,167.3484757521179,168.95202707185987,171.71769025367155,176.94541557832696,175.16726546906187,172.22472659375833,176.1706638399364,175.36757507606825,183.23301737756717,181.44493712773,189.0270910047344,189.33203896274844,193.19469376979936,194.9299973732598,187.96054899880653,195.2926028117199,194.9502871855813,195.60658101730468,193.50514855381385,193.84350743323247,194.7869728766581,198.3335955940205,199.4843503419253,194.8410534674431,186.14004347539688,187.5778669649319,180.96722926380767,178.5672879220004,172.75079978672355,168.34927012186955,160.3910940963127,158.25202319935258,158.3819439734111,154.53251783893987,151.73240299523485,161.0154582763338,152.79006464783942,163.87427676808932,173.57491690971986,156.76032427937915,143.9734494918067,140.8515480828378,137.26068785968758,140.4930847037776,138.2646329706652,138.51969696969698,146.40531082750104,148.0747606019152,145.61679682148238,143.60382794813748,129.13899189671747,83.47784560143627,62.99198991322406,60.71526689063083,60.02321185543626,62.29621314174525,63.32563836104513,68.22275546367395,72.87326819308736,72.6036114751711,81.39670188463735,84.81986388770736,90.17435391873812,93.96218192042738,100.81459731543625,103.58163051816724,105.3314634317369,105.7918728654074,106.35362622036264,106.38552211898488,108.72049474847982,113.85797678730856,114.30066216029796,116.32309073332412,118.18082341676926,120.20037029417816,116.6995050185618,111.09255698983796,110.32703148631926,111.87743350699203,113.7594440239455,113.02581947247546,110.08216904136118,141.37634627108312,100.68709586730392,101.01570386988222,99.45374077976818,100.3730625717566,94.89357188317658,101.77429622294524,101.7475999426852,103.9587869930581,101.2636663007684,89.58741308866747,89.27171090594345,89.92174730599551,86.24389005729205,79.27758420441347,92.1066388248848,89.83125315633792,91.59783698610514,93.0168234958654,94.01928002276608,93.51639936425372,92.37620253164556,94.77582100324793,92.9231814605536,91.17511822480904,94.032188221709,90.77915739610997,94.19873089126044,93.40576307363928,94.175057208238,100.03733239237826,101.52405813461267,100.75963510359946,104.80816268486916,106.18633276740238,108.51659751037344,108.0184009699736,109.78151973963492,110.53395236745108,108.37971798889048,110.1728412552242,109.312362266297,115.40460783616582,112.27141228445204,105.31670250896056,101.4853046594982,103.3742944916768,103.32512526843236,106.37341907824224,110.5455131880734,108.7745940093829,103.86274793687564,103.02809311682714,105.25198785600692,105.17351366989728,111.76555940192974,103.9874401045448,101.3686450003668,113.5994215473608,104.2847983299784,104.21250093794552,84.73369199731002,89.80562356257883,91.10578279266572,78.09421044798333,90.02005198663201,96.20363050797832,97.78992816196212,100.75971317772738,99.67596504005829,113.14707152108215,124.63609425709043,122.7395788874662,122.53836298932384,124.98194483935173,130.53457785320322,137.20770543076486,124.96973562973989,130.07793209876544,130.27193598203004,131.71199218204663,135.35462769659011,135.83327510306756,138.6596025569761,149.8094600310165,147.40540540540542,146.12807667174908,147.40371903827997,148.68756803831917,148.09401523394993,152.32595165725866,148.73419373549885,151.7128454341046,147.08796264027322,154.9494667874817,152.57043187050863,141.5654281098546,139.16271115454418,138.540716384497,142.88747567417292,148.32031850247958,152.67269691065962,148.66699137211245,148.02885488716552,142.25017529098304,149.37851680347998,144.82819598797792,153.08362221436153,136.83495213963965,136.55149147727272,145.7112341210702,138.9284436493739,150.7531320153523
std,582.837071467645,571.9263765533516,621.2377036543643,590.4524003655553,636.7884652164709,640.2058549730984,644.9749045371833,630.3400712153393,645.4514539513573,692.2316200278194,682.7959092570413,684.0000354799234,689.8253434025899,738.670281636605,781.4428848085645,750.0778285740738,711.1077214050671,730.0866905978437,749.5668520728191,778.7834873513017,779.1132770168712,799.0510358895141,809.5420398881726,855.1667881022573,877.0246504878618,848.4522411184788,877.0217346809358,881.9137777397021,899.7608843903674,873.3612754431299,875.789819808372,873.2971380111601,881.1499065819415,864.9460691416183,824.6412223124979,780.7361454879484,799.8903417735737,776.6135056449256,755.8353036875859,753.5913690847634,746.026314134633,682.3424208681193,648.9460688551455,664.1556588114669,644.6896417747444,634.2880989011742,720.6887937270978,632.635883944611,671.4576267388235,731.0073511644994,700.6680023391125,629.8060719563073,578.699412904841,569.0717369548425,584.7483819092976,553.7881331955865,565.2681005585797,622.8915738490766,663.3861836262612,618.2108060331273,597.647854698979,507.9597815440298,325.22344653536345,238.9907203055089,226.4112930424105,223.75227016181933,234.4150490211177,239.7125976973351,260.7884289279079,276.7233120281504,283.48257196097944,319.9787771536941,335.4671602657129,351.2254865687742,377.1748583739066,410.5636644535619,427.7862076082241,447.8419860532454,449.5344646918569,455.4439234733426,456.318738344548,468.8835004763472,477.0514329327454,486.71582895893226,491.13593967398685,487.09249444008015,489.7709757949888,464.1322186247321,426.257945023286,430.65130248514976,435.0825715856237,451.3990438868162,452.83650027204266,430.4236775387853,606.8539171882111,393.1162452733287,389.7711764228024,391.23248995669695,404.5780654996467,362.5402314723784,392.1459521865754,397.5476657941665,421.79722470526536,416.0716598117808,351.657834791991,350.1455759601945,355.16388697950697,331.5890507515434,299.632464822987,362.2572054926819,367.1883382942647,359.54633697236744,366.2578235741442,375.04006016548414,377.31040827566255,374.59759334827527,394.9805626182842,389.9391269298236,398.877201939625,414.6378729574229,385.6407358738509,390.0472933603549,397.1000063425169,399.1445699467056,433.8885082352364,449.1371219665371,435.4841359604828,463.4378143009298,490.8423693682091,503.21399567000753,521.3428006419667,519.589806272418,530.7701938743185,521.1826339126726,524.8163098924884,521.2875392016964,526.3149373682351,498.7023371064747,464.3264598885828,434.093433247108,453.2250098468408,453.5672239754893,483.3526508537175,505.59055822408703,486.265799264225,443.7792359535617,447.8093045510321,455.5918339344059,459.7034102223226,526.4706440417,437.6255505263296,425.57611761297073,490.2790872522235,458.19282147534113,460.4226156549602,363.40134658476046,376.9730706607476,385.7280931697812,308.990974136635,369.5760282077479,388.986380267194,432.7282912884533,469.1052703169191,442.53669535612767,529.5606049303036,575.431991818639,550.9239596653142,542.0759431339751,566.3596761943218,636.6009502506893,686.7022871767731,571.5407260524075,576.1108113489723,593.7151936494768,605.8224212760292,628.4814033048561,634.689674095555,641.293290240616,714.8152833055016,725.1950031089228,724.3659224102734,750.7245811774626,739.4019172529653,745.7140634739776,765.5062035645852,742.8111688502324,757.7948789063363,727.3163583408657,744.9183753384459,726.0196539815001,654.1864387324941,633.9838168678156,644.6657299992482,659.1057081575232,702.3236736300205,736.7062362413479,693.0300560320752,669.5764897251937,636.0724337999716,677.2489770243787,668.5556404103265,755.8586223027933,602.3863315670786,592.3394593771494,671.7908990646725,638.9302478611104,723.611198654565
min,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
q1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
q2,15.0,15.0,15.0,15.0,15.0,15.0,14.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,15.0,16.0,16.0,16.0,17.0,17.0,16.0,17.0,17.0,18.0,17.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,16.0,15.0,14.0,14.0,14.0,14.0,13.0,14.0,12.0,13.0,14.0,14.0,11.0,11.0,12.0,12.0,12.0,12.5,13.0,13.0,12.0,13.0,12.0,12.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,14.0,9.0,9.0,8.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,7.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0
q3,60.0,59.0,64.0,64.0,65.0,63.0,58.0,62.0,63.0,69.0,65.0,66.0,65.0,66.0,63.0,67.0,67.0,69.0,69.0,71.0,70.0,75.0,73.0,73.0,73.0,66.0,74.0,71.0,71.25,70.0,70.0,73.0,71.0,74.0,71.0,72.0,72.0,70.0,69.0,66.0,64.0,62.0,62.0,61.0,58.0,59.0,53.0,57.0,59.0,59.0,49.0,49.0,55.0,54.0,53.0,54.0,55.0,56.0,53.0,54.0,54.0,49.0,28.0,21.0,20.0,19.0,19.0,20.0,22.0,22.0,23.0,25.0,26.0,30.0,31.0,31.0,33.0,32.0,34.0,35.0,34.0,36.0,38.0,38.0,40.0,42.0,43.0,41.0,40.0,40.0,41.0,41.0,39.0,39.0,55.0,35.0,32.0,32.0,29.0,29.0,31.0,30.0,27.0,28.0,28.0,28.0,28.0,28.0,26.0,29.0,29.0,30.0,30.0,30.0,30.0,29.0,30.0,29.0,28.0,28.0,29.0,30.0,31.0,31.0,32.0,32.0,33.0,34.0,33.0,34.0,33.0,35.0,35.0,35.0,35.0,34.0,35.0,35.0,33.0,34.0,34.0,34.0,35.0,35.0,36.0,32.0,33.0,34.0,34.0,31.0,33.0,31.0,34.0,29.0,29.0,26.0,28.0,29.0,26.0,30.0,32.0,32.0,31.0,32.0,35.0,38.0,38.0,38.0,39.0,39.0,38.0,39.0,39.0,40.0,41.0,40.0,40.0,41.0,43.0,44.0,41.0,40.0,44.0,42.0,44.0,42.0,43.0,41.0,42.0,42.0,39.0,41.0,41.0,42.0,45.0,44.0,43.0,43.0,43.75,44.0,41.0,39.0,42.0,41.0,41.0,38.0,42.0
max,28852.0,28240.0,32358.0,29081.0,30245.0,33120.0,34547.0,31170.0,32592.0,34563.0,34165.0,34697.0,35111.0,38052.0,42162.0,39275.0,35836.0,37723.0,39751.0,42872.0,43073.0,40334.0,41515.0,45155.0,47070.0,50004.0,48656.0,46854.0,49697.0,48141.0,48933.0,49318.0,50023.0,48671.0,44412.0,40294.0,41084.0,41753.0,41135.0,40384.0,41129.0,35207.0,33992.0,35258.0,33733.0,33202.0,41607.0,31943.0,32805.0,34949.0,38529.0,32479.0,30017.0,29797.0,31906.0,28796.0,29552.0,33065.0,36477.0,31540.0,31655.0,26234.0,18601.0,14376.0,13195.0,13341.0,14020.0,14310.0,15892.0,16535.0,18005.0,20192.0,21258.0,21923.0,24755.0,26899.0,27760.0,29601.0,29911.0,30881.0,31126.0,32177.0,31890.0,33258.0,33490.0,31991.0,32169.0,29046.0,25757.0,27197.0,26666.0,28328.0,28030.0,26216.0,43319.0,23741.0,21600.0,22184.0,22042.0,18916.0,19832.0,19011.0,21387.0,22606.0,19423.0,19928.0,20584.0,18856.0,16355.0,20317.0,20857.0,20428.0,21144.0,21985.0,21587.0,21798.0,24620.0,23629.0,24555.0,24348.0,22913.0,22596.0,24182.0,23905.0,26042.0,28385.0,25664.0,27231.0,30365.0,30680.0,33155.0,31563.0,32422.0,32659.0,32170.0,32165.0,31506.0,28883.0,27988.0,25113.0,25951.0,26047.0,27280.0,28293.0,26583.0,23441.0,24936.0,24539.0,24890.0,30791.0,22720.0,21572.0,24640.0,23448.0,24248.0,18685.0,20306.0,21864.0,17389.0,21208.0,21239.0,24963.0,27282.0,23200.0,28498.0,30442.0,29718.0,29274.0,30458.0,36394.0,39466.0,30344.0,30511.0,33430.0,33302.0,35356.0,37136.0,34185.0,39347.0,41012.0,41566.0,44425.0,41978.0,42501.0,44732.0,44131.0,44780.0,43933.0,43295.0,41648.0,37313.0,35230.0,37089.0,37324.0,39587.0,40774.0,37496.0,35451.0,35111.0,36765.0,35179.0,43395.0,32010.0,32091.0,35723.0,34175.0,42552.0
sum,2211450.0,2177465.0,2288508.0,2262015.0,2392070.0,2352784.0,2262512.0,2321290.0,2323414.0,2508685.0,2480460.0,2508721.0,2546276.0,2572331.0,2641972.0,2632764.0,2582682.0,2659120.0,2651207.0,2783676.0,2741633.0,2874724.0,2876711.0,2927286.0,2968394.0,2834821.0,2972744.0,2952912.0,2984174.0,2950373.0,2946809.0,2951607.0,3024984.0,3033758.0,2944438.0,2825792.0,2850996.0,2755588.0,2692259.0,2591953.0,2514128.0,2388063.0,2346561.0,2335025.0,2273946.0,2228949.0,2354046.0,2245250.0,2407477.0,2559015.0,2262365.0,2082288.0,2060799.0,2003457.0,2041786.0,2007879.0,2011306.0,2133711.0,2164853.0,2125714.0,2093313.0,1880522.0,1162429.0,849321.0,813281.0,793867.0,832402.0,853123.0,924009.0,999384.0,997138.0,1140205.0,1196469.0,1280566.0,1336706.0,1442052.0,1485257.0,1502132.0,1517796.0,1525111.0,1534292.0,1573403.0,1657886.0,1657131.0,1684591.0,1728040.0,1752882.0,1697511.0,1617952.0,1604817.0,1632068.0,1653266.0,1624068.0,1591568.0,2087139.0,1432576.0,1440888.0,1415724.0,1398799.0,1341890.0,1438885.0,1420193.0,1422676.0,1383768.0,1249834.0,1237663.0,1243348.0,1189217.0,1092128.0,1279177.0,1245151.0,1278889.0,1304840.0,1321535.0,1294454.0,1277101.0,1313119.0,1299159.0,1253202.0,1302910.0,1264826.0,1306348.0,1312818.0,1316944.0,1417529.0,1439002.0,1424842.0,1474022.0,1501050.0,1516845.0,1514526.0,1551652.0,1559413.0,1521868.0,1555310.0,1537697.0,1622935.0,1575617.0,1469168.0,1415720.0,1446930.0,1443452.0,1488696.0,1542331.0,1507072.0,1434760.0,1433945.0,1456056.0,1454129.0,1517441.0,1432323.0,1381756.0,1571080.0,1398772.0,1388840.0,1133991.0,1210490.0,1227286.0,1049430.0,1212120.0,1314334.0,1347643.0,1377083.0,1368551.0,1572518.0,1766592.0,1725473.0,1721664.0,1758246.0,1846020.0,1930238.0,1763198.0,1854391.0,1855854.0,1886906.0,1945046.0,1943910.0,1995589.0,2125197.0,2017980.0,2012622.0,2029307.0,2048766.0,2041476.0,2104840.0,2051342.0,2091665.0,2110271.0,2223060.0,2186792.0,2015467.0,1993645.0,1980301.0,2055865.0,2123502.0,2194212.0,2136642.0,2118737.0,2028772.0,2129092.0,2072057.0,2163837.0,1944151.0,1922645.0,2053217.0,1941525.0,2081750.0
