metrics,2019-01-07,2019-01-14,2019-01-21,2019-01-28,2019-02-04,2019-02-11,2019-02-18,2019-02-25,2019-03-04,2019-03-11,2019-03-18,2019-03-25,2019-04-01,2019-04-08,2019-04-15,2019-04-22,2019-04-29,2019-05-06,2019-05-13,2019-05-20,2019-05-27,2019-06-03,2019-06-10,2019-06-17,2019-06-24,2019-07-01,2019-07-08,2019-07-15,2019-07-22,2019-07-29,2019-08-05,2019-08-12,2019-08-19,2019-08-26,2019-09-02,2019-09-09,2019-09-16,2019-09-23,2019-09-30,2019-10-07,2019-10-14,2019-10-21,2019-10-28,2019-11-04,2019-11-11,2019-11-18,2019-11-25,2019-12-02,2019-12-09,2019-12-16,2019-12-23,2019-12-30,2020-01-06,2020-01-13,2020-01-20,2020-01-27,2020-02-03,2020-02-10,2020-02-17,2020-02-24,2020-03-02,2020-03-09,2020-03-16,2020-03-23,2020-03-30,2020-04-06,2020-04-13,2020-04-20,2020-04-27,2020-05-04,2020-05-11,2020-05-18,2020-05-25,2020-06-01,2020-06-08,2020-06-15,2020-06-22,2020-06-29,2020-07-06,2020-07-13,2020-07-20,2020-07-27,2020-08-03,2020-08-10,2020-08-17,2020-08-24,2020-08-31,2020-09-07,2020-09-14,2020-09-21,2020-09-28,2020-10-05,2020-10-12,2020-10-19,2020-10-26,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21,2020-12-28,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-05,2021-04-12,2021-04-19,2021-04-26,2021-05-03,2021-05-10,2021-05-17,2021-05-24,2021-05-31,2021-06-07,2021-06-14,2021-06-21,2021-06-28,2021-07-05,2021-07-12,2021-07-19,2021-07-26,2021-08-02,2021-08-09,2021-08-23,2021-08-30,2021-09-06,2021-09-13,2021-09-20,2021-09-27,2021-10-04,2021-10-11,2021-10-18,2021-10-25,2021-11-01,2021-11-08,2021-11-15,2021-11-22,2021-11-29,2021-12-06,2021-12-13,2021-12-20,2021-12-27,2022-01-03,2022-01-10,2022-01-17,2022-01-24,2022-01-31,2022-02-07,2022-02-14,2022-02-21,2022-02-28,2022-03-07,2022-03-14,2022-03-21,2022-03-28,2022-04-04,2022-04-11,2022-04-18,2022-04-25,2022-05-02,2022-05-09,2022-05-16,2022-05-23,2022-05-30,2022-06-06,2022-06-13,2022-06-20,2022-06-27,2022-07-04,2022-07-11,2022-07-18,2022-07-25,2022-08-01,2022-08-08,2022-08-15,2022-08-22,2022-08-29,2022-09-05,2022-09-12,2022-09-19,2022-09-26,2022-10-03,2022-10-10,2022-10-17,2022-10-24,2022-10-31,2022-11-07,2022-11-14,2022-11-21,2022-11-28,2022-12-05,2022-12-12,2022-12-19,2022-12-26
count,1859.0,1856.0,1845.0,1865.0,1855.0,1865.0,1846.0,1864.0,1857.0,1862.0,1855.0,1858.0,1858.0,1868.0,1851.0,1861.0,1853.0,1861.0,1861.0,1869.0,1852.0,1867.0,1862.0,1866.0,1850.0,1862.0,1869.0,1860.0,1868.0,1867.0,1855.0,1851.0,1867.0,1859.0,1859.0,1854.0,1862.0,1858.0,1858.0,1843.0,1857.0,1843.0,1837.0,1837.0,1841.0,1836.0,1830.0,1835.0,1840.0,1840.0,1808.0,1811.0,1842.0,1833.0,1838.0,1842.0,1827.0,1832.0,1847.0,1838.0,1844.0,1839.0,1798.0,1755.0,1745.0,1715.0,1743.0,1727.0,1741.0,1742.0,1768.0,1774.0,1791.0,1804.0,1797.0,1783.0,1787.0,1802.0,1796.0,1802.0,1801.0,1799.0,1818.0,1816.0,1818.0,1818.0,1831.0,1816.0,1820.0,1813.0,1822.0,1817.0,1818.0,1813.0,2094.0,1806.0,1810.0,1820.0,1796.0,1808.0,1807.0,1807.0,1766.0,1782.0,1798.0,1792.0,1790.0,1799.0,1797.0,1797.0,1794.0,1789.0,1800.0,1815.0,1806.0,1791.0,1795.0,1795.0,1801.0,1783.0,1798.0,1794.0,1784.0,1803.0,1805.0,1798.0,1807.0,1813.0,1802.0,1807.0,1797.0,1817.0,1817.0,1805.0,1791.0,1802.0,1794.0,1793.0,1796.0,1808.0,1800.0,1803.0,1810.0,1801.0,1793.0,1797.0,1798.0,1809.0,1804.0,1794.0,1813.0,1788.0,1793.0,1767.0,1752.0,1786.0,1797.0,1788.0,1776.0,1800.0,1793.0,1812.0,1806.0,1823.0,1806.0,1821.0,1830.0,1795.0,1814.0,1819.0,1814.0,1825.0,1822.0,1826.0,1828.0,1829.0,1816.0,1824.0,1832.0,1708.0,1708.0,1690.0,1700.0,1706.0,1695.0,1694.0,1730.0,1815.0,1820.0,1831.0,1815.0,1833.0,1836.0,1832.0,1821.0,1831.0,1815.0,1834.0,1822.0,1820.0,1829.0,1802.0,1831.0,1777.0,1773.0,1775.0,1747.0
mean,109.47498655190962,109.06950431034484,108.73875338753388,112.55067024128688,114.83018867924528,109.48793565683646,105.22860238353196,111.17381974248929,110.78298330640818,113.33458646616542,114.81185983827493,115.78040904198062,116.9935414424112,114.52516059957172,107.63587250135062,113.0612573885008,112.7722611980572,113.29607737775387,113.99247716281567,115.82450508293203,107.64200863930886,118.89662560257096,116.44468313641246,118.14898177920686,118.53891891891892,97.59291084854996,117.482075976458,115.71774193548389,116.64721627408994,115.15586502410284,115.67385444743935,114.25823878984332,117.19389394750938,121.006993006993,113.72619688004303,124.80636461704422,125.60848549946294,123.89720129171153,119.82400430570506,114.99565925122084,107.7409800753904,110.2930005425936,108.125748502994,107.71747414262384,105.52906029331884,107.81971677559912,86.48142076502732,103.36730245231608,106.34782608695652,103.8907608695652,75.48561946902655,83.03036996134732,101.66232356134635,101.03655210038188,98.9885745375408,101.62595005428882,100.35413245758072,101.08842794759823,93.43638332430967,99.1126224156692,96.32917570498915,85.11147362697118,49.98943270300334,37.68262108262108,34.759885386819484,33.71778425655977,32.96213425129088,34.313839027214826,36.338311315336014,38.417336394948336,39.83766968325792,43.58793686583991,43.992741485203794,49.66574279379157,51.79020589872009,53.88839035333707,56.21600447677672,52.841287458379576,56.96325167037862,58.67591564927858,59.27540255413659,59.944413563090606,62.173817381738175,61.75330396475771,62.91419141914192,65.6116611661166,66.2818132168214,62.80286343612335,66.5445054945055,66.69608383894098,67.62239297475301,67.91029168959824,64.5935093509351,67.1880860452289,107.72492836676216,62.333333333333336,62.669060773480666,61.35274725274725,47.8195991091314,58.14380530973451,57.881571665744325,54.2197011621472,46.31879954699887,45.645903479236814,55.39210233592881,55.11830357142857,54.82178770949721,54.82601445247359,50.53811908736783,55.813021702838064,52.40746934225195,58.68529904974847,58.907222222222224,58.36363636363637,55.6672203765227,56.31546621998884,55.318105849582174,56.17158774373259,53.623542476402,53.25574873808189,53.21579532814238,55.09921962095875,56.31278026905829,55.155296727676095,56.25706371191136,53.35150166852058,57.85722191477587,56.68836183121898,57.37402885682575,56.77421140011068,53.17529215358932,58.59108420473308,59.03082003302146,58.26260387811634,59.4321608040201,58.99944506104328,61.2948717948718,61.7585052983826,56.375835189309576,61.010508849557525,62.95388888888889,62.77703826955075,62.60939226519337,61.633536923931146,65.16118237590631,61.44129104062326,62.56562847608454,62.48866777224986,63.82538802660754,50.9108138238573,62.268063982349695,57.64093959731544,62.66034578918015,48.54782116581777,44.855593607305934,49.92609182530795,52.90205898720089,52.48993288590604,54.645833333333336,55.00055555555556,59.404350250976016,58.76766004415011,52.90033222591362,59.737246297312126,67.43410852713178,71.91872597473916,72.38524590163935,74.18607242339833,73.93054024255788,72.24848818031886,70.67144432194047,72.67397260273972,73.88803512623491,75.33187294633078,75.41630196936542,74.73154729360306,69.76156387665198,76.38212719298245,75.80349344978166,72.43676814988291,70.4947306791569,67.12899408284024,74.46235294117648,73.27432590855803,76.70265486725664,75.2892561983471,74.58323699421965,76.12506887052342,79.14835164835165,80.84598580010923,75.33498622589532,83.94599018003274,82.10185185185185,84.69650655021834,85.8846787479407,84.98197706171491,89.08595041322315,88.79116684841875,87.77332601536773,90.26758241758242,88.97320940404593,73.5749167591565,82.56799563080284,71.72087788407428,72.52961082910322,65.0112676056338,57.108185460789926
std,248.54636981401643,245.3614002443926,247.4264084363681,258.82662501024976,265.77521253367746,256.6105685549076,239.1346793484732,259.1850161860314,259.4635604338974,271.6746665108241,273.96155146726994,279.00598658986286,278.5821880513184,281.107441349253,266.19303763517405,280.9528746086987,274.19722203836403,275.24741154073297,280.2407489333612,279.2448121568676,265.9677249480876,291.35493527864355,282.7913749432065,287.9444992164105,289.46398094941605,242.7088102877756,288.93024343699574,289.98306679664535,294.4145575832462,287.53451877520234,296.6214827613919,287.72475638853604,284.7909349682343,298.04088234777606,289.9004576889314,305.7308297357157,310.16744501527245,298.5016607091509,286.43150062454936,275.91740763040326,255.583015913406,254.3722231169016,253.1898006186408,252.6378098110456,246.24572021802229,250.71797211247605,205.13753120201525,247.73928590974052,253.9762049192816,244.44467703777397,181.72410418576132,196.84387527137312,236.045183401132,235.14362255126852,228.99324377392037,237.27415835832952,234.89574238344235,237.7101136452939,218.31559733709,236.47248828893652,227.73112339643092,191.336602356874,109.12857334299896,82.82603321878251,77.94389887314131,76.19604622724995,75.48660171435398,77.19996269807113,80.04146100412848,83.77342736086922,85.9813301854742,93.17234054881315,96.4419555238972,104.94698617551484,109.9327743241959,113.93318377268024,119.57738811411032,115.58808090169578,122.35001067103944,126.97864903078408,127.64940135720094,130.49044229030412,136.0072051931476,134.59007343732924,138.00449175101883,141.68919964864617,148.90180610159516,136.10450009079162,142.51919692661951,143.68394065634476,144.36280910086182,151.01360978421144,140.22920266801873,145.49066116047075,244.24423009833905,135.9848560358792,132.85629165737015,131.5692397020252,108.3063887500326,123.13713972721207,124.6073448743794,116.3364582901052,101.15388528161736,100.8098358354805,117.1022520424718,116.84412662695314,115.5709818456262,116.8680709997436,110.79735469684609,120.67979585065044,113.23898182591452,127.34911637055332,129.27741092336225,130.1607055193733,123.101815841218,127.49571744716108,128.4601178334319,130.18738992088242,124.03890689304576,124.20697350115331,106.02860323076852,125.27982808760352,125.81585121762798,124.45003659144378,127.41899457590635,123.30756965397867,136.75680891953766,131.24246414702577,133.73945994068146,134.63741118547264,128.5015052449071,136.9500237947446,141.82550835631665,141.14957927053604,146.9276824119935,144.79931353091962,148.112706013207,157.49626631202685,141.38553804538438,145.28987645951966,153.4814533299528,150.29978989358477,153.72294009305233,156.83735406530377,164.44233822070902,147.27927703285732,149.3939374820609,150.1173398303757,151.38590298813196,128.0792806671044,147.72819688544445,141.3777508285335,152.00113470005286,112.74168379309644,108.02567662596866,111.5747033268595,121.02106601759218,121.9498067020532,121.87361782049992,128.2668212422753,138.63350532259153,140.4794291283092,128.31984376782387,145.0587964008703,166.31544246951592,176.28999892385784,177.94432970253817,181.48351539767572,182.85395033420627,186.8661765077636,190.43127263609432,179.3510154416927,188.87565702367831,190.27173774252068,192.7167198154922,191.64802254601872,177.7644086710556,194.2565594585545,198.86321558595276,192.58714378218968,180.6480052153071,189.06617278223263,195.60620761689168,194.21339295530345,208.4000786025343,196.64027480505175,200.913901713156,190.9592488858345,202.73458974367176,223.4955685530233,203.6341655749389,215.63829751798764,208.49649655470924,213.0885402211697,214.39596183683943,219.21219652813625,225.96756871797527,223.94424065485245,214.75340875017835,225.7703575839525,218.67336943144568,189.80038958856724,192.7848219834292,182.6376679869116,186.44952187483372,154.46508742304445,149.97641386337898
min,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
q1,13.0,13.0,13.0,13.0,14.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,12.0,11.0,12.0,13.0,13.0,12.0,13.0,12.0,13.0,13.0,13.0,13.0,10.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,12.0,13.0,13.0,13.0,14.0,14.0,12.0,11.0,12.0,11.0,11.0,10.0,11.0,9.0,10.5,11.0,11.0,7.0,8.0,10.0,10.0,10.0,10.0,11.0,11.0,10.0,11.0,10.0,10.0,6.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0,6.0,7.0,7.0,7.0,7.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,10.0,7.0,7.25,7.0,6.0,7.0,7.0,7.0,6.0,5.0,6.0,6.0,7.0,7.0,6.0,7.0,6.0,7.0,7.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,5.0,7.0,6.0,8.0,6.0,5.0,5.0,7.0,6.0,7.0,6.0,7.0,7.0,6.0,7.0,8.0,9.0,8.0,9.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.5,7.0,9.0,8.0,8.0,9.0,8.5,9.0,9.0,9.0,9.0,9.0,7.0,9.0,9.0,9.0,9.0,7.0
q2,35.0,35.5,36.0,37.0,36.0,35.0,34.0,36.0,36.0,36.0,36.0,38.0,37.0,37.0,35.0,36.0,36.0,37.0,36.0,38.0,34.0,38.0,38.0,36.0,37.0,30.0,36.0,36.0,36.0,36.0,36.0,35.0,38.0,38.0,34.0,40.0,40.0,40.0,38.0,37.0,33.0,34.0,33.0,34.0,32.0,34.0,26.0,31.0,33.0,32.0,22.0,26.0,32.5,32.0,30.0,31.5,30.0,31.0,29.0,31.0,30.0,28.0,16.0,11.0,10.0,10.0,10.0,10.0,10.0,12.0,12.0,14.0,14.0,16.0,17.0,18.0,19.0,17.0,20.0,19.0,20.0,19.0,21.0,20.0,20.0,23.0,22.0,21.5,23.0,22.0,23.0,22.0,21.0,22.0,33.0,20.0,21.0,20.0,15.0,19.0,19.0,17.0,15.0,14.0,18.0,18.0,18.5,18.0,16.0,19.0,17.0,20.0,20.0,19.0,19.0,18.0,18.0,18.0,18.0,17.0,18.0,18.0,19.0,18.0,18.0,17.0,18.0,19.0,19.0,18.0,16.0,18.0,18.0,18.0,19.0,19.0,19.0,19.0,17.0,19.0,20.0,20.0,19.0,19.0,20.0,19.0,20.0,19.0,20.0,15.0,20.0,19.0,20.0,15.0,13.0,16.0,17.0,17.0,17.0,17.0,19.0,18.0,16.0,19.0,21.0,22.0,21.0,23.0,22.0,22.0,20.0,22.0,22.0,23.0,22.0,23.0,21.0,23.0,22.0,22.0,21.0,19.0,22.5,22.0,23.0,23.0,23.0,24.0,23.0,23.0,22.0,24.0,24.0,25.0,25.0,25.0,26.0,27.0,26.0,27.0,27.0,20.5,25.0,25.0,26.0,25.0,19.0
q3,104.5,104.5,105.0,105.0,107.0,102.0,99.75,104.0,100.0,104.0,104.0,104.0,103.0,102.25,94.5,103.0,103.0,105.0,102.0,105.0,98.0,106.5,105.75,106.0,108.0,83.0,108.0,102.0,101.0,103.0,101.0,103.5,103.0,112.0,100.0,116.75,110.0,114.0,109.75,105.0,101.0,103.5,101.0,101.0,100.0,103.0,78.0,94.5,97.0,100.0,66.0,75.0,93.75,94.0,90.0,93.0,92.0,91.0,87.0,90.75,86.0,81.0,47.0,34.0,30.0,30.0,27.0,29.0,34.0,36.0,37.0,39.0,40.0,48.0,50.0,51.0,52.0,49.0,53.0,56.0,53.0,58.0,60.0,60.0,57.0,64.0,62.0,59.0,62.25,65.0,65.75,66.0,60.0,64.0,97.0,58.75,58.0,61.0,43.0,56.0,53.5,48.0,41.0,40.0,53.0,52.0,50.75,50.0,44.0,51.0,48.0,54.0,54.0,51.0,49.0,52.0,50.0,49.5,49.0,46.0,48.0,52.0,50.0,49.0,51.0,44.0,48.0,49.0,49.75,50.0,45.0,53.0,52.0,50.0,51.0,51.0,54.0,54.0,49.25,53.0,54.0,55.0,57.0,52.0,58.0,54.0,57.0,51.0,57.0,43.0,53.0,53.0,57.0,45.0,39.0,43.0,47.0,47.0,50.25,48.25,53.0,52.0,46.0,52.0,60.0,61.0,62.0,65.0,63.0,60.0,60.0,61.0,66.0,66.75,66.0,66.0,58.0,61.0,62.0,60.0,56.0,51.0,60.0,58.75,62.0,61.0,61.0,67.0,70.0,65.0,60.0,68.0,66.0,70.0,70.0,69.0,75.5,73.0,71.75,73.0,74.0,59.75,74.5,67.0,66.0,61.0,51.5
max,5351.0,5100.0,5301.0,5494.0,5649.0,5497.0,5034.0,5533.0,5586.0,6003.0,5990.0,6264.0,5956.0,6316.0,5993.0,6305.0,6200.0,6179.0,6297.0,6074.0,6056.0,6499.0,6232.0,6367.0,6387.0,5605.0,6388.0,6409.0,6560.0,6408.0,6765.0,6329.0,6228.0,6657.0,6595.0,6692.0,6755.0,6446.0,6240.0,5859.0,5696.0,5486.0,5447.0,5637.0,5232.0,5446.0,4568.0,5464.0,5651.0,5429.0,4209.0,4515.0,5237.0,5124.0,4870.0,5185.0,5120.0,5097.0,4785.0,5230.0,5069.0,4403.0,2438.0,1702.0,1636.0,1610.0,1647.0,1644.0,1646.0,1800.0,1846.0,1987.0,2147.0,2310.0,2406.0,2488.0,2629.0,2586.0,2749.0,2854.0,2782.0,2964.0,3044.0,3037.0,3037.0,3189.0,3466.0,3060.0,3090.0,3148.0,3076.0,3310.0,3064.0,3172.0,4227.0,3002.0,2847.0,2881.0,2526.0,2601.0,2781.0,2496.0,2303.0,2242.0,2421.0,2562.0,2449.0,2472.0,2388.0,2607.0,2453.0,2767.0,2856.0,2936.0,2782.0,2976.0,3007.0,3057.0,2871.0,2931.0,1752.0,2902.0,2793.0,2780.0,2784.0,2722.0,3069.0,2960.0,2935.0,2982.0,2921.0,3034.0,3090.0,3112.0,3458.0,3401.0,3427.0,3920.0,3519.0,3413.0,3680.0,3504.0,3575.0,3816.0,3955.0,3438.0,3512.0,3477.0,3516.0,3139.0,3485.0,3434.0,3588.0,2665.0,2582.0,2525.0,2920.0,2955.0,2695.0,3001.0,3295.0,3331.0,3111.0,3398.0,4032.0,4151.0,4140.0,4261.0,4395.0,4651.0,4810.0,4248.0,4783.0,4712.0,4865.0,4714.0,4369.0,4758.0,5060.0,4689.0,4306.0,4909.0,4740.0,4773.0,5113.0,4755.0,4963.0,4663.0,4856.0,5847.0,5058.0,5160.0,4843.0,4945.0,4983.0,5347.0,5339.0,5209.0,5141.0,5416.0,5082.0,4593.0,4940.0,5006.0,5153.0,4100.0,4070.0
sum,203514.0,202433.0,200623.0,209907.0,213010.0,204195.0,194252.0,207228.0,205724.0,211029.0,212976.0,215120.0,217374.0,213933.0,199234.0,210407.0,208967.0,210844.0,212140.0,216476.0,199353.0,221980.0,216820.0,220466.0,219297.0,181718.0,219574.0,215235.0,217897.0,214996.0,214575.0,211492.0,218801.0,224952.0,211417.0,231391.0,233883.0,230201.0,222633.0,211937.0,200075.0,203270.0,198627.0,197877.0,194279.0,197957.0,158261.0,189679.0,195680.0,191159.0,136478.0,150368.0,187262.0,185200.0,181941.0,187195.0,183347.0,185194.0,172577.0,182169.0,177631.0,156520.0,89881.0,66133.0,60656.0,57826.0,57453.0,59260.0,63265.0,66923.0,70433.0,77325.0,78791.0,89597.0,93067.0,96083.0,100458.0,95220.0,102306.0,105734.0,106755.0,107840.0,113032.0,112144.0,114378.0,119282.0,121362.0,114050.0,121111.0,120920.0,123208.0,123393.0,117431.0,121812.0,225576.0,112574.0,113431.0,111662.0,85884.0,105124.0,104592.0,97975.0,81799.0,81341.0,99595.0,98772.0,98131.0,98632.0,90817.0,100296.0,94019.0,104988.0,106033.0,105930.0,100535.0,100861.0,99296.0,100828.0,96576.0,94955.0,95682.0,98848.0,100462.0,99445.0,101544.0,95926.0,104548.0,102776.0,103388.0,102591.0,95556.0,106460.0,107259.0,105164.0,106443.0,106317.0,109963.0,110733.0,101251.0,110307.0,113317.0,113187.0,113323.0,111002.0,116834.0,110410.0,112493.0,113042.0,115141.0,91334.0,112892.0,103062.0,112350.0,85784.0,78587.0,89168.0,95065.0,93852.0,97051.0,99001.0,106512.0,106487.0,95538.0,108901.0,121786.0,130964.0,132465.0,133164.0,134110.0,131420.0,128198.0,132630.0,134624.0,137556.0,137861.0,136684.0,126687.0,139321.0,138872.0,123722.0,120405.0,113448.0,126586.0,125006.0,130011.0,127540.0,129029.0,138167.0,144050.0,148029.0,136733.0,153873.0,150739.0,155164.0,156396.0,155602.0,161691.0,162843.0,159923.0,164287.0,162732.0,132582.0,151182.0,127448.0,128595.0,115395.0,99768.0
