metrics,2019-01-07,2019-01-14,2019-01-21,2019-01-28,2019-02-04,2019-02-11,2019-02-18,2019-02-25,2019-03-04,2019-03-11,2019-03-18,2019-03-25,2019-04-01,2019-04-08,2019-04-15,2019-04-22,2019-04-29,2019-05-06,2019-05-13,2019-05-20,2019-05-27,2019-06-03,2019-06-10,2019-06-17,2019-06-24,2019-07-01,2019-07-08,2019-07-15,2019-07-22,2019-07-29,2019-08-05,2019-08-12,2019-08-19,2019-08-26,2019-09-02,2019-09-09,2019-09-16,2019-09-23,2019-09-30,2019-10-07,2019-10-14,2019-10-21,2019-10-28,2019-11-04,2019-11-11,2019-11-18,2019-11-25,2019-12-02,2019-12-09,2019-12-16,2019-12-23,2019-12-30,2020-01-06,2020-01-13,2020-01-20,2020-01-27,2020-02-03,2020-02-10,2020-02-17,2020-02-24,2020-03-02,2020-03-09,2020-03-16,2020-03-23,2020-03-30,2020-04-06,2020-04-13,2020-04-20,2020-04-27,2020-05-04,2020-05-11,2020-05-18,2020-05-25,2020-06-01,2020-06-08,2020-06-15,2020-06-22,2020-06-29,2020-07-06,2020-07-13,2020-07-20,2020-07-27,2020-08-03,2020-08-10,2020-08-17,2020-08-24,2020-08-31,2020-09-07,2020-09-14,2020-09-21,2020-09-28,2020-10-05,2020-10-12,2020-10-19,2020-10-26,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21,2020-12-28,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-05,2021-04-12,2021-04-19,2021-04-26,2021-05-03,2021-05-10,2021-05-17,2021-05-24,2021-05-31,2021-06-07,2021-06-14,2021-06-21,2021-06-28,2021-07-05,2021-07-12,2021-07-19,2021-07-26,2021-08-02,2021-08-09,2021-08-23,2021-08-30,2021-09-06,2021-09-13,2021-09-20,2021-09-27,2021-10-04,2021-10-11,2021-10-18,2021-10-25,2021-11-01,2021-11-08,2021-11-15,2021-11-22,2021-11-29,2021-12-06,2021-12-13,2021-12-20,2021-12-27,2022-01-03,2022-01-10,2022-01-17,2022-01-24,2022-01-31,2022-02-07,2022-02-14,2022-02-21,2022-02-28,2022-03-07,2022-03-14,2022-03-21,2022-03-28,2022-04-04,2022-04-11,2022-04-18,2022-04-25,2022-05-02,2022-05-09,2022-05-16,2022-05-23,2022-05-30,2022-06-06,2022-06-13,2022-06-20,2022-06-27,2022-07-04,2022-07-11,2022-07-18,2022-07-25,2022-08-01,2022-08-08,2022-08-15,2022-08-22,2022-08-29,2022-09-05,2022-09-12,2022-09-19,2022-09-26,2022-10-03,2022-10-10,2022-10-17,2022-10-24,2022-10-31,2022-11-07,2022-11-14,2022-11-21,2022-11-28,2022-12-05,2022-12-12,2022-12-19,2022-12-26
count,145.0,143.0,145.0,146.0,141.0,149.0,148.0,146.0,145.0,146.0,144.0,145.0,144.0,148.0,144.0,142.0,151.0,153.0,155.0,142.0,148.0,142.0,147.0,144.0,143.0,136.0,140.0,145.0,143.0,140.0,142.0,149.0,148.0,138.0,141.0,148.0,151.0,150.0,134.0,137.0,131.0,140.0,133.0,138.0,134.0,141.0,130.0,135.0,135.0,137.0,135.0,130.0,139.0,140.0,140.0,139.0,136.0,142.0,135.0,134.0,142.0,136.0,127.0,114.0,113.0,114.0,120.0,118.0,116.0,126.0,121.0,128.0,129.0,131.0,134.0,137.0,136.0,138.0,130.0,133.0,130.0,137.0,133.0,134.0,140.0,133.0,144.0,141.0,142.0,140.0,135.0,144.0,134.0,126.0,250.0,131.0,122.0,124.0,117.0,119.0,127.0,118.0,115.0,117.0,114.0,112.0,121.0,120.0,119.0,125.0,118.0,134.0,129.0,128.0,124.0,132.0,121.0,123.0,127.0,124.0,115.0,123.0,125.0,113.0,123.0,119.0,126.0,122.0,121.0,127.0,119.0,128.0,126.0,116.0,130.0,131.0,125.0,120.0,116.0,127.0,123.0,120.0,125.0,124.0,131.0,113.0,122.0,130.0,121.0,121.0,123.0,122.0,132.0,116.0,109.0,116.0,119.0,115.0,117.0,122.0,124.0,122.0,124.0,125.0,112.0,126.0,119.0,127.0,130.0,125.0,135.0,126.0,122.0,126.0,118.0,122.0,113.0,132.0,129.0,130.0,127.0,127.0,123.0,121.0,127.0,125.0,116.0,121.0,128.0,125.0,127.0,133.0,121.0,133.0,130.0,129.0,125.0,132.0,124.0,130.0,125.0,117.0,128.0,128.0,125.0,109.0,126.0
mean,149.82758620689654,138.6013986013986,153.98620689655172,137.73287671232876,145.96453900709218,142.41610738255034,154.75,130.5068493150685,146.40689655172417,158.65068493150685,148.73611111111111,149.31724137931033,157.78472222222223,142.8108108108108,145.52083333333334,176.73239436619718,126.24503311258276,137.52941176470588,141.69677419354838,143.09154929577466,154.83783783783784,130.14788732394365,131.27891156462584,131.86805555555554,152.62237762237763,160.58823529411765,117.65,112.48275862068964,130.4265734265734,133.0857142857143,133.74647887323945,128.8724832214765,128.69594594594594,147.5072463768116,133.96453900709218,144.41216216216216,112.96688741721854,150.14,122.55970149253731,109.24087591240875,117.59541984732824,137.46428571428572,129.73684210526315,123.05797101449276,161.9402985074627,149.08510638297872,154.5076923076923,131.76296296296297,131.56296296296296,132.8175182481752,154.94074074074075,126.96153846153848,146.6546762589928,155.38571428571427,142.80714285714285,143.53237410071944,148.40441176470588,152.25352112676055,161.88148148148147,134.97761194029852,159.71830985915494,152.94117647058823,169.85826771653544,190.98245614035088,176.7079646017699,162.50877192982455,171.675,170.70338983050848,174.8706896551724,186.1746031746032,178.02479338842974,198.7890625,192.93023255813952,189.09923664122135,161.01492537313433,183.5182481751825,171.52941176470588,148.96376811594203,198.93846153846152,181.26315789473685,167.35384615384615,186.2992700729927,174.21052631578948,170.1492537313433,162.19285714285715,147.5639097744361,191.47916666666663,166.08510638297872,169.61971830985917,139.55714285714285,149.24444444444444,161.39583333333334,158.37313432835822,153.13492063492063,181.104,135.95419847328245,146.15573770491804,152.17741935483872,155.17094017094018,179.49579831932772,176.79527559055117,146.9322033898305,164.87826086956522,197.54700854700852,177.37719298245614,159.86607142857142,161.099173553719,190.64166666666668,154.71428571428572,145.936,171.57627118644066,138.1044776119403,149.10077519379846,134.4375,148.50806451612902,158.5909090909091,149.86776859504133,146.8861788617886,125.88976377952756,163.67741935483872,161.41739130434783,134.7479674796748,136.568,159.71681415929203,133.5040650406504,148.92436974789916,141.61111111111111,140.10655737704917,141.5702479338843,141.66929133858267,141.05882352941177,123.984375,159.38888888888889,140.92241379310346,131.30769230769232,126.9618320610687,140.984,115.66666666666669,138.4051724137931,138.7007874015748,142.70731707317074,115.875,164.936,153.93548387096774,115.57251908396948,157.47787610619469,153.31967213114754,172.23846153846154,166.3388429752066,160.88429752066116,144.14634146341464,150.327868852459,153.61363636363637,134.99137931034485,169.5137614678899,182.0086206896552,185.1680672268908,162.10434782608695,145.15384615384616,173.98360655737704,151.41129032258064,127.87704918032787,164.0483870967742,165.904,137.4375,155.43650793650792,150.58823529411765,121.38582677165354,139.74615384615385,137.816,146.8,155.85714285714286,130.13934426229508,157.4047619047619,139.61864406779662,154.72131147540983,147.42477876106196,133.3409090909091,151.54263565891472,143.06923076923076,147.59055118110237,131.71653543307087,184.52845528455285,168.63636363636363,165.71653543307087,177.488,173.57758620689654,161.35537190082644,160.4765625,183.336,169.55905511811022,172.15037593984962,174.30578512396696,149.93233082706766,131.52307692307693,125.7751937984496,142.056,136.3939393939394,159.70967741935485,176.87692307692308,151.176,147.95726495726495,145.1640625,141.0625,150.576,156.6697247706422,129.44444444444446
std,177.96341481184902,176.04769439630692,207.262983315578,195.4471898368348,197.9308108314446,216.89962495672225,221.03457651147133,181.1382115316955,207.66922472179576,201.29102597348617,201.52481622371369,211.43779304010545,206.2585166944949,225.1455266747511,225.531104912863,239.32940934453725,176.51621141366095,206.34300323616537,216.14958066878788,194.54029847180132,248.34847839643368,195.64002792736417,170.0953714071893,188.88655145898244,211.12298012095263,255.68419382448653,172.39973313671777,137.4594942079037,193.3814550989936,158.45115833790177,219.42670100781567,200.7197619039838,177.35166874101168,226.2604353806462,180.3403295101284,225.614954908327,197.41379273727023,257.76176582158786,191.5535422977803,170.30187408503224,147.29466952734074,211.32005154016824,165.4054199552065,175.8544839762105,236.40960252987037,195.21784496014047,236.2633613351041,153.8970487147029,161.38947086036364,181.96526086438223,227.44629554612703,178.95737675572136,218.2001046848876,230.99268373334908,187.5684583487255,179.67112879935092,180.50203153371868,201.73251149278715,245.4384152884005,183.1597136327028,221.10782858359616,214.43382004904888,234.0859876066928,217.26090438559103,252.97157806955056,217.5887265109872,241.39201223617272,241.90926141353413,249.22099605082173,267.6681850161525,212.9967708209805,287.1208051148903,282.62895801204934,259.9747282085417,241.8739802706138,274.07682215752465,247.96343640788453,245.50081122616476,280.404131217456,240.2886173276314,232.29838675498456,286.6247640506842,262.4816314679071,258.8627385419808,250.59970937154287,220.59995169452816,272.3586941960836,245.8531352936924,250.69100905253515,191.0022890151953,215.61430693076423,245.3733054011713,236.44470881252656,202.7326260146443,259.18981969695136,190.0435117219787,202.81168322141653,193.2756592579076,223.23504277030565,262.0156831232345,253.20740412024355,211.571924236223,248.77623807053564,286.61103931522484,269.3016005180965,216.27553728443385,228.16596317003837,292.260410985018,241.7772873092004,234.4417440534828,272.3169472765353,223.4963210965899,272.51656615244394,203.8214731410453,219.91171532244675,246.74760583524773,206.5382104336774,212.37031542328168,194.75186607278667,227.48549666580092,255.7626017751995,218.2497288788032,201.9873972433956,248.6668550572141,185.7197507079205,179.08265110419322,205.00903286332425,221.3272438771722,193.1161492662849,174.48514081993952,202.09748839496575,174.44318545242004,202.23162847476544,199.52949660386685,196.1154874977847,194.6346243440278,208.90907051139607,166.07234089084065,225.70715842506607,223.8070071019817,231.18301357516245,192.7681396711316,286.6207380561828,261.45268787861204,179.7091252567005,243.6068663025213,245.67983823585143,255.31090042061228,251.80781539760991,267.57952681033737,230.857690992966,227.08557540220664,250.99182334321011,193.6875339163641,279.17867684542966,242.71079572161617,264.6148246269177,227.2682692524426,203.79826973752893,256.4298426311647,240.42868259882744,197.33558185385843,252.64914631874132,271.56263532236136,172.56469115996796,240.59315022774013,225.7882017816887,171.373260460026,186.99058184376756,208.2408029181601,232.15038872479752,227.6079687281872,198.2113120494384,222.3244900076077,208.44618151839276,231.76681292869628,205.1357479690381,213.04767160131036,226.111871086248,243.81589154195004,229.28347168123943,185.57713057129675,273.99402665510115,266.17106028517327,276.85243039654347,278.9506724806724,268.24142762305263,287.60064497795474,259.08123448164184,293.68070065205825,280.79003208756365,284.82616964165425,271.0737858645134,266.46596222136213,233.57269722654644,197.14510203108009,241.8381658291613,247.13002287715568,274.8540122240668,289.05075907838835,247.99870134935736,262.66260622649816,239.14532126424456,242.93010400745084,251.20057735705177,244.11757394390284,221.07206266032097
min,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
q1,16.0,24.5,18.0,15.0,24.0,20.0,22.75,11.25,17.0,26.0,22.75,17.0,27.25,16.25,27.75,22.25,25.5,12.0,19.0,21.25,21.0,15.0,20.0,14.0,20.5,20.0,18.0,20.0,19.5,21.75,12.0,12.0,14.75,21.0,20.0,19.0,11.0,21.25,21.0,15.0,16.5,16.75,23.0,19.0,22.0,24.0,21.25,26.5,22.5,22.0,20.5,18.5,23.0,21.5,26.0,24.0,25.0,21.0,21.0,20.25,27.75,20.0,17.5,21.0,15.0,11.25,10.75,11.0,11.75,12.25,22.0,23.5,21.0,12.5,12.25,26.0,26.75,16.25,21.0,21.0,20.0,22.0,23.0,21.0,22.75,14.0,22.0,21.0,19.25,18.25,17.0,15.25,18.25,33.0,27.25,18.0,18.25,22.25,16.0,20.0,21.0,21.0,20.5,20.0,11.0,27.0,19.0,12.75,21.0,13.0,17.25,8.25,10.0,19.5,19.75,20.0,21.0,14.5,11.5,20.75,9.5,13.5,21.0,20.0,9.0,15.0,17.5,20.0,17.0,18.0,20.5,12.25,14.0,21.0,19.25,14.5,11.0,11.75,11.5,13.5,10.5,15.0,15.0,13.0,9.0,14.0,20.0,20.0,13.0,12.0,8.0,11.25,8.75,11.75,10.0,20.0,21.0,19.0,19.0,17.75,20.75,20.0,15.75,12.0,25.0,14.25,13.5,9.0,20.0,9.0,10.0,20.0,10.25,13.5,21.25,14.75,21.0,8.5,17.0,8.0,10.0,18.0,23.0,21.0,19.0,17.0,14.75,8.0,11.75,9.0,10.0,7.0,13.0,10.0,17.0,12.0,10.0,10.5,8.5,20.0,10.0,9.0,7.75,9.75,15.0,9.0,9.25
q2,87.0,68.0,71.0,68.0,70.0,54.0,73.5,63.0,67.0,73.5,75.5,70.0,81.5,67.0,74.5,71.5,68.0,58.0,57.0,71.0,71.5,64.5,61.0,74.0,70.0,65.0,57.0,59.0,64.0,78.5,52.0,56.0,73.5,64.5,63.0,61.0,56.0,55.0,53.5,65.0,64.0,54.5,68.0,55.0,63.0,78.0,74.5,66.0,70.0,73.0,59.0,56.0,73.0,84.0,64.0,71.0,81.0,78.0,73.0,76.0,82.0,61.5,80.0,130.0,63.0,81.5,67.5,66.0,55.0,81.0,96.0,95.0,69.0,94.0,75.0,75.0,66.5,56.5,78.0,80.0,79.0,70.0,75.0,61.5,75.0,77.0,68.5,67.0,69.0,67.0,61.0,84.0,64.5,84.0,93.5,67.0,75.0,79.0,76.0,80.0,77.0,61.0,62.0,90.0,84.0,88.5,80.0,84.0,65.0,61.0,65.5,50.5,45.0,63.5,69.5,68.5,70.0,65.0,57.0,72.0,63.0,50.0,60.0,60.0,57.0,75.0,63.0,70.0,77.0,70.0,62.0,70.0,63.5,58.0,59.5,46.0,58.0,44.0,61.0,49.0,41.0,44.0,70.0,56.5,53.0,68.0,58.5,76.5,70.0,39.0,60.0,67.5,58.5,58.0,43.0,72.0,77.0,66.0,61.0,65.5,61.5,58.5,77.5,81.0,69.5,61.0,61.0,59.0,66.0,50.0,53.0,65.0,42.5,61.5,65.5,82.0,67.0,41.0,61.0,50.5,46.0,61.0,67.0,66.0,54.0,75.0,63.0,57.0,67.0,75.0,54.0,61.0,66.0,41.0,51.0,60.0,57.0,49.5,60.0,61.5,57.0,51.0,61.0,52.0,60.0,56.0,48.5
q3,224.0,193.0,181.0,180.25,199.0,163.0,183.5,163.0,189.0,222.0,194.0,231.0,216.25,173.5,186.0,248.5,159.0,161.0,186.0,215.0,197.25,180.25,165.5,170.75,201.0,178.0,150.0,155.0,154.5,220.25,167.5,172.0,171.25,171.5,167.0,153.0,118.5,146.0,134.5,142.0,170.0,162.25,161.0,161.0,194.75,201.0,170.0,180.0,185.0,179.0,188.5,153.0,171.0,167.0,175.25,197.5,220.25,218.5,205.5,179.5,193.0,206.25,219.5,300.25,225.0,225.25,232.75,239.5,263.5,246.5,282.0,221.75,234.0,228.5,212.5,239.0,206.25,154.75,281.0,211.0,229.0,177.0,183.0,191.0,134.0,171.0,238.25,183.0,211.0,160.0,201.0,192.25,207.0,189.0,223.25,200.0,166.75,212.25,221.0,196.0,209.5,177.75,176.0,213.0,230.25,194.5,199.0,249.5,164.5,181.0,215.5,154.5,150.0,165.5,169.0,159.25,220.0,173.0,151.0,213.75,178.0,152.5,181.0,190.0,162.0,208.0,178.0,160.75,170.0,208.0,165.5,142.5,235.25,180.5,196.75,166.5,212.0,166.75,154.75,175.5,179.0,149.5,203.0,156.5,144.0,188.0,173.5,222.0,202.0,157.0,172.0,175.25,186.25,150.25,182.0,275.75,238.0,221.5,189.0,205.0,177.0,157.0,181.25,184.0,186.25,225.75,224.5,171.0,170.75,175.0,168.0,205.5,167.5,226.5,170.0,202.25,193.0,193.75,203.0,179.0,219.5,193.5,236.5,182.0,181.0,208.0,216.5,170.0,181.75,215.0,229.0,219.0,236.0,170.0,147.75,134.0,159.0,147.25,152.75,216.75,185.0,170.0,168.0,178.5,157.0,213.0,142.25
max,975.0,1139.0,1253.0,1212.0,1554.0,1378.0,1188.0,1044.0,1153.0,1155.0,1166.0,1322.0,1049.0,1469.0,1986.0,1278.0,1066.0,1169.0,1347.0,1095.0,2056.0,1182.0,933.0,1254.0,1213.0,1440.0,1153.0,806.0,1173.0,947.0,1291.0,1333.0,1340.0,1354.0,1059.0,1204.0,1266.0,1342.0,1409.0,1319.0,970.0,1311.0,912.0,1287.0,1289.0,1361.0,1355.0,862.0,1155.0,1162.0,1324.0,1193.0,1226.0,1217.0,1046.0,995.0,1370.0,1348.0,1257.0,1156.0,1403.0,1414.0,1298.0,1275.0,1323.0,1394.0,1380.0,1024.0,1440.0,1399.0,1206.0,1369.0,1424.0,1241.0,1425.0,1547.0,1425.0,1420.0,1395.0,1278.0,1370.0,1379.0,1240.0,1390.0,1196.0,1276.0,1427.0,1414.0,1355.0,1105.0,1181.0,1428.0,1344.0,1274.0,1427.0,1095.0,1049.0,1041.0,1323.0,1306.0,1244.0,1175.0,1291.0,1308.0,1411.0,1403.0,1332.0,1386.0,1262.0,1387.0,1393.0,1377.0,1472.0,1409.0,1278.0,1401.0,1429.0,1369.0,1357.0,1138.0,1414.0,1440.0,1336.0,1315.0,1137.0,867.0,1440.0,1500.0,1173.0,802.0,1014.0,1215.0,895.0,1219.0,1390.0,1248.0,1250.0,1057.0,1440.0,1390.0,1440.0,1323.0,1957.0,1440.0,1440.0,1440.0,1549.0,1394.0,1445.0,1440.0,1420.0,1322.0,1440.0,837.0,1317.0,1440.0,1440.0,1137.0,1258.0,1399.0,1288.0,1440.0,1440.0,1722.0,919.0,1440.0,1378.0,1196.0,1272.0,1378.0,1332.0,1338.0,1297.0,1363.0,1338.0,1207.0,1254.0,1382.0,1328.0,1291.0,1411.0,1414.0,1422.0,1426.0,1421.0,1423.0,1422.0,1423.0,1422.0,1424.0,1421.0,1422.0,1421.0,1433.0,1418.0,1420.0,1418.0,1426.0,1418.0,1419.0,1422.0,1423.0,1418.0,1426.0,1416.0,1422.0,1417.0
sum,21725.0,19820.0,22328.0,20109.0,20581.0,21220.0,22903.0,19054.0,21229.0,23163.0,21418.0,21651.0,22721.0,21136.0,20955.0,25096.0,19063.0,21042.0,21963.0,20319.0,22916.0,18481.0,19298.0,18989.0,21825.0,21840.0,16471.0,16310.0,18651.0,18632.0,18992.0,19202.0,19047.0,20356.0,18889.0,21373.0,17058.0,22521.0,16423.0,14966.0,15405.0,19245.0,17255.0,16982.0,21700.0,21021.0,20086.0,17788.0,17761.0,18196.0,20917.0,16505.0,20385.0,21754.0,19993.0,19951.0,20183.0,21620.0,21854.0,18087.0,22680.0,20800.0,21572.0,21772.0,19968.0,18526.0,20601.0,20143.0,20285.0,23458.0,21541.0,25445.0,24888.0,24772.0,21576.0,25142.0,23328.0,20557.0,25862.0,24108.0,21756.0,25523.0,23170.0,22800.0,22707.0,19626.0,27573.0,23418.0,24086.0,19538.0,20148.0,23241.0,21222.0,19295.0,45276.0,17810.0,17831.0,18870.0,18155.0,21360.0,22453.0,17338.0,18961.0,23113.0,20221.0,17905.0,19493.0,22877.0,18411.0,18242.0,20246.0,18506.0,19234.0,17208.0,18415.0,20934.0,18134.0,18067.0,15988.0,20296.0,18563.0,16574.0,17071.0,18048.0,16421.0,17722.0,17843.0,17093.0,17130.0,17992.0,16786.0,15870.0,20083.0,16347.0,17070.0,16632.0,17623.0,13880.0,16055.0,17615.0,17553.0,13905.0,20617.0,19088.0,15140.0,17795.0,18705.0,22391.0,20127.0,19467.0,17730.0,18340.0,20277.0,15659.0,18477.0,21113.0,22035.0,18642.0,16983.0,21226.0,18775.0,15601.0,20342.0,20738.0,15393.0,19585.0,17920.0,15416.0,18167.0,17227.0,19818.0,19638.0,15877.0,19833.0,16475.0,18876.0,16659.0,17601.0,19549.0,18599.0,18744.0,16728.0,22697.0,20405.0,21046.0,22186.0,20135.0,19524.0,20541.0,22917.0,21534.0,22896.0,21091.0,19941.0,17098.0,16225.0,17757.0,18004.0,19804.0,22994.0,18897.0,17311.0,18581.0,18056.0,18822.0,17077.0,16310.0
