metrics,2019-01-07,2019-01-14,2019-01-21,2019-01-28,2019-02-04,2019-02-11,2019-02-18,2019-02-25,2019-03-04,2019-03-11,2019-03-18,2019-03-25,2019-04-01,2019-04-08,2019-04-15,2019-04-22,2019-04-29,2019-05-06,2019-05-13,2019-05-20,2019-05-27,2019-06-03,2019-06-10,2019-06-17,2019-06-24,2019-07-01,2019-07-08,2019-07-15,2019-07-22,2019-07-29,2019-08-05,2019-08-12,2019-08-19,2019-08-26,2019-09-02,2019-09-09,2019-09-16,2019-09-23,2019-09-30,2019-10-07,2019-10-14,2019-10-21,2019-10-28,2019-11-04,2019-11-11,2019-11-18,2019-11-25,2019-12-02,2019-12-09,2019-12-16,2019-12-23,2019-12-30,2020-01-06,2020-01-13,2020-01-20,2020-01-27,2020-02-03,2020-02-10,2020-02-17,2020-02-24,2020-03-02,2020-03-09,2020-03-16,2020-03-23,2020-03-30,2020-04-06,2020-04-13,2020-04-20,2020-04-27,2020-05-04,2020-05-11,2020-05-18,2020-05-25,2020-06-01,2020-06-08,2020-06-15,2020-06-22,2020-06-29,2020-07-06,2020-07-13,2020-07-20,2020-07-27,2020-08-03,2020-08-10,2020-08-17,2020-08-24,2020-08-31,2020-09-07,2020-09-14,2020-09-21,2020-09-28,2020-10-05,2020-10-12,2020-10-19,2020-10-26,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21,2020-12-28,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-05,2021-04-12,2021-04-19,2021-04-26,2021-05-03,2021-05-10,2021-05-17,2021-05-24,2021-05-31,2021-06-07,2021-06-14,2021-06-21,2021-06-28,2021-07-05,2021-07-12,2021-07-19,2021-07-26,2021-08-02,2021-08-09,2021-08-23,2021-08-30,2021-09-06,2021-09-13,2021-09-20,2021-09-27,2021-10-04,2021-10-11,2021-10-18,2021-10-25,2021-11-01,2021-11-08,2021-11-15,2021-11-22,2021-11-29,2021-12-06,2021-12-13,2021-12-20,2021-12-27,2022-01-03,2022-01-10,2022-01-17,2022-01-24,2022-01-31,2022-02-07,2022-02-14,2022-02-21,2022-02-28,2022-03-07,2022-03-14,2022-03-21,2022-03-28,2022-04-04,2022-04-11,2022-04-18,2022-04-25,2022-05-02,2022-05-09,2022-05-16,2022-05-23,2022-05-30,2022-06-06,2022-06-13,2022-06-20,2022-06-27,2022-07-04,2022-07-11,2022-07-18,2022-07-25,2022-08-01,2022-08-08,2022-08-15,2022-08-22,2022-08-29,2022-09-05,2022-09-12,2022-09-19,2022-09-26,2022-10-03,2022-10-10,2022-10-17,2022-10-24,2022-10-31,2022-11-07,2022-11-14,2022-11-21,2022-11-28,2022-12-05,2022-12-12,2022-12-19,2022-12-26
count,1892.0,1903.0,1884.0,1886.0,1865.0,1900.0,1896.0,1902.0,1883.0,1910.0,1922.0,1933.0,1923.0,1936.0,1950.0,1952.0,1951.0,1946.0,1968.0,1964.0,1957.0,1963.0,1968.0,1980.0,1977.0,1938.0,1983.0,1962.0,1955.0,1979.0,1973.0,1980.0,1982.0,1959.0,1965.0,1988.0,1995.0,1973.0,1972.0,1947.0,1945.0,1952.0,1958.0,1934.0,1910.0,1941.0,1877.0,1925.0,1915.0,1920.0,1874.0,1884.0,1893.0,1930.0,1922.0,1902.0,1893.0,1918.0,1921.0,1920.0,1938.0,1929.0,1879.0,1842.0,1822.0,1797.0,1835.0,1838.0,1874.0,1874.0,1908.0,1924.0,1924.0,1967.0,1941.0,1944.0,1971.0,1933.0,1946.0,1966.0,1948.0,1949.0,1965.0,1976.0,1962.0,1990.0,1995.0,1992.0,1990.0,1985.0,1991.0,1982.0,1987.0,1973.0,1613.0,1947.0,1916.0,1910.0,1824.0,1917.0,1924.0,1890.0,1825.0,1864.0,1889.0,1893.0,1904.0,1882.0,1883.0,1867.0,1884.0,1921.0,1940.0,1928.0,1899.0,1905.0,1912.0,1893.0,1882.0,1893.0,1897.0,1895.0,1906.0,1902.0,1939.0,1925.0,1931.0,1939.0,1946.0,1911.0,1914.0,1929.0,1906.0,1939.0,1914.0,1953.0,1921.0,1918.0,1899.0,1915.0,1937.0,1941.0,1928.0,1901.0,1913.0,1914.0,1892.0,1898.0,1898.0,1854.0,1888.0,1873.0,1903.0,1839.0,1829.0,1884.0,1865.0,1861.0,1890.0,1873.0,1893.0,1896.0,1900.0,1907.0,1918.0,1940.0,1956.0,1945.0,1957.0,1958.0,1938.0,1948.0,1961.0,1970.0,1958.0,1979.0,1958.0,1991.0,1989.0,1987.0,1974.0,1940.0,1980.0,1977.0,1964.0,1987.0,1990.0,1997.0,1978.0,1983.0,1978.0,1995.0,1999.0,2005.0,2004.0,2003.0,1982.0,2003.0,1995.0,1984.0,1960.0,1930.0,1989.0,1977.0,1960.0,1939.0,1948.0
mean,172.0776955602537,171.47714135575407,169.71337579617835,168.4162248144221,169.73351206434316,167.77684210526317,161.82805907172997,162.6750788643533,165.71163037705787,156.94869109947643,153.81997918834548,151.37144335230212,154.58346333853353,159.03719008264463,144.03589743589745,135.97848360655738,149.42439774474627,139.77235354573483,143.9314024390244,151.5071283095723,149.94890137966274,144.8186449312277,141.83536585365854,142.39949494949494,146.22306525037936,144.03869969040247,143.73625819465457,139.6177370030581,135.93964194373402,137.98787266296108,139.2387227572225,139.33989898989898,138.10645812310798,141.3910158244002,138.4,138.11468812877263,138.8421052631579,140.02483527622908,144.56135902636916,148.0919363122753,147.52442159383034,148.79405737704917,149.27630234933605,146.93226473629784,154.41204188481674,155.97320968572902,153.5668620138519,152.96675324675326,161.39216710182768,157.090625,155.00960512273213,159.8991507430998,166.31537242472265,169.0979274611399,166.73204994797086,169.03364879074658,168.9767564712097,168.69499478623567,161.84799583550233,158.87135416666666,159.812693498452,158.8703991705547,178.39914848323576,178.66123778501628,176.55598243688254,177.23205342237063,167.15531335149865,162.47007616974972,160.18516542155817,165.99092849519744,161.09643605870022,162.59511434511435,161.14241164241164,156.39501779359432,159.41473467284905,153.34413580246914,155.2521562658549,158.90015519917227,155.5339157245632,153.1266531027467,156.5451745379877,152.94202154951256,156.87888040712468,145.00708502024293,148.69367991845056,140.6678391959799,137.81052631578947,133.13755020080322,138.6175879396985,138.17732997481107,146.87493721747865,140.4263370332997,144.9350780070458,152.50785605676634,154.30626162430255,158.9969183359014,159.44989561586638,168.19424083769633,165.2110745614035,169.53834115805947,170.93762993762994,173.6195767195767,166.00931506849315,162.0472103004292,172.4049761778719,183.26254622292657,173.4091386554622,175.13921360255048,180.4954859267127,177.39100160685592,165.97186836518046,155.1952108276939,149.86134020618556,152.9517634854772,157.92785676671932,155.3952755905512,154.55491631799163,148.35340729001584,152.57545164718383,145.9767564712097,148.19768054823405,145.7873350923483,148.65057712486885,153.05362776025237,148.32233109850438,147.86597402597403,145.77162092180217,152.96802475502835,147.14131551901335,147.91104133961278,146.1765935214211,148.8449974079834,149.20776495278068,148.35172769468798,143.45402298850576,149.3609831029186,152.69651223321188,150.44942648592283,146.3601895734597,144.14360313315927,140.97573567372226,148.9108706852138,149.51659751037346,150.52761704366122,148.9231573444851,155.78265412748172,153.892177589852,155.77976817702844,155.31401475237092,150.23408845738942,160.2759533898305,151.99038974906566,156.4140830267998,158.32191408374118,164.68069983597593,165.5711252653928,166.8,178.048898441698,177.42433862433862,175.48852108916176,168.58267300581088,168.91244725738397,166.5821052631579,161.61352910330362,162.5985401459854,158.2556701030928,154.32873210633946,156.84421593830334,160.44506898313745,155.69969356486212,151.05830753353973,156.1447638603696,153.46098929117798,143.95685279187816,154.96373850868233,151.78878221323902,154.0755873340143,155.79758915118032,149.47611865258924,149.50125817815805,158.5177304964539,155.06649484536084,155.11969696969695,156.5725847243298,164.70213849287168,154.78158027176647,145.6497487437186,152.6479719579369,155.6061678463094,158.423096318709,154.08291203235592,153.72932330827066,150.8904452226113,156.13915211970075,154.04990019960078,161.38092860708937,152.26337033299697,157.48776834747878,161.40701754385964,163.57762096774192,173.975,168.43471502590674,171.13122171945702,155.73039959534648,168.09132653061224,162.57297576070138,150.86447638603696
std,209.1215486110181,213.15469167828115,202.5320325994209,207.34280007893528,204.811048893014,204.83988710106988,194.3616626519822,198.85589007557093,208.2635133074997,195.60260674433653,196.86790825785076,198.0500403437526,198.9395498966383,209.4569048721285,190.32663383250684,183.8593649145786,196.9171901947322,191.6494659952317,186.48269216890068,197.34309965452303,200.3991376254181,190.9668535712225,189.1820601573442,182.6416884407571,195.07971305976983,191.1858438692184,191.32759542327383,182.17818202656144,181.3129372290548,178.48006704426498,182.61418745882847,175.32306748661316,180.04456307607273,184.62609494479665,184.997621496242,183.34054471183495,185.37151460475124,186.3736102779801,191.36477922897564,187.04011438789385,189.79129089550187,187.157691922764,187.84538962641145,183.7534929183382,188.46526181214315,189.90636679134397,191.98333435746792,186.649966281245,195.77615339326752,193.30978067188727,197.53112013243097,198.45930039493084,195.4007411500764,196.18245717103247,196.500199688784,203.67612562250417,197.9558792126265,197.4865440790983,192.9469589447663,198.7195819185252,192.6294575157405,198.4861999652769,206.32942352216548,213.9255438257167,211.0365852214192,215.8039021509745,209.2926951522876,210.00658134979545,211.61609452405008,209.35867144197016,204.8412871946784,207.9973368690201,208.5735185149216,201.29581749248197,202.98853903275867,202.57590124667425,206.0272980758976,212.9771512180818,207.22247183572568,207.05154852660684,199.9233507778822,202.9794277116412,209.61692484150345,198.19839683190963,200.01733339170764,195.6612609346115,193.7692694387068,187.1393874418664,193.2644127224365,193.55681260959304,202.48378787310537,193.4958983233209,191.8877501906887,201.756373991913,204.01490407221843,204.6120862722168,199.20465903878028,210.78964628252152,213.6239098079409,215.72452136685516,213.51856620732696,213.8329714769509,213.72761353177768,213.2916095539524,209.91063624379632,219.87893857585053,208.83304406820065,212.673550515342,212.0600624615481,218.4723887734825,208.8685391669997,198.868682850565,200.23358677576272,209.18909157070436,207.5784477458737,207.6155689067134,213.10866010541187,211.13297335293564,213.5226952963723,201.15580271207244,206.3342282557391,205.83382243526364,210.69907797996893,203.7303796976943,203.74295247368752,205.6258604886908,197.37662675723664,206.45110768549785,197.42512705039576,199.1391037896116,201.77405849188676,200.525728440802,201.29150943766825,199.4333046250287,197.49114394381783,198.3964668197848,208.30695758032377,198.74887308121583,203.5972460100908,198.88297718762848,191.58252146470235,201.75852871078465,197.21254917760447,201.5864158436449,196.7267364672936,204.28288196042777,203.2943670762758,203.1293060927593,203.93569439196037,206.4627939125152,211.3686708392212,195.94621927397495,203.6513428744357,209.72073434182423,212.1682292668534,210.53881949335604,215.21280565230813,215.28642655104665,219.78324622340844,217.1322930704204,212.45820172387647,217.65981235309735,207.70467574990283,209.96301849328287,210.92138193232145,208.04898755114544,206.49614429530249,210.8219191237945,209.9245937078666,207.1236642052149,209.04119491755688,213.57822099912772,206.58828629307757,200.4171922666883,207.67251993645505,208.0961968758163,211.6678697363633,217.51250345673023,213.18126929750096,207.6119612609969,216.49253843701285,208.9116402964388,210.6033185220988,211.40325674069652,218.63203274390324,211.75885172028163,202.08359215343077,214.19228378026415,212.3266280227292,215.7105523441722,206.4666772694182,208.87930392482065,203.7893436869361,209.8238594257353,210.71217353270723,209.8066189575012,208.3093098295876,214.02486673650955,212.694264853998,213.74378463402817,220.0801976604119,216.92449261712488,215.005136281275,202.89645963266543,215.9692690933745,206.49346801855287,203.2137686242808
min,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
q1,14.0,13.0,14.0,12.0,13.0,15.0,14.0,15.0,15.0,13.0,13.0,14.0,13.0,14.0,12.0,12.0,12.0,11.0,12.0,13.0,13.0,13.0,12.0,12.0,12.0,11.0,12.0,12.0,11.0,12.0,11.0,12.0,11.0,12.5,12.0,11.0,11.0,12.0,11.0,14.0,13.0,13.0,13.0,12.0,13.0,15.0,13.0,13.0,13.0,14.0,11.0,14.0,17.0,16.0,17.0,16.0,18.0,16.0,16.0,15.0,15.0,14.0,15.0,12.0,13.0,11.0,11.0,11.0,11.0,12.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,11.0,11.0,12.0,11.0,11.0,11.0,10.0,11.0,11.75,11.0,11.0,11.0,12.0,11.0,11.0,11.0,12.0,11.0,10.0,10.0,9.0,9.75,10.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0,8.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.25,8.0,8.0,8.0,9.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,9.0,8.0,9.0,9.0,8.0,8.0,8.5,9.0,9.0,9.0,9.0,8.0,9.0,8.5,8.0
q2,72.0,70.0,77.0,67.0,75.0,69.0,67.0,66.0,72.0,60.5,57.0,55.0,57.0,53.0,52.0,44.0,48.0,42.0,49.0,52.0,48.0,51.0,48.0,48.0,46.0,47.0,49.0,48.0,45.0,49.0,47.0,52.5,45.0,46.0,44.0,44.0,47.0,47.0,49.0,55.0,50.0,55.0,57.0,53.0,61.5,65.0,60.0,62.0,64.0,67.0,55.0,61.0,76.0,78.0,77.0,74.5,80.0,79.0,66.0,61.5,63.0,61.0,83.0,76.5,72.0,71.0,61.0,52.0,49.5,55.0,54.0,49.0,53.0,50.0,54.0,43.0,47.0,43.0,41.5,44.0,48.0,43.0,42.0,40.5,42.0,39.0,34.0,35.0,38.0,36.0,38.0,38.5,41.0,42.0,45.0,53.0,57.0,60.5,50.5,54.0,61.0,60.0,55.0,51.0,63.0,70.0,65.0,59.0,68.0,64.0,57.0,49.0,41.0,42.5,39.0,40.0,36.0,31.0,33.0,34.0,31.0,30.0,32.5,39.5,36.0,31.0,34.0,35.0,30.0,35.0,38.0,38.0,33.0,31.0,34.0,35.0,37.0,41.0,31.0,36.0,32.0,34.0,36.0,39.0,38.0,42.0,40.0,42.5,40.0,33.0,43.0,46.0,42.0,42.0,41.0,49.0,50.0,61.0,54.5,56.0,50.0,50.0,50.5,45.0,43.0,39.0,40.0,39.0,44.0,40.0,34.0,39.0,40.0,35.0,37.5,33.0,35.5,34.0,32.0,32.0,32.0,38.0,39.0,36.0,39.0,35.0,34.0,37.0,36.0,37.0,36.0,39.0,37.0,37.0,37.0,40.0,36.0,37.0,44.0,46.0,58.0,47.0,51.0,41.0,53.0,46.0,35.0
q3,301.0,291.0,292.25,289.0,292.0,282.0,277.0,269.0,270.0,261.75,255.0,241.0,258.0,260.0,229.25,202.25,248.5,223.0,235.0,243.25,241.0,223.5,230.0,235.25,237.0,235.75,225.5,224.0,215.0,220.5,225.0,236.0,223.75,227.0,221.0,220.0,220.0,219.0,228.25,246.0,233.0,236.0,241.75,239.75,252.75,256.0,244.0,245.0,260.5,259.0,252.75,264.0,276.0,282.0,273.5,277.75,274.0,292.0,268.0,257.25,268.75,256.0,306.0,314.0,305.75,314.0,285.0,274.75,267.0,286.75,279.0,275.25,275.0,265.5,271.0,265.25,260.5,270.0,268.0,245.75,265.25,268.0,266.0,239.0,241.0,221.0,219.5,208.25,209.25,224.0,241.5,229.75,231.0,262.0,253.0,277.5,275.0,295.75,285.0,297.0,304.25,312.75,288.0,276.0,311.0,332.0,317.25,315.0,323.5,314.5,284.5,262.0,261.25,252.5,280.0,266.0,271.0,249.0,260.0,254.0,245.0,248.5,252.0,266.75,254.5,252.0,251.0,271.5,259.75,262.0,245.75,251.0,267.0,262.0,234.75,263.0,261.0,269.75,240.5,230.5,233.0,252.0,259.25,258.0,252.0,280.0,277.25,286.0,273.0,268.0,277.25,257.0,281.5,291.0,310.0,298.5,298.0,337.0,339.0,333.0,312.0,305.0,299.25,284.5,301.75,281.25,268.0,275.0,287.0,277.75,263.0,269.0,263.0,241.0,273.0,266.0,273.75,275.5,250.0,261.0,291.75,284.25,269.25,283.0,305.25,276.5,253.75,274.0,275.75,285.0,271.0,268.5,266.5,286.0,269.0,304.5,266.0,278.5,286.0,295.25,318.0,311.5,318.0,287.0,304.0,304.5,266.0
max,1440.0,1415.0,1440.0,1417.0,1431.0,1936.0,1440.0,1419.0,1440.0,1422.0,1423.0,1422.0,1440.0,2155.0,1406.0,1392.0,1474.0,1416.0,1403.0,1440.0,1930.0,1419.0,1409.0,1426.0,1440.0,1428.0,1430.0,1416.0,1417.0,1421.0,1418.0,1402.0,1419.0,1420.0,1350.0,1478.0,1421.0,1413.0,1423.0,1412.0,1410.0,1424.0,1375.0,1384.0,1393.0,1396.0,1323.0,1410.0,1420.0,1409.0,1389.0,1394.0,1340.0,1359.0,1407.0,1363.0,1361.0,1390.0,1412.0,1390.0,1409.0,1389.0,1351.0,1423.0,1813.0,1421.0,1403.0,1429.0,1860.0,1422.0,1599.0,1429.0,1440.0,1431.0,1440.0,1430.0,1440.0,1440.0,1455.0,1430.0,1440.0,1446.0,1786.0,1697.0,1425.0,1440.0,1507.0,1426.0,1429.0,1433.0,1440.0,1440.0,1429.0,1440.0,1421.0,1440.0,1440.0,1440.0,1440.0,1440.0,1446.0,1440.0,1756.0,1594.0,1440.0,1425.0,1420.0,1780.0,1535.0,1580.0,1440.0,1440.0,1850.0,1430.0,1440.0,1463.0,1440.0,1440.0,1421.0,1420.0,1421.0,1421.0,1440.0,1415.0,1440.0,1823.0,1418.0,1440.0,1422.0,1416.0,1415.0,1422.0,1409.0,1412.0,1411.0,1428.0,1718.0,1416.0,1440.0,1419.0,1405.0,1417.0,1412.0,1418.0,1419.0,1440.0,1420.0,1417.0,1414.0,1467.0,1440.0,1418.0,1399.0,1550.0,1506.0,1440.0,1606.0,1417.0,1440.0,1417.0,1413.0,1440.0,1403.0,1440.0,1403.0,1417.0,1390.0,1440.0,1485.0,1420.0,1440.0,1422.0,1440.0,1440.0,1425.0,1424.0,1411.0,1415.0,1412.0,1417.0,1425.0,1405.0,1417.0,1419.0,1420.0,1417.0,1370.0,1416.0,1413.0,1396.0,1387.0,1418.0,1418.0,1396.0,1410.0,1412.0,1421.0,1417.0,1412.0,1417.0,1419.0,1412.0,1417.0,1414.0,1417.0,1418.0,1415.0
sum,325571.0,326321.0,319740.0,317633.0,316553.0,318776.0,306826.0,309408.0,312035.0,299772.0,295642.0,292601.0,297264.0,307896.0,280870.0,265430.0,291527.0,271997.0,283257.0,297560.0,293450.0,284279.0,279132.0,281951.0,289083.0,279147.0,285029.0,273930.0,265762.0,273078.0,274718.0,275893.0,273727.0,276985.0,271956.0,274572.0,276990.0,276269.0,285075.0,288335.0,286935.0,290446.0,292283.0,284167.0,294927.0,302744.0,288245.0,294461.0,309066.0,301614.0,290488.0,301250.0,314835.0,326359.0,320459.0,321502.0,319873.0,323557.0,310910.0,305033.0,309717.0,306461.0,335212.0,329094.0,321685.0,318486.0,306730.0,298620.0,300187.0,311067.0,307372.0,312833.0,310038.0,307629.0,309424.0,298101.0,306002.0,307154.0,302669.0,301047.0,304950.0,298084.0,308267.0,286534.0,291737.0,279929.0,274932.0,265210.0,275849.0,274282.0,292428.0,278325.0,287986.0,300898.0,248896.0,309567.0,305506.0,321251.0,301345.0,325005.0,328884.0,328141.0,302967.0,302056.0,325673.0,346916.0,330171.0,329612.0,339873.0,331189.0,312691.0,298130.0,290731.0,294891.0,299905.0,296028.0,295509.0,280833.0,287147.0,276334.0,281131.0,276267.0,283328.0,291108.0,287597.0,284642.0,281485.0,296605.0,286337.0,282658.0,279782.0,287122.0,284390.0,287654.0,274571.0,291702.0,293330.0,288562.0,277938.0,276035.0,273070.0,289036.0,288268.0,286153.0,284890.0,298168.0,291164.0,295670.0,294786.0,278534.0,302601.0,284678.0,297656.0,291154.0,301201.0,311936.0,311082.0,331349.0,335332.0,328690.0,319127.0,320258.0,316506.0,308197.0,311864.0,307016.0,301867.0,305062.0,313991.0,304860.0,292751.0,304170.0,300937.0,283595.0,303419.0,300390.0,301680.0,310193.0,297308.0,297059.0,312914.0,300829.0,307137.0,309544.0,323475.0,307551.0,289843.0,304838.0,307789.0,314153.0,304776.0,306690.0,301630.0,313059.0,308716.0,323246.0,301786.0,315448.0,322007.0,324538.0,340991.0,325079.0,340380.0,307879.0,329459.0,315229.0,293884.0
