metrics,2019-01-07,2019-01-14,2019-01-21,2019-01-28,2019-02-04,2019-02-11,2019-02-18,2019-02-25,2019-03-04,2019-03-11,2019-03-18,2019-03-25,2019-04-01,2019-04-08,2019-04-15,2019-04-22,2019-04-29,2019-05-06,2019-05-13,2019-05-20,2019-05-27,2019-06-03,2019-06-10,2019-06-17,2019-06-24,2019-07-01,2019-07-08,2019-07-15,2019-07-22,2019-07-29,2019-08-05,2019-08-12,2019-08-19,2019-08-26,2019-09-02,2019-09-09,2019-09-16,2019-09-23,2019-09-30,2019-10-07,2019-10-14,2019-10-21,2019-10-28,2019-11-04,2019-11-11,2019-11-18,2019-11-25,2019-12-02,2019-12-09,2019-12-16,2019-12-23,2019-12-30,2020-01-06,2020-01-13,2020-01-20,2020-01-27,2020-02-03,2020-02-10,2020-02-17,2020-02-24,2020-03-02,2020-03-09,2020-03-16,2020-03-23,2020-03-30,2020-04-06,2020-04-13,2020-04-20,2020-04-27,2020-05-04,2020-05-11,2020-05-18,2020-05-25,2020-06-01,2020-06-08,2020-06-15,2020-06-22,2020-06-29,2020-07-06,2020-07-13,2020-07-20,2020-07-27,2020-08-03,2020-08-10,2020-08-17,2020-08-24,2020-08-31,2020-09-07,2020-09-14,2020-09-21,2020-09-28,2020-10-05,2020-10-12,2020-10-19,2020-10-26,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21,2020-12-28,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-05,2021-04-12,2021-04-19,2021-04-26,2021-05-03,2021-05-10,2021-05-17,2021-05-24,2021-05-31,2021-06-07,2021-06-14,2021-06-21,2021-06-28,2021-07-05,2021-07-12,2021-07-19,2021-07-26,2021-08-02,2021-08-09,2021-08-23,2021-08-30,2021-09-06,2021-09-13,2021-09-20,2021-09-27,2021-10-04,2021-10-11,2021-10-18,2021-10-25,2021-11-01,2021-11-08,2021-11-15,2021-11-22,2021-11-29,2021-12-06,2021-12-13,2021-12-20,2021-12-27,2022-01-03,2022-01-10,2022-01-17,2022-01-24,2022-01-31,2022-02-07,2022-02-14,2022-02-21,2022-02-28,2022-03-07,2022-03-14,2022-03-21,2022-03-28,2022-04-04,2022-04-11,2022-04-18,2022-04-25,2022-05-02,2022-05-09,2022-05-16,2022-05-23,2022-05-30,2022-06-06,2022-06-13,2022-06-20,2022-06-27,2022-07-04,2022-07-11,2022-07-18,2022-07-25,2022-08-01,2022-08-08,2022-08-15,2022-08-22,2022-08-29,2022-09-05,2022-09-12,2022-09-19,2022-09-26,2022-10-03,2022-10-10,2022-10-17,2022-10-24,2022-10-31,2022-11-07,2022-11-14,2022-11-21,2022-11-28,2022-12-05,2022-12-12,2022-12-19,2022-12-26
count,125.0,120.0,118.0,117.0,119.0,122.0,126.0,123.0,129.0,128.0,121.0,124.0,123.0,123.0,126.0,126.0,129.0,128.0,126.0,128.0,130.0,122.0,126.0,126.0,129.0,127.0,130.0,126.0,130.0,124.0,128.0,130.0,130.0,126.0,122.0,124.0,125.0,127.0,124.0,128.0,123.0,123.0,116.0,121.0,118.0,124.0,119.0,119.0,120.0,124.0,121.0,120.0,124.0,118.0,118.0,124.0,126.0,128.0,131.0,129.0,127.0,120.0,125.0,119.0,120.0,120.0,115.0,120.0,128.0,123.0,123.0,121.0,127.0,126.0,126.0,126.0,121.0,121.0,123.0,127.0,130.0,126.0,128.0,128.0,133.0,126.0,131.0,125.0,125.0,127.0,122.0,126.0,127.0,124.0,120.0,123.0,123.0,125.0,122.0,120.0,117.0,123.0,111.0,121.0,115.0,116.0,122.0,115.0,119.0,123.0,119.0,120.0,119.0,122.0,114.0,114.0,114.0,119.0,114.0,123.0,122.0,119.0,119.0,125.0,118.0,118.0,122.0,118.0,118.0,124.0,117.0,119.0,121.0,118.0,119.0,124.0,126.0,118.0,116.0,111.0,119.0,120.0,120.0,123.0,116.0,118.0,126.0,118.0,112.0,112.0,118.0,110.0,116.0,115.0,118.0,116.0,116.0,119.0,118.0,121.0,119.0,113.0,121.0,118.0,117.0,122.0,121.0,120.0,123.0,119.0,125.0,125.0,126.0,122.0,129.0,127.0,122.0,127.0,127.0,125.0,122.0,124.0,126.0,118.0,127.0,127.0,121.0,127.0,128.0,124.0,124.0,124.0,117.0,123.0,125.0,120.0,124.0,119.0,122.0,126.0,119.0,122.0,121.0,115.0,118.0,117.0,116.0
mean,42.208,43.391666666666666,43.44915254237288,41.427350427350426,39.65546218487395,44.36065573770492,39.74603174603175,43.6260162601626,40.47286821705426,45.2265625,46.413223140495866,46.4758064516129,47.1869918699187,44.42276422764228,43.54761904761905,48.71428571428572,43.968992248062015,49.984375,46.6031746031746,45.359375,44.246153846153845,49.31147540983606,52.0,51.61111111111112,48.11627906976744,47.30708661417323,46.96153846153846,51.53968253968254,49.47692307692308,52.12903225806452,50.703125,49.792307692307695,49.03846153846154,51.27777777777778,49.18852459016394,50.54032258064516,51.152,49.96062992125984,48.564516129032256,44.3046875,43.235772357723576,42.85365853658536,45.9051724137931,42.75206611570248,42.72033898305085,40.193548387096776,43.588235294117645,47.33613445378151,46.15,52.88709677419355,47.14876033057851,43.99166666666667,38.524193548387096,37.09322033898305,42.36440677966102,37.95161290322581,38.20634920634921,42.3359375,40.6030534351145,40.07751937984496,38.00787401574803,34.25833333333333,14.32,11.100840336134452,10.508333333333333,10.091666666666669,10.91304347826087,11.275,11.9140625,12.894308943089433,13.764227642276422,16.47107438016529,15.251968503937007,19.38095238095238,21.30952380952381,23.41269841269841,24.677685950413224,23.644628099173552,24.33333333333333,24.30708661417323,24.53846153846154,25.33333333333333,26.7421875,26.6015625,24.849624060150376,27.08730158730159,26.06106870229008,28.344,26.496,25.73228346456693,28.442622950819672,25.20634920634921,27.614173228346456,26.483870967741936,51.00833333333333,23.065040650406505,23.691056910569102,21.472,19.65573770491803,21.541666666666668,22.99145299145299,25.56910569105691,22.936936936936934,20.90082644628099,22.069565217391304,21.66379310344828,20.475409836065573,21.208695652173912,20.747899159663863,21.6260162601626,22.235294117647054,23.525,24.88235294117647,23.83606557377049,25.517543859649123,25.45614035087719,24.2280701754386,23.66386554621849,23.32456140350877,21.97560975609756,21.15573770491803,23.310924369747895,23.126050420168067,22.352,25.43220338983051,25.39830508474576,25.4672131147541,27.516949152542374,28.305084745762716,24.12903225806452,27.88034188034188,27.638655462184875,28.454545454545453,27.88135593220339,28.41176470588235,27.225806451612904,25.603174603174605,25.966101694915253,25.45689655172414,26.36036036036036,26.764705882352946,26.541666666666668,24.15833333333333,24.943089430894307,28.517241379310345,28.466101694915253,24.873015873015877,27.033898305084747,28.366071428571427,30.875,27.39830508474576,26.527272727272727,31.31896551724138,27.22608695652174,26.991525423728813,24.16379310344828,22.948275862068964,24.100840336134453,24.35593220338983,23.13223140495868,25.159663865546214,28.27433628318584,24.52892561983471,28.07627118644068,33.034188034188034,34.81967213114754,32.78512396694215,33.68333333333333,33.235772357723576,31.41176470588235,31.816,32.936,33.25396825396825,33.21311475409836,30.705426356589147,31.141732283464567,34.23770491803279,32.645669291338585,34.83464566929134,33.264,32.19672131147541,35.25806451612903,33.80952380952381,37.95762711864407,33.74803149606299,38.13385826771653,35.89256198347108,35.354330708661415,32.7265625,31.57258064516129,30.733870967741936,32.725806451612904,33.743589743589745,32.86178861788618,32.992,33.38333333333333,33.83064516129032,34.34453781512605,32.82786885245902,32.20634920634921,33.51260504201681,35.57377049180328,23.33884297520661,19.443478260869565,18.42372881355932,14.555555555555555,19.16379310344828
std,222.536270910986,228.876183760996,216.7822806907841,192.89095169422927,167.45003995499266,219.03217113692423,186.90044136953497,203.03986519545836,197.65255490693843,236.60855792337424,227.03328204698272,239.9949682301008,239.74608663940643,214.39747858080003,193.64960551027656,237.53035535334368,217.24931451217,246.1518955024495,224.19841495836076,195.5020081406016,201.9159031919889,219.9579254269684,229.2128443172416,218.16595416232008,209.3660306999359,215.58077747342872,215.75522320143276,238.11448173661853,218.24352429668076,228.7753173245358,232.26957455884752,233.16958915070973,227.78779067151535,239.86538354298276,209.21827472474035,218.5617956630855,234.73090481958133,224.4981493745904,228.2153540766908,216.12483847218024,209.5684512492988,197.39640083946372,218.4366977628421,207.292960203337,208.55444207517087,208.99277139323183,264.28151438091464,269.01843794510154,262.80205190864655,338.8256670880788,310.1038444660386,259.3694842145789,214.107087548191,182.1831513543556,224.42495044093096,199.0556507894175,198.1428703722773,223.9157349007033,215.3470072442762,213.69599509302577,203.34057348792123,172.90700350982058,32.14473317617899,14.995702750547109,13.654805435618398,13.502564856466387,14.901174578330478,16.52599810738759,16.60614976861871,20.22002456912214,19.301779965832004,32.783398842545616,29.214306264888133,49.21899749370881,69.25298136955136,83.70082626509917,89.57056946676485,98.75701321122568,101.47095737824112,99.61254397732894,105.66534519845834,109.30251598202123,116.77100856985552,116.6426901391326,111.90969683664468,111.11370895375744,108.8215727852914,122.15828600103096,107.79383129157308,105.33969607205978,117.75503703359054,104.84451859475098,127.9716639793837,114.35769613178024,391.4269197991081,99.55678335547252,112.65092827259376,97.09461431527632,95.55966251006782,94.93048282099618,108.33158673692355,129.05057347074472,116.0392785599522,100.07350673035944,89.17622231852101,93.51056150213074,93.88380484308313,94.97862138509684,97.68855895463815,109.54745946384764,100.92686611151032,104.2871732083976,109.70477922245348,112.35490997710164,114.69052104987904,122.86665484771233,107.42661912732696,112.19529562865864,100.60194896104989,101.94240284886638,95.31496465648944,110.14387723884651,109.97754428894994,106.28478603231736,118.95035801554636,124.61071964359311,125.409687924127,125.17739433360651,128.7832943242302,112.20907950900904,141.16645606206703,132.87401520546055,140.21994627489104,136.03589078273325,141.98641685838524,134.57538394059657,131.8821946656988,121.9296372828247,122.7452216189488,123.09218960473136,126.50803591293462,126.62874312506688,117.8537760744814,127.52205214714748,142.2777738002012,142.67305774106808,130.13666564820133,133.14011206009323,141.78222073927537,175.2677809668538,139.6883062503287,133.49045315765792,180.71306101051496,162.36249571639237,161.18670470520073,125.24118949940708,116.774315581853,118.65370457536226,116.28505540183284,121.81433564710689,127.85200549213388,143.5103435662149,126.755872604268,143.31449827228556,188.21648997089585,193.40212107486116,175.43299797033484,182.04972002237213,175.2602318661704,163.88360957562955,171.8064544958996,178.1575392011058,190.26999496538332,168.70470213007297,161.17820121979776,157.44839035552826,176.27383155351458,169.23889040272897,183.04270313537123,173.078210178837,166.9666487875443,190.6008416265358,176.347144656701,199.2798313443839,175.84394996177073,208.66352356543211,184.89739504442696,197.38724036691815,175.4804749371096,164.70738642970943,159.74034362056358,165.5083491475754,173.67921052837983,162.35860558224402,165.3752573450318,169.2350155144924,181.249579613718,172.41536548060327,164.75926302972582,171.05640321065178,175.1298726585317,217.69707203840773,66.75721605427242,37.82651796663006,34.60729797537794,29.36583883394881,40.51815351935095
min,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
q1,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.25,2.25,3.0,2.0,3.0,3.0,2.25,3.0,3.0,4.0,3.0,3.5,3.0,3.0,3.25,3.0,3.0,3.0,3.0,3.0,4.25,4.0,4.0,3.5,3.0,3.0,2.0,2.5,3.0,2.0,3.0,2.0,2.0,2.0,2.75,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.75,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.25,2.0,2.75,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.5,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.25,2.0,2.0,3.0,3.0,2.0,2.0,2.0
q2,7.0,7.0,6.5,10.0,9.0,9.0,8.5,9.0,7.0,6.5,8.0,6.0,7.0,8.0,7.0,8.0,8.0,10.0,8.5,9.0,8.0,9.0,8.0,10.0,9.0,8.0,8.0,8.0,9.0,9.5,10.0,8.5,9.0,9.5,11.0,10.5,9.0,10.0,9.0,8.5,7.0,8.0,9.5,7.0,8.0,8.0,6.0,6.0,9.0,8.0,7.0,8.0,8.0,9.5,8.0,7.5,7.0,7.0,7.0,7.0,8.0,7.5,5.0,5.0,5.0,5.0,6.0,5.0,6.0,5.0,6.0,6.0,5.0,6.0,5.0,6.0,7.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,6.5,6.0,5.0,6.0,6.5,6.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.5,7.0,5.0,6.0,5.0,5.5,6.0,6.0,5.0,5.0,4.0,5.0,5.0,5.0,5.5,6.0,5.0,6.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,4.5,5.0,5.0,4.0,4.5,4.0,5.0,5.0,4.0,5.0,5.5,5.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.5,5.0,5.0,5.0,6.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,6.0,5.0,5.0,5.5,5.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,7.0,6.0,6.5,6.0,6.0
q3,26.0,25.25,21.75,26.0,32.0,27.25,28.5,31.0,26.0,23.25,26.0,24.75,30.0,27.5,28.5,31.75,26.0,27.25,29.0,30.5,27.5,30.0,30.75,33.0,35.0,30.0,28.75,33.25,33.25,36.5,35.75,33.75,37.75,33.75,39.0,39.0,39.0,41.5,32.5,29.5,30.0,35.0,31.5,31.0,31.25,22.25,22.0,23.0,23.25,23.25,20.0,20.5,22.0,23.5,22.5,19.75,20.75,24.0,23.5,21.0,21.5,18.0,15.0,13.5,13.25,12.0,12.5,13.0,14.25,13.0,16.0,16.0,13.0,19.75,17.0,16.75,17.0,13.0,14.0,15.0,13.75,15.75,15.5,15.5,17.0,18.75,20.5,18.0,19.0,19.0,19.75,16.75,18.5,18.0,19.0,15.5,14.5,14.0,12.0,15.0,14.0,14.5,14.5,14.0,14.0,13.0,14.75,14.0,15.0,11.5,15.0,14.0,16.0,15.5,17.0,16.0,17.75,13.0,14.0,13.0,13.75,13.0,13.0,12.0,13.75,14.0,15.0,16.5,17.75,14.25,14.0,14.0,16.0,13.0,14.5,15.25,14.75,15.0,13.0,16.0,14.0,15.0,14.25,12.5,14.25,16.75,12.75,15.0,15.25,13.25,13.75,14.75,15.0,12.0,10.75,14.0,12.25,14.5,13.75,11.0,14.0,15.0,13.0,15.0,14.0,15.0,14.0,16.25,18.0,16.0,18.0,15.0,16.0,19.75,16.0,17.0,17.75,15.0,17.5,16.0,16.75,17.25,15.0,14.75,16.0,16.5,17.0,14.5,16.0,16.0,15.0,15.0,16.0,18.0,17.0,15.25,15.25,16.5,14.0,15.0,15.0,12.75,15.0,16.0,14.75,13.0,13.25
max,2479.0,2500.0,2342.0,2075.0,1810.0,2407.0,2087.0,2238.0,2223.0,2660.0,2476.0,2656.0,2638.0,2356.0,2141.0,2638.0,2451.0,2756.0,2499.0,2161.0,2261.0,2392.0,2471.0,2393.0,2340.0,2345.0,2426.0,2639.0,2446.0,2506.0,2590.0,2632.0,2569.0,2660.0,2285.0,2401.0,2601.0,2496.0,2522.0,2425.0,2308.0,2171.0,2340.0,2265.0,2255.0,2315.0,2881.0,2928.0,2874.0,3771.0,3412.0,2832.0,2379.0,1968.0,2427.0,2202.0,2210.0,2511.0,2443.0,2414.0,2283.0,1884.0,324.0,75.0,70.0,77.0,85.0,105.0,105.0,129.0,115.0,295.0,246.0,493.0,735.0,899.0,948.0,1061.0,1101.0,1088.0,1173.0,1200.0,1297.0,1289.0,1265.0,1222.0,1221.0,1343.0,1180.0,1164.0,1276.0,1150.0,1422.0,1250.0,4296.0,1089.0,1234.0,1068.0,1047.0,1025.0,1163.0,1420.0,1219.0,1090.0,938.0,992.0,1026.0,1006.0,1058.0,1207.0,1087.0,1129.0,1181.0,1226.0,1212.0,1304.0,1137.0,1213.0,1058.0,1117.0,1039.0,1188.0,1189.0,1174.0,1276.0,1339.0,1372.0,1343.0,1379.0,1228.0,1512.0,1433.0,1519.0,1458.0,1533.0,1479.0,1468.0,1309.0,1309.0,1286.0,1368.0,1370.0,1280.0,1404.0,1521.0,1542.0,1449.0,1435.0,1492.0,1850.0,1507.0,1393.0,1942.0,1738.0,1744.0,1341.0,1249.0,1282.0,1250.0,1333.0,1383.0,1514.0,1386.0,1547.0,2027.0,2117.0,1914.0,1986.0,1928.0,1778.0,1908.0,1973.0,2123.0,1845.0,1807.0,1744.0,1926.0,1884.0,2036.0,1907.0,1820.0,2096.0,1949.0,2139.0,1946.0,2321.0,2005.0,2201.0,1960.0,1810.0,1753.0,1812.0,1861.0,1771.0,1819.0,1826.0,1995.0,1854.0,1790.0,1899.0,1890.0,2392.0,638.0,254.0,204.0,248.0,265.0
sum,5276.0,5207.0,5127.0,4847.0,4719.0,5412.0,5008.0,5366.0,5221.0,5789.0,5616.0,5763.0,5804.0,5464.0,5487.0,6138.0,5672.0,6398.0,5872.0,5806.0,5752.0,6016.0,6552.0,6503.0,6207.0,6008.0,6105.0,6494.0,6432.0,6464.0,6490.0,6473.0,6375.0,6461.0,6001.0,6267.0,6394.0,6345.0,6022.0,5671.0,5318.0,5271.0,5325.0,5173.0,5041.0,4984.0,5187.0,5633.0,5538.0,6558.0,5705.0,5279.0,4777.0,4377.0,4999.0,4706.0,4814.0,5419.0,5319.0,5170.0,4827.0,4111.0,1790.0,1321.0,1261.0,1211.0,1255.0,1353.0,1525.0,1586.0,1693.0,1993.0,1937.0,2442.0,2685.0,2950.0,2986.0,2861.0,2993.0,3087.0,3190.0,3192.0,3423.0,3405.0,3305.0,3413.0,3414.0,3543.0,3312.0,3268.0,3470.0,3176.0,3507.0,3284.0,6121.0,2837.0,2914.0,2684.0,2398.0,2585.0,2690.0,3145.0,2546.0,2529.0,2538.0,2513.0,2498.0,2439.0,2469.0,2660.0,2646.0,2823.0,2961.0,2908.0,2909.0,2902.0,2762.0,2816.0,2659.0,2703.0,2581.0,2774.0,2752.0,2794.0,3001.0,2997.0,3107.0,3247.0,3340.0,2992.0,3262.0,3289.0,3443.0,3290.0,3381.0,3376.0,3226.0,3064.0,2953.0,2926.0,3185.0,3185.0,2899.0,3068.0,3308.0,3359.0,3134.0,3190.0,3177.0,3458.0,3233.0,2918.0,3633.0,3131.0,3185.0,2803.0,2662.0,2868.0,2874.0,2799.0,2994.0,3195.0,2968.0,3313.0,3865.0,4248.0,3967.0,4042.0,4088.0,3738.0,3977.0,4117.0,4190.0,4052.0,3961.0,3955.0,4177.0,4146.0,4424.0,4158.0,3928.0,4372.0,4260.0,4479.0,4286.0,4843.0,4343.0,4490.0,4189.0,3915.0,3811.0,4058.0,3948.0,4042.0,4124.0,4006.0,4195.0,4087.0,4005.0,4058.0,3988.0,4340.0,2824.0,2236.0,2174.0,1703.0,2223.0
