metrics,2019-01-07,2019-01-14,2019-01-21,2019-01-28,2019-02-04,2019-02-11,2019-02-18,2019-02-25,2019-03-04,2019-03-11,2019-03-18,2019-03-25,2019-04-01,2019-04-08,2019-04-15,2019-04-22,2019-04-29,2019-05-06,2019-05-13,2019-05-20,2019-05-27,2019-06-03,2019-06-10,2019-06-17,2019-06-24,2019-07-01,2019-07-08,2019-07-15,2019-07-22,2019-07-29,2019-08-05,2019-08-12,2019-08-19,2019-08-26,2019-09-02,2019-09-09,2019-09-16,2019-09-23,2019-09-30,2019-10-07,2019-10-14,2019-10-21,2019-10-28,2019-11-04,2019-11-11,2019-11-18,2019-11-25,2019-12-02,2019-12-09,2019-12-16,2019-12-23,2019-12-30,2020-01-06,2020-01-13,2020-01-20,2020-01-27,2020-02-03,2020-02-10,2020-02-17,2020-02-24,2020-03-02,2020-03-09,2020-03-16,2020-03-23,2020-03-30,2020-04-06,2020-04-13,2020-04-20,2020-04-27,2020-05-04,2020-05-11,2020-05-18,2020-05-25,2020-06-01,2020-06-08,2020-06-15,2020-06-22,2020-06-29,2020-07-06,2020-07-13,2020-07-20,2020-07-27,2020-08-03,2020-08-10,2020-08-17,2020-08-24,2020-08-31,2020-09-07,2020-09-14,2020-09-21,2020-09-28,2020-10-05,2020-10-12,2020-10-19,2020-10-26,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21,2020-12-28,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-05,2021-04-12,2021-04-19,2021-04-26,2021-05-03,2021-05-10,2021-05-17,2021-05-24,2021-05-31,2021-06-07,2021-06-14,2021-06-21,2021-06-28,2021-07-05,2021-07-12,2021-07-19,2021-07-26,2021-08-02,2021-08-09,2021-08-23,2021-08-30,2021-09-06,2021-09-13,2021-09-20,2021-09-27,2021-10-04,2021-10-11,2021-10-18,2021-10-25,2021-11-01,2021-11-08,2021-11-15,2021-11-22,2021-11-29,2021-12-06,2021-12-13,2021-12-20,2021-12-27,2022-01-03,2022-01-10,2022-01-17,2022-01-24,2022-01-31,2022-02-07,2022-02-14,2022-02-21,2022-02-28,2022-03-07,2022-03-14,2022-03-21,2022-03-28,2022-04-04,2022-04-11,2022-04-18,2022-04-25,2022-05-02,2022-05-09,2022-05-16,2022-05-23,2022-05-30,2022-06-06,2022-06-13,2022-06-20,2022-06-27,2022-07-04,2022-07-11,2022-07-18,2022-07-25,2022-08-01,2022-08-08,2022-08-15,2022-08-22,2022-08-29,2022-09-05,2022-09-12,2022-09-19,2022-09-26,2022-10-03,2022-10-10,2022-10-17,2022-10-24,2022-10-31,2022-11-07,2022-11-14,2022-11-21,2022-11-28,2022-12-05,2022-12-12,2022-12-19,2022-12-26
count,19280.0,19291.0,19239.0,19311.0,19337.0,19332.0,19241.0,19340.0,19297.0,19286.0,19319.0,19397.0,19341.0,19300.0,19331.0,19349.0,19322.0,19378.0,19392.0,19380.0,19297.0,19413.0,19388.0,19351.0,19437.0,19371.0,19456.0,19433.0,19461.0,19511.0,19507.0,19476.0,19481.0,19493.0,19471.0,19526.0,19569.0,19543.0,19557.0,19484.0,19336.0,19336.0,19303.0,19382.0,19320.0,19322.0,19173.0,19398.0,19368.0,19380.0,19074.0,19191.0,19318.0,19335.0,19265.0,19294.0,19300.0,19319.0,19268.0,19405.0,19376.0,19315.0,19049.0,18589.0,18424.0,18275.0,18367.0,18379.0,18538.0,18597.0,18624.0,18722.0,18679.0,18887.0,18883.0,18837.0,18893.0,18904.0,18867.0,18913.0,18874.0,18941.0,18981.0,19040.0,19011.0,19025.0,19092.0,19011.0,19122.0,19053.0,19116.0,19125.0,19027.0,19004.0,19528.0,19033.0,18887.0,18938.0,18547.0,18937.0,18924.0,18868.0,18490.0,18568.0,18820.0,18827.0,18733.0,18757.0,18794.0,18893.0,18934.0,19053.0,19139.0,19046.0,18989.0,18981.0,18979.0,18961.0,18950.0,18976.0,18988.0,19001.0,19024.0,19029.0,19052.0,19039.0,19054.0,19104.0,19080.0,19113.0,19007.0,19079.0,19029.0,19037.0,19123.0,19074.0,19106.0,19136.0,18997.0,19063.0,19039.0,19109.0,19090.0,19016.0,19116.0,19076.0,19130.0,19072.0,19066.0,18883.0,19134.0,19068.0,19191.0,18911.0,18762.0,18968.0,18975.0,18872.0,18994.0,19090.0,19089.0,19129.0,19081.0,19154.0,19230.0,19286.0,19277.0,19300.0,19275.0,19275.0,19245.0,19275.0,19332.0,19320.0,19296.0,19295.0,19297.0,19372.0,19382.0,19293.0,19314.0,19280.0,19308.0,19320.0,19358.0,19347.0,19336.0,19337.0,19342.0,19386.0,19304.0,19388.0,19364.0,19309.0,19413.0,19393.0,19373.0,19393.0,19428.0,19326.0,19393.0,19237.0,19450.0,19309.0,19333.0,19233.0,19087.0
mean,63.835684647302905,63.01923176610855,62.14886428608556,63.088654134949,60.96917825929565,61.76463894061659,63.470869497427366,62.21825232678387,62.01051976991242,61.364461267240486,61.741549769656814,62.99871114089808,63.01830308670699,64.40316062176166,62.80745952097667,63.06961600082692,61.27962943794638,62.65553720714212,61.79904084158416,61.88333333333333,59.04803855521584,60.42765157368773,61.59062306581391,61.903570874890185,61.390183670319495,57.192504258943785,62.09524054276316,61.36710749755571,60.94727917373208,59.06832043462662,58.8869636540729,59.60654138426781,61.2977259894256,59.95711280972657,57.75245236505573,60.099098637713816,59.69380142061424,59.89525661362124,58.46903921869407,61.76904126462739,64.57002482416219,66.19254240794373,62.9008444283272,63.39675988030131,63.5685817805383,64.51257633785322,60.00975329890993,61.58212186823384,61.47976042957456,61.23606811145511,55.39283841878998,59.67453493825231,67.71736204576042,68.01903284199638,67.58178043083312,68.07209495179849,67.68331606217616,67.46860603550908,66.1336412705003,65.28858541612986,66.09067919075144,68.86031581672276,75.56354664286839,79.2433697347894,76.929168475901,79.21247606019152,74.265149452823,76.32188911257413,70.97782932355162,69.81583051029736,70.80900987972508,70.59117615639354,66.97708656780341,66.89363053952454,67.64078801037971,65.84636619419229,67.23670142380776,64.33056495979687,66.19367148990301,65.87786178818801,66.85095899120483,65.57499604033578,64.48353616774669,65.22074579831933,67.4414812476987,66.47190538764784,62.04080243033732,64.97906475198569,66.64485932433846,68.01438093738518,63.68277882402176,62.953307189542485,64.54780049403479,67.12834140181015,72.22454936501434,66.78952345925498,65.38396780854556,68.38383144999472,64.21286461422332,65.59592332470824,68.11741703656732,66.22286410854356,59.50908599242834,61.59758724687634,66.21886291179597,70.0270887555107,69.5558639833449,71.31289651863304,69.64424816430775,66.40522945006087,61.538871870708775,60.533091901537816,57.394639218349965,58.99984248661136,59.38532834799094,62.47763553026711,59.20596448706465,59.09166183218185,62.66026385224274,62.92406197301855,62.328417948177794,59.29177411715173,60.94633095037847,61.75484786378685,58.132532017635945,56.960134460843534,59.11304712921172,58.81454145728643,58.899423480083854,57.1966201015016,57.41658336402378,59.149221657319565,59.60717851700037,59.72127961338446,57.42775715107462,59.91045402118066,61.65586726682717,59.15729515050168,59.057114281202296,59.04736924933116,60.39786753505962,60.509341148150085,59.72530120481928,57.689524610854015,60.65008369951872,60.21833717760537,60.64485101934135,60.21801593959732,60.1569285639358,56.3926812476831,58.733929131389154,55.26384518565136,57.489969256422285,53.46253503252076,51.94440891162989,59.27398776887389,62.61122529644269,62.19425604069521,66.38148889122881,62.90199057097957,64.9054953114359,64.18270688483454,62.01981028247995,60.59152135324214,63.14997399895996,60.4655708804314,62.206723037817085,60.94227979274611,61.5895719844358,60.49665369649806,61.07196674460899,59.20456549935149,58.66475274156839,59.88778467908903,60.42692786069652,58.19170769629438,55.84437995543349,57.49194714020236,57.51723248374781,57.38086352563106,58.31609195402299,57.06052904564315,60.1237828879221,58.56728778467909,58.084099597065816,56.461466894092105,59.62324162184526,58.00584371929462,59.89783889980354,57.39672959867946,56.959127641939496,60.153548586754695,59.791158851476965,58.220363561033714,56.937722144954414,55.86557005104935,58.666494605894805,59.22765946475533,57.75097796994029,58.07218255200248,57.37245397823957,52.664656651245,55.977120822622105,51.99145476202807,53.48683597993069,50.10710757552124,45.43495572903023
std,123.68046818699013,122.54186361931863,122.72670806416828,122.9122156301789,119.33741136307592,120.47008547066888,124.14876310531533,122.57087673259268,121.00261321078764,119.88739578981507,120.84775145993638,122.19937227007996,124.1144182061657,125.37830706399092,122.0401457452839,122.15733702908572,119.3792295732541,122.68816194242272,119.98792632223324,121.55570162177858,121.82072694872949,120.3772094499087,119.6307841450231,122.24078159697532,119.82757662289984,118.36016129905008,120.96815023097848,121.23356739820818,119.1891274150394,117.789449352316,117.73168086858526,118.3606485638417,119.36448658010885,117.55571923250714,116.97691176027732,117.61583229898125,119.85951277833723,119.87213759725924,118.60050806189992,120.06682784892898,127.48416862449136,124.96503160527465,121.86142894825709,123.35483617970652,125.0553645451431,123.18373541742945,121.87768414418588,121.5596648157321,121.08840455497236,120.9804159985526,117.2561997610838,123.20508268508397,128.0631975813767,128.260822445206,130.95537874888043,130.22254846829185,129.93286927105785,129.7313167731319,129.11882626755437,126.04396990779443,128.38172067185533,131.69647543076474,139.653977673344,147.83555511263714,148.16916416223768,153.1517297787253,147.58074970263704,148.32466156811668,142.34893572093273,140.0933480657388,140.44813358829254,140.56312168920007,136.85643307520613,136.74375124824073,137.13039055444548,132.67638451612078,137.13245710409151,136.1610763716962,137.19973900692065,135.28280326086573,135.0606744239467,135.68124307038855,132.23368610150806,132.46014798184615,136.1136994258018,132.73295318217734,130.43621250321198,134.19756249452706,134.17318922515622,137.0147096339636,133.22949394780346,131.21227584142045,134.69889201595294,133.57786864328045,143.40957234869933,134.16723807920067,131.74014585998864,136.1422576283733,135.96949801206486,133.70897220557816,136.95330998503144,135.1544854098522,128.07362586136207,137.1354340718292,136.35079684547753,140.04314457607876,139.14438307628373,140.65237072517743,141.1752435557691,137.31416899174337,134.2574962988419,132.54451325574755,127.07181153324478,130.73956463946735,131.9772782629463,137.4692140564277,133.27971585379498,134.38998345307445,137.2181506797334,136.14079195608397,135.68415771935457,131.717603508074,132.5540416114575,134.36038056249433,131.00142953320685,131.75369511792644,133.34090328386642,132.4346807456754,132.56986820603043,131.07683799294296,130.93745831000265,131.170973176639,133.8093220120192,132.33187685093247,130.02373266721378,135.3678051478769,135.88555931527648,133.45829974438013,132.81556165257138,131.7308848834929,135.2266246038685,133.99855369295867,132.3911634603003,129.12108212745946,133.98250974315258,132.42026580391095,131.58973869454843,132.30688500018923,131.15813732917934,129.31037932540065,131.7795639299434,124.38448395051434,128.8940934555459,123.41991179506806,125.16736602459984,133.0186817281678,136.69794082915905,134.92223473135758,142.5971977758896,135.52979023557563,139.0909305494196,138.6987030204103,135.41534919760008,132.0532750827786,136.8213736110729,131.4327024881267,135.7945253047942,132.7292547444351,136.36546638550612,133.65133903623448,132.8439890528021,128.48598182320077,129.6289708252309,129.5421384160545,130.21586219806602,128.13338760380168,126.2071413207954,128.66362065536742,129.7100917300492,130.9075174161085,130.73202905737412,129.37919944070433,131.34051063247855,130.88151369125077,130.52781115229868,129.38159141398052,132.84357017099228,128.7364347364582,131.1416886498019,129.03438202182127,128.91690822029312,132.7600078239126,131.91801908008082,130.51843354635076,128.7955072841564,126.780134822693,130.77684355939735,132.13794521549315,130.3972795687793,128.76010573240254,127.7872893295625,123.54170134115506,126.44976168169347,119.4099347829238,122.8692608454006,120.41233351410716,115.67486670696262
min,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
q1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
q2,7.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0,9.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0
q3,51.0,52.0,49.0,50.0,48.0,50.0,50.0,47.0,51.0,50.0,49.0,53.0,50.0,55.0,53.0,51.0,47.0,50.0,51.0,50.0,42.0,45.0,50.0,49.0,46.0,39.0,48.0,47.0,47.0,43.0,42.0,43.25,49.0,46.0,41.0,47.0,45.0,45.0,42.0,50.25,52.0,57.0,51.0,51.0,51.0,55.0,41.0,48.0,48.0,47.0,37.0,40.0,58.0,59.0,57.0,57.0,55.0,58.0,55.0,53.0,53.25,55.0,65.0,72.0,61.0,63.0,52.0,61.0,44.0,44.0,51.0,52.0,45.0,43.0,45.0,45.0,43.0,37.0,42.0,43.0,46.0,42.0,41.0,43.25,47.0,47.0,40.0,44.0,47.0,49.0,40.0,41.0,42.0,48.0,57.0,46.0,45.0,48.0,40.0,42.0,48.0,42.0,33.0,32.0,42.0,47.0,48.0,52.0,46.75,41.0,34.0,31.0,26.0,30.0,28.0,30.0,27.0,26.0,30.0,34.0,31.0,26.0,30.0,31.0,25.0,24.0,27.0,27.0,27.0,25.0,24.0,27.0,27.0,26.0,25.0,27.0,29.0,25.0,25.0,27.0,29.0,27.0,27.0,26.0,29.0,29.0,29.0,30.0,29.0,25.0,26.0,30.0,26.0,23.5,21.0,24.0,28.0,31.0,36.0,31.0,34.0,34.0,31.0,27.0,33.0,30.0,32.0,30.0,29.0,29.0,29.0,29.0,27.0,29.0,31.0,27.0,23.0,26.0,27.0,27.0,28.0,26.0,30.0,30.0,29.0,26.0,29.25,28.0,30.0,26.0,27.0,30.0,30.0,29.0,27.0,26.0,29.0,29.0,26.0,30.0,30.0,25.0,27.0,24.0,26.0,18.0,15.0
max,1404.0,1450.0,1425.0,1422.0,1432.0,1430.0,1440.0,1440.0,1440.0,1424.0,1478.0,1426.0,1440.0,1592.0,1422.0,1430.0,1427.0,1425.0,1427.0,1636.0,2417.0,1427.0,1440.0,1423.0,1426.0,1425.0,1428.0,1424.0,1411.0,1411.0,1418.0,1421.0,1423.0,1425.0,1424.0,1416.0,1960.0,1825.0,1427.0,1429.0,1475.0,1423.0,1426.0,1632.0,1426.0,2040.0,1423.0,1431.0,1428.0,1420.0,1423.0,1419.0,1425.0,1470.0,1431.0,1427.0,1429.0,1419.0,1620.0,1430.0,1429.0,1444.0,1417.0,1428.0,1429.0,1430.0,1427.0,1429.0,1429.0,1431.0,1431.0,1440.0,1440.0,1440.0,1434.0,1429.0,1440.0,1752.0,1529.0,1429.0,1614.0,1467.0,1742.0,1457.0,1440.0,1446.0,1492.0,1456.0,1440.0,1449.0,1440.0,1440.0,1938.0,1465.0,1440.0,1440.0,1417.0,1417.0,1450.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,2063.0,1509.0,1440.0,1440.0,1767.0,1440.0,1440.0,1422.0,1500.0,1414.0,1443.0,1440.0,1505.0,1440.0,1440.0,1440.0,1440.0,1440.0,1423.0,1776.0,1440.0,1440.0,1485.0,1867.0,1462.0,1441.0,1417.0,1456.0,1440.0,1440.0,1440.0,1466.0,1440.0,1440.0,1440.0,1425.0,1475.0,1440.0,1414.0,1494.0,1440.0,1420.0,1440.0,1426.0,1440.0,1440.0,1612.0,1440.0,1426.0,1440.0,1440.0,1440.0,1441.0,2250.0,1440.0,1440.0,1440.0,1420.0,1422.0,1440.0,1440.0,1413.0,1419.0,1909.0,1417.0,1422.0,1440.0,1440.0,1418.0,1425.0,1418.0,1440.0,1410.0,1429.0,1411.0,1417.0,1422.0,1422.0,1417.0,1422.0,1425.0,1417.0,1416.0,1413.0,1421.0,1424.0,1417.0,1421.0,1417.0,1425.0,1413.0,1416.0,1427.0,1417.0,1428.0,1426.0,1422.0,1420.0,1426.0,1419.0,1418.0,1418.0
sum,1230752.0,1215704.0,1195682.0,1218305.0,1178961.0,1194034.0,1221243.0,1203301.0,1196617.0,1183475.0,1192785.0,1221986.0,1218837.0,1242981.0,1214131.0,1220334.0,1184045.0,1214139.0,1198407.0,1199299.0,1139450.0,1173082.0,1194119.0,1197896.0,1193241.0,1107876.0,1208125.0,1192547.0,1186095.0,1152482.0,1148708.0,1160897.0,1194141.0,1168744.0,1124498.0,1173495.0,1168148.0,1170533.0,1143479.0,1203508.0,1248526.0,1279899.0,1214175.0,1228756.0,1228145.0,1246512.0,1150567.0,1194570.0,1190740.0,1186755.0,1056563.0,1145214.0,1308164.0,1315148.0,1301963.0,1313383.0,1306288.0,1303426.0,1274263.0,1266925.0,1280573.0,1330037.0,1439410.0,1473055.0,1417343.0,1447608.0,1364028.0,1402720.0,1315787.0,1298365.0,1318747.0,1321608.0,1251065.0,1263420.0,1277261.0,1240348.0,1270303.0,1216105.0,1248876.0,1245948.0,1261745.0,1242056.0,1223962.0,1241803.0,1282130.0,1264628.0,1184483.0,1235317.0,1274383.0,1295878.0,1217360.0,1203982.0,1228151.0,1275707.0,1410401.0,1271205.0,1234907.0,1295053.0,1190956.0,1242190.0,1289054.0,1249493.0,1100323.0,1143744.0,1246239.0,1318400.0,1302990.0,1337616.0,1308894.0,1254594.0,1165177.0,1153337.0,1098476.0,1123711.0,1127668.0,1185888.0,1123670.0,1120437.0,1187412.0,1194047.0,1183492.0,1126603.0,1159443.0,1175133.0,1107541.0,1084464.0,1126340.0,1123593.0,1123801.0,1093199.0,1091317.0,1128508.0,1134265.0,1136914.0,1098191.0,1142732.0,1177997.0,1132034.0,1121908.0,1125620.0,1149915.0,1156273.0,1140156.0,1097024.0,1159387.0,1148725.0,1160136.0,1148478.0,1146952.0,1064863.0,1123815.0,1053771.0,1103290.0,1011030.0,974581.0,1124309.0,1188048.0,1173730.0,1260850.0,1200799.0,1238981.0,1227751.0,1183400.0,1160570.0,1214374.0,1166139.0,1199159.0,1176186.0,1187139.0,1166073.0,1175330.0,1141168.0,1134107.0,1157032.0,1165998.0,1122809.0,1077629.0,1113734.0,1114799.0,1107049.0,1126317.0,1100127.0,1160870.0,1131520.0,1124392.0,1092360.0,1152875.0,1121659.0,1158544.0,1112693.0,1099539.0,1166257.0,1157796.0,1124177.0,1105332.0,1083401.0,1136546.0,1148602.0,1121986.0,1122303.0,1112624.0,1013110.0,1088755.0,1003903.0,1034061.0,963710.0,867217.0
