metrics,2019-01-07,2019-01-14,2019-01-21,2019-01-28,2019-02-04,2019-02-11,2019-02-18,2019-02-25,2019-03-04,2019-03-11,2019-03-18,2019-03-25,2019-04-01,2019-04-08,2019-04-15,2019-04-22,2019-04-29,2019-05-06,2019-05-13,2019-05-20,2019-05-27,2019-06-03,2019-06-10,2019-06-17,2019-06-24,2019-07-01,2019-07-08,2019-07-15,2019-07-22,2019-07-29,2019-08-05,2019-08-12,2019-08-19,2019-08-26,2019-09-02,2019-09-09,2019-09-16,2019-09-23,2019-09-30,2019-10-07,2019-10-14,2019-10-21,2019-10-28,2019-11-04,2019-11-11,2019-11-18,2019-11-25,2019-12-02,2019-12-09,2019-12-16,2019-12-23,2019-12-30,2020-01-06,2020-01-13,2020-01-20,2020-01-27,2020-02-03,2020-02-10,2020-02-17,2020-02-24,2020-03-02,2020-03-09,2020-03-16,2020-03-23,2020-03-30,2020-04-06,2020-04-13,2020-04-20,2020-04-27,2020-05-04,2020-05-11,2020-05-18,2020-05-25,2020-06-01,2020-06-08,2020-06-15,2020-06-22,2020-06-29,2020-07-06,2020-07-13,2020-07-20,2020-07-27,2020-08-03,2020-08-10,2020-08-17,2020-08-24,2020-08-31,2020-09-07,2020-09-14,2020-09-21,2020-09-28,2020-10-05,2020-10-12,2020-10-19,2020-10-26,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21,2020-12-28,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-05,2021-04-12,2021-04-19,2021-04-26,2021-05-03,2021-05-10,2021-05-17,2021-05-24,2021-05-31,2021-06-07,2021-06-14,2021-06-21,2021-06-28,2021-07-05,2021-07-12,2021-07-19,2021-07-26,2021-08-02,2021-08-09,2021-08-23,2021-08-30,2021-09-06,2021-09-13,2021-09-20,2021-09-27,2021-10-04,2021-10-11,2021-10-18,2021-10-25,2021-11-01,2021-11-08,2021-11-15,2021-11-22,2021-11-29,2021-12-06,2021-12-13,2021-12-20,2021-12-27,2022-01-03,2022-01-10,2022-01-17,2022-01-24,2022-01-31,2022-02-07,2022-02-14,2022-02-21,2022-02-28,2022-03-07,2022-03-14,2022-03-21,2022-03-28,2022-04-04,2022-04-11,2022-04-18,2022-04-25,2022-05-02,2022-05-09,2022-05-16,2022-05-23,2022-05-30,2022-06-06,2022-06-13,2022-06-20,2022-06-27,2022-07-04,2022-07-11,2022-07-18,2022-07-25,2022-08-01,2022-08-08,2022-08-15,2022-08-22,2022-08-29,2022-09-05,2022-09-12,2022-09-19,2022-09-26,2022-10-03,2022-10-10,2022-10-17,2022-10-24,2022-10-31,2022-11-07,2022-11-14,2022-11-21,2022-11-28,2022-12-05,2022-12-12,2022-12-19,2022-12-26
count,17.0,17.0,17.0,17.0,18.0,16.0,17.0,16.0,17.0,19.0,19.0,19.0,19.0,18.0,17.0,16.0,16.0,17.0,15.0,16.0,16.0,16.0,17.0,15.0,18.0,17.0,16.0,16.0,16.0,15.0,15.0,16.0,17.0,16.0,15.0,18.0,16.0,17.0,15.0,16.0,15.0,16.0,13.0,18.0,16.0,18.0,14.0,15.0,16.0,13.0,15.0,16.0,17.0,18.0,14.0,17.0,14.0,17.0,18.0,17.0,15.0,16.0,16.0,13.0,15.0,17.0,15.0,14.0,17.0,16.0,17.0,16.0,16.0,17.0,16.0,16.0,17.0,17.0,14.0,15.0,15.0,18.0,17.0,17.0,15.0,16.0,15.0,16.0,16.0,16.0,16.0,15.0,16.0,15.0,55.0,15.0,16.0,15.0,14.0,16.0,16.0,15.0,16.0,15.0,16.0,15.0,15.0,15.0,17.0,14.0,15.0,17.0,18.0,17.0,14.0,16.0,14.0,14.0,13.0,14.0,14.0,14.0,16.0,14.0,14.0,15.0,14.0,15.0,16.0,16.0,17.0,15.0,16.0,17.0,15.0,16.0,17.0,14.0,16.0,16.0,16.0,16.0,16.0,15.0,14.0,15.0,14.0,17.0,14.0,15.0,15.0,14.0,18.0,11.0,12.0,12.0,14.0,14.0,16.0,14.0,14.0,16.0,16.0,16.0,14.0,14.0,15.0,16.0,17.0,13.0,16.0,15.0,15.0,16.0,14.0,15.0,15.0,15.0,14.0,13.0,15.0,17.0,17.0,15.0,14.0,14.0,13.0,16.0,15.0,13.0,16.0,15.0,15.0,16.0,15.0,15.0,14.0,15.0,15.0,17.0,16.0,16.0,13.0,16.0,17.0,16.0,16.0
mean,310.11764705882354,242.23529411764707,263.8235294117647,293.5882352941176,199.05555555555557,266.4375,271.47058823529414,247.375,255.41176470588235,252.57894736842104,250.0,174.8421052631579,257.05263157894734,171.22222222222223,171.11764705882354,222.75,244.1875,295.8235294117647,321.2,251.25,218.25,263.0625,313.4117647058824,206.33333333333331,237.88888888888889,282.7647058823529,243.4375,258.375,227.5,235.86666666666667,260.7333333333333,274.75,254.8823529411765,180.625,218.13333333333333,241.22222222222223,314.625,278.7647058823529,208.26666666666668,266.9375,346.6666666666667,179.4375,257.61538461538464,296.3333333333333,262.75,226.61111111111111,346.92857142857144,187.4,242.625,293.0769230769231,200.46666666666667,370.75,185.1764705882353,242.05555555555557,265.2142857142857,202.8235294117647,270.35714285714283,191.52941176470588,269.1111111111111,215.1764705882353,284.6,239.625,283.625,267.46153846153845,208.33333333333331,157.41176470588235,166.06666666666666,253.57142857142856,223.8823529411765,203.9375,256.7058823529412,342.8125,356.875,263.8235294117647,313.75,319.5625,244.4705882352941,240.64705882352945,277.6428571428572,314.93333333333334,356.3333333333333,285.3333333333333,403.52941176470586,281.05882352941177,376.4,358.3125,288.53333333333336,192.9375,261.1875,201.8125,248.5,306.3333333333333,275.625,329.2,162.9090909090909,346.8666666666667,317.375,410.6666666666667,344.85714285714283,280.6875,312.625,402.6666666666667,323.4375,325.2,286.6875,357.26666666666665,376.4,379.73333333333335,357.5882352941176,326.7857142857143,290.6666666666667,309.0,391.77777777777777,464.9411764705882,414.6428571428572,282.0,318.6428571428572,329.7142857142857,502.84615384615387,453.07142857142856,402.57142857142856,438.4285714285714,359.8125,388.57142857142856,328.85714285714283,356.46666666666664,430.6428571428572,352.3333333333333,412.5625,300.25,343.8235294117647,397.8666666666667,354.875,329.47058823529414,394.6,357.4375,403.5882352941176,448.8571428571428,309.1875,406.125,356.4375,359.8125,280.5625,383.1333333333333,458.0,350.4,423.0,330.94117647058823,351.07142857142856,351.8666666666667,335.06666666666666,321.2142857142857,304.6666666666667,392.54545454545456,343.5,360.3333333333333,347.92857142857144,341.85714285714283,324.625,344.07142857142856,355.07142857142856,277.8125,283.625,308.4375,315.6428571428572,314.92857142857144,304.46666666666664,334.0,238.58823529411765,340.0,368.4375,323.06666666666666,368.3333333333333,384.1875,347.42857142857144,303.6666666666667,406.2,312.7333333333333,308.6428571428572,329.9230769230769,348.46666666666664,326.0,253.52941176470588,342.53333333333336,367.4285714285714,374.5,356.7692307692308,385.6875,342.2,351.6923076923077,317.625,406.73333333333335,359.26666666666665,392.0,351.1333333333333,403.8,395.07142857142856,447.26666666666665,378.2,318.05882352941177,369.6875,300.4375,407.38461538461536,294.5625,328.52941176470586,387.4375,405.0625
std,277.0793844624996,209.00972746853336,210.0467910056345,219.3593110696265,148.73564081844407,214.88383489690423,225.36667833972783,237.86687453279407,183.69167741882364,253.66783087544357,202.51913489840905,177.755844772759,263.4467000034164,161.79237077758043,174.31038492906168,173.07975040425728,190.00744502957423,237.7010294714028,288.0236101433353,180.66931117375745,160.3282050461906,219.69720640008148,178.7557897046727,120.44836870547282,209.03782063903256,228.2530200818175,191.9798492029828,197.76918364598663,155.62219207640877,178.0324475508675,179.59496758248093,221.1203292327505,192.04227475771484,149.25453650280338,159.7148649789308,237.44709765125904,286.44019154674044,268.58646871439856,185.398977754412,312.53233832677216,420.0798676895803,224.4608262035939,162.34199418795828,301.84939758682543,289.8741106066563,203.2121866681659,362.864133141978,180.58943174267665,177.63666100592337,250.97990010439133,191.58730448047763,372.799231043556,274.1229731557804,309.04796357661,311.1144183715717,182.21046734961385,302.90633412450666,165.37499722111065,279.7519676404311,188.33156775157133,245.78556275164507,189.35993064355864,192.1256099534885,173.87525000442864,171.63984996275803,191.98374241831303,173.86590344559335,174.7577286882149,187.72316131505363,157.19349806316205,189.7899380584632,299.1087246582197,320.06413419813225,305.104948192855,226.603471582704,221.14850779510135,213.17631131502944,213.64015925630372,252.68849997967465,364.48563888359297,440.9834248045849,391.4188369028156,403.3830557991775,340.62689826778126,359.51709675221684,351.7310940192806,363.3376758150283,200.3159067573017,306.7674947469717,192.19754377549503,283.36031244100974,342.0744836741735,368.3796728014907,406.2453867869938,205.6798368489125,327.5578175063508,349.57590973444763,356.466321123382,356.1790511575835,189.25880648818784,185.23602061514205,399.32293889007866,341.1289040328695,339.2864781946287,361.757693997884,342.68675131059496,386.6522616364366,359.4129075245324,370.112155100236,404.1974343486929,353.28472262198835,347.0246749151997,334.4930414391932,386.9915164748827,402.6635562854423,353.29326816871753,378.12423826097097,353.1940910237116,366.6744346496508,365.5247995976185,435.93943021156826,417.4937520095756,315.100241986578,409.9682378477095,394.36079871158535,398.3246821136651,398.4561759790205,343.5301331483926,427.22000089727385,347.5996739545843,342.8272588516915,380.88709738238833,438.9569265125376,350.5094716350506,373.8072077574596,334.46474029410035,326.78568260090765,386.90981997257296,352.27114911669963,407.7628191322336,336.1967615846411,377.9391871275943,368.2826756265718,390.3964773455436,361.48858903152114,353.8691848692112,445.216455567056,335.1349486752007,365.1548595165775,368.38680499610473,355.277450264813,364.9103532842908,341.48740395338666,436.4008165978527,385.8799860531298,385.94943930127647,372.88778767586666,368.1307997360255,360.9339505597481,374.77920972748217,362.9152188100632,360.96098011650326,420.0479139336369,363.3655585862076,348.53420693899386,357.52772120294594,363.32312786016695,364.6620353148927,357.1584135267447,380.83986135907566,369.8215729690919,347.77547491503907,474.3468692644154,442.2984239552898,359.76054307226127,358.5414235216795,437.4623575642987,352.61137382730715,356.53365514737493,373.49106672459646,372.9017232972989,336.96976867368977,335.65665449366907,341.21837721960543,351.01582569751736,411.3641003745016,380.67180830871314,347.5901262023036,359.3572039071988,367.03868656573167,354.12481321327,423.94987349696805,350.636659045609,319.25266900476595,376.73709413228494,413.8345425063362,354.72512961787413,431.3676699367567,395.5170576057913,379.4416079234451,373.9330989629027,346.9362993884228,351.4201043531655,378.0490212922128,391.28364354504055,406.1940371710709,354.3005256840582
min,1.0,2.0,1.0,15.0,3.0,20.0,11.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,44.0,13.0,1.0,10.0,26.0,32.0,1.0,20.0,15.0,5.0,1.0,11.0,5.0,1.0,1.0,5.0,15.0,7.0,5.0,5.0,21.0,13.0,21.0,1.0,52.0,1.0,5.0,2.0,17.0,10.0,5.0,28.0,15.0,7.0,1.0,1.0,5.0,1.0,26.0,3.0,1.0,1.0,14.0,15.0,56.0,71.0,15.0,1.0,13.0,21.0,24.0,1.0,6.0,10.0,1.0,12.0,8.0,41.0,1.0,3.0,21.0,41.0,1.0,1.0,9.0,1.0,1.0,3.0,21.0,5.0,22.0,1.0,1.0,12.0,5.0,11.0,1.0,16.0,3.0,3.0,9.0,1.0,5.0,26.0,19.0,3.0,1.0,1.0,12.0,4.0,3.0,2.0,6.0,3.0,1.0,2.0,1.0,4.0,1.0,13.0,20.0,29.0,14.0,1.0,5.0,6.0,14.0,1.0,15.0,24.0,1.0,3.0,9.0,1.0,5.0,15.0,5.0,5.0,3.0,21.0,5.0,20.0,7.0,13.0,1.0,2.0,22.0,4.0,1.0,5.0,3.0,2.0,1.0,5.0,6.0,7.0,2.0,11.0,13.0,5.0,1.0,4.0,8.0,1.0,4.0,12.0,33.0,20.0,6.0,2.0,1.0,4.0,3.0,11.0,1.0,1.0,1.0,1.0,2.0,1.0,18.0,13.0,1.0,5.0,4.0,9.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,42.0,1.0,41.0,11.0,14.0,18.0,1.0,1.0,4.0,3.0,3.0,2.0,1.0,2.0
q1,80.0,36.0,91.0,70.0,78.0,110.5,68.0,44.75,46.0,33.0,74.0,35.5,37.5,44.5,16.0,61.75,57.75,116.0,136.0,95.75,110.5,80.0,162.0,118.0,72.5,84.0,61.5,22.5,102.0,84.0,137.5,51.0,71.0,45.25,65.5,36.0,77.5,71.0,56.5,75.75,64.5,27.0,168.0,88.5,69.5,36.5,118.75,48.5,81.75,93.0,44.0,109.75,6.0,51.5,41.5,47.0,44.25,51.0,68.5,64.0,35.0,56.0,83.25,136.0,77.5,11.0,38.0,156.5,53.0,95.0,106.0,76.25,152.5,46.0,103.5,129.5,63.0,77.0,62.5,66.5,78.0,37.75,164.0,63.0,128.0,73.0,51.5,39.75,48.25,68.75,19.75,58.5,33.0,65.5,4.5,115.5,66.0,203.5,93.75,141.0,130.25,185.5,75.0,101.0,34.25,113.0,39.0,145.0,47.0,18.25,40.5,31.0,147.5,163.0,96.75,39.25,14.75,120.25,319.0,220.5,57.0,98.25,133.25,157.75,83.5,56.5,185.75,136.5,187.0,22.0,173.0,203.0,111.25,58.0,98.5,158.75,196.0,185.0,36.75,64.25,153.75,53.0,33.0,118.5,298.5,98.5,148.5,92.0,109.25,29.5,46.0,33.0,70.5,92.5,64.75,86.5,47.0,71.25,39.75,46.75,85.5,33.0,38.25,28.0,138.25,110.0,54.5,33.75,26.0,41.0,72.0,100.5,25.5,117.5,93.0,30.5,35.0,72.5,76.75,68.0,36.5,133.0,90.0,185.5,221.25,57.5,53.0,181.25,120.5,149.0,46.25,150.5,100.5,231.0,60.5,77.5,241.25,153.0,96.5,48.0,109.75,80.25,234.0,34.25,80.0,111.0,200.5
q2,333.0,294.0,261.0,290.0,151.5,257.5,258.0,223.5,270.0,120.0,192.0,103.0,205.0,115.5,99.0,190.5,282.5,263.0,265.0,263.5,194.0,211.0,301.0,202.0,146.0,218.0,205.0,316.5,279.5,200.0,282.0,238.5,229.0,146.0,241.0,179.5,293.5,192.0,102.0,136.0,153.0,113.5,262.0,228.5,127.5,176.5,231.0,120.0,227.5,227.0,116.0,319.0,116.0,128.0,190.5,213.0,207.5,168.0,270.5,152.0,261.0,240.5,297.0,243.0,184.0,53.0,89.0,239.5,183.0,177.0,194.0,340.5,333.5,199.0,322.0,312.5,187.0,171.0,208.5,139.0,224.0,89.5,251.0,166.0,276.0,340.0,165.0,80.0,143.5,158.0,101.0,168.0,128.0,117.0,42.0,202.0,247.0,325.0,235.5,288.5,353.5,253.0,214.0,243.0,100.5,357.0,328.0,356.0,287.0,185.0,256.0,274.0,379.5,426.0,398.5,179.5,280.5,301.0,427.0,410.0,301.0,417.0,322.5,286.5,166.0,223.0,262.5,309.0,297.5,248.5,297.0,316.0,197.5,274.0,375.0,313.5,328.0,392.5,236.5,344.0,296.0,266.0,130.0,268.0,434.5,271.0,291.5,235.0,312.0,274.0,280.0,310.5,198.5,232.0,259.0,278.5,368.0,282.5,313.0,264.5,329.0,169.0,92.0,191.0,187.5,247.5,176.0,258.0,89.0,233.0,330.5,240.0,267.0,297.0,335.0,302.0,368.0,287.0,229.5,184.0,373.0,255.0,142.0,219.0,319.5,291.0,315.0,398.5,225.0,302.0,243.5,303.0,303.0,311.5,317.0,328.0,283.5,309.0,287.0,212.0,291.5,223.5,364.0,149.0,183.0,241.5,399.5
q3,430.0,416.0,410.0,458.0,303.25,348.25,459.0,350.75,376.0,471.5,413.0,304.5,372.0,291.75,274.0,360.5,379.75,465.0,403.5,333.0,325.75,395.25,481.0,306.5,372.0,465.0,372.25,393.75,314.25,365.5,318.0,449.75,314.0,287.25,341.5,411.0,434.0,420.0,342.0,363.25,422.5,217.5,328.0,409.5,427.5,398.0,423.75,248.0,373.5,371.0,399.5,484.25,184.0,331.75,343.25,298.0,370.25,287.0,351.0,323.0,452.5,385.25,395.0,303.0,266.5,270.0,251.0,305.0,325.0,299.75,400.0,498.5,467.0,329.0,471.75,505.25,476.0,391.0,431.5,517.0,373.5,365.5,534.0,392.0,554.5,503.0,381.5,382.75,345.75,271.25,480.5,490.0,322.25,449.5,281.0,505.5,456.5,513.5,528.0,417.0,427.0,484.5,463.25,412.0,420.0,433.0,513.5,523.0,436.0,471.75,355.5,402.0,482.75,599.0,487.0,413.0,455.0,362.5,505.0,499.0,526.0,486.25,526.0,477.5,465.0,474.5,525.0,437.0,472.0,426.75,361.0,433.0,373.5,415.0,529.5,484.5,527.0,507.5,422.25,524.75,467.0,511.5,390.25,500.5,519.5,458.5,498.5,419.0,479.5,525.0,450.0,413.25,441.75,531.0,473.5,457.25,492.0,457.5,499.5,497.0,469.75,380.5,297.75,465.0,364.25,367.75,455.0,498.0,328.0,504.0,448.0,400.5,463.5,406.25,402.0,353.0,483.0,407.5,400.75,470.0,473.0,335.0,350.0,443.0,466.75,503.0,525.0,477.0,475.5,435.0,470.25,442.0,460.5,467.75,452.5,491.0,460.0,555.5,482.0,420.0,517.75,381.5,468.0,498.25,402.0,539.0,454.25
max,896.0,567.0,694.0,706.0,490.0,829.0,728.0,905.0,563.0,798.0,685.0,530.0,841.0,491.0,531.0,481.0,593.0,800.0,1214.0,668.0,592.0,690.0,580.0,392.0,649.0,691.0,670.0,648.0,484.0,586.0,594.0,664.0,660.0,471.0,507.0,863.0,977.0,1028.0,573.0,1212.0,1428.0,786.0,599.0,1258.0,1084.0,598.0,1193.0,601.0,573.0,912.0,520.0,1334.0,1062.0,1248.0,1143.0,614.0,1117.0,594.0,1159.0,614.0,760.0,596.0,609.0,603.0,613.0,592.0,606.0,605.0,608.0,596.0,601.0,1162.0,1326.0,1245.0,765.0,729.0,615.0,635.0,870.0,1360.0,1372.0,1332.0,1409.0,1406.0,1424.0,1419.0,1389.0,579.0,1187.0,607.0,837.0,1290.0,1350.0,1433.0,696.0,1072.0,1408.0,1414.0,1343.0,611.0,609.0,1410.0,1353.0,1383.0,1388.0,1396.0,1320.0,1381.0,1417.0,1412.0,1392.0,1417.0,1409.0,1416.0,1421.0,1420.0,1412.0,1420.0,1421.0,1425.0,1399.0,1415.0,1223.0,1403.0,1423.0,1420.0,1418.0,1418.0,1424.0,1421.0,1422.0,1415.0,1419.0,1418.0,1440.0,1408.0,1397.0,1422.0,1421.0,1418.0,1424.0,1417.0,1418.0,1411.0,1416.0,1421.0,1421.0,1411.0,1414.0,1415.0,1405.0,1418.0,1417.0,1410.0,1389.0,1421.0,1403.0,1419.0,1420.0,1418.0,1415.0,1423.0,1417.0,1412.0,1418.0,1420.0,1418.0,1421.0,1418.0,1408.0,1408.0,1402.0,1440.0,1429.0,1422.0,1420.0,1421.0,1416.0,1406.0,1415.0,1418.0,1421.0,1422.0,1415.0,1420.0,1422.0,1417.0,1420.0,1420.0,1421.0,1406.0,1421.0,1415.0,1419.0,1418.0,1420.0,1414.0,1409.0,1419.0,1419.0,1419.0,1417.0,1420.0,1419.0,1416.0,1417.0,1356.0
sum,5272.0,4118.0,4485.0,4991.0,3583.0,4263.0,4615.0,3958.0,4342.0,4799.0,4750.0,3322.0,4884.0,3082.0,2909.0,3564.0,3907.0,5029.0,4818.0,4020.0,3492.0,4209.0,5328.0,3095.0,4282.0,4807.0,3895.0,4134.0,3640.0,3538.0,3911.0,4396.0,4333.0,2890.0,3272.0,4342.0,5034.0,4739.0,3124.0,4271.0,5200.0,2871.0,3349.0,5334.0,4204.0,4079.0,4857.0,2811.0,3882.0,3810.0,3007.0,5932.0,3148.0,4357.0,3713.0,3448.0,3785.0,3256.0,4844.0,3658.0,4269.0,3834.0,4538.0,3477.0,3125.0,2676.0,2491.0,3550.0,3806.0,3263.0,4364.0,5485.0,5710.0,4485.0,5020.0,5113.0,4156.0,4091.0,3887.0,4724.0,5345.0,5136.0,6860.0,4778.0,5646.0,5733.0,4328.0,3087.0,4179.0,3229.0,3976.0,4595.0,4410.0,4938.0,8960.0,5203.0,5078.0,6160.0,4828.0,4491.0,5002.0,6040.0,5175.0,4878.0,4587.0,5359.0,5646.0,5696.0,6079.0,4575.0,4360.0,5253.0,7052.0,7904.0,5805.0,4512.0,4461.0,4616.0,6537.0,6343.0,5636.0,6138.0,5757.0,5440.0,4604.0,5347.0,6029.0,5285.0,6601.0,4804.0,5845.0,5968.0,5678.0,5601.0,5919.0,5719.0,6861.0,6284.0,4947.0,6498.0,5703.0,5757.0,4489.0,5747.0,6412.0,5256.0,5922.0,5626.0,4915.0,5278.0,5026.0,4497.0,5484.0,4318.0,4122.0,4324.0,4871.0,4786.0,5194.0,4817.0,4971.0,4445.0,4538.0,4935.0,4419.0,4409.0,4567.0,5344.0,4056.0,4420.0,5895.0,4846.0,5525.0,6147.0,4864.0,4555.0,6093.0,4691.0,4321.0,4289.0,5227.0,5542.0,4310.0,5138.0,5144.0,5243.0,4638.0,6171.0,5133.0,4572.0,5082.0,6101.0,5389.0,6272.0,5267.0,6057.0,5531.0,6709.0,5673.0,5407.0,5915.0,4807.0,5296.0,4713.0,5585.0,6199.0,6481.0
