metrics,2019-01-07,2019-01-14,2019-01-21,2019-01-28,2019-02-04,2019-02-11,2019-02-18,2019-02-25,2019-03-04,2019-03-11,2019-03-18,2019-03-25,2019-04-01,2019-04-08,2019-04-15,2019-04-22,2019-04-29,2019-05-06,2019-05-13,2019-05-20,2019-05-27,2019-06-03,2019-06-10,2019-06-17,2019-06-24,2019-07-01,2019-07-08,2019-07-15,2019-07-22,2019-07-29,2019-08-05,2019-08-12,2019-08-19,2019-08-26,2019-09-02,2019-09-09,2019-09-16,2019-09-23,2019-09-30,2019-10-07,2019-10-14,2019-10-21,2019-10-28,2019-11-04,2019-11-11,2019-11-18,2019-11-25,2019-12-02,2019-12-09,2019-12-16,2019-12-23,2019-12-30,2020-01-06,2020-01-13,2020-01-20,2020-01-27,2020-02-03,2020-02-10,2020-02-17,2020-02-24,2020-03-02,2020-03-09,2020-03-16,2020-03-23,2020-03-30,2020-04-06,2020-04-13,2020-04-20,2020-04-27,2020-05-04,2020-05-11,2020-05-18,2020-05-25,2020-06-01,2020-06-08,2020-06-15,2020-06-22,2020-06-29,2020-07-06,2020-07-13,2020-07-20,2020-07-27,2020-08-03,2020-08-10,2020-08-17,2020-08-24,2020-08-31,2020-09-07,2020-09-14,2020-09-21,2020-09-28,2020-10-05,2020-10-12,2020-10-19,2020-10-26,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21,2020-12-28,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-05,2021-04-12,2021-04-19,2021-04-26,2021-05-03,2021-05-10,2021-05-17,2021-05-24,2021-05-31,2021-06-07,2021-06-14,2021-06-21,2021-06-28,2021-07-05,2021-07-12,2021-07-19,2021-07-26,2021-08-02,2021-08-09,2021-08-23,2021-08-30,2021-09-06,2021-09-13,2021-09-20,2021-09-27,2021-10-04,2021-10-11,2021-10-18,2021-10-25,2021-11-01,2021-11-08,2021-11-15,2021-11-22,2021-11-29,2021-12-06,2021-12-13,2021-12-20,2021-12-27,2022-01-03,2022-01-10,2022-01-17,2022-01-24,2022-01-31,2022-02-07,2022-02-14,2022-02-21,2022-02-28,2022-03-07,2022-03-14,2022-03-21,2022-03-28,2022-04-04,2022-04-11,2022-04-18,2022-04-25,2022-05-02,2022-05-09,2022-05-16,2022-05-23,2022-05-30,2022-06-06,2022-06-13,2022-06-20,2022-06-27,2022-07-04,2022-07-11,2022-07-18,2022-07-25,2022-08-01,2022-08-08,2022-08-15,2022-08-22,2022-08-29,2022-09-05,2022-09-12,2022-09-19,2022-09-26,2022-10-03,2022-10-10,2022-10-17,2022-10-24,2022-10-31,2022-11-07,2022-11-14,2022-11-21,2022-11-28,2022-12-05,2022-12-12,2022-12-19,2022-12-26
count,2517.0,2550.0,2530.0,2554.0,2561.0,2517.0,2517.0,2537.0,2530.0,2509.0,2552.0,2556.0,2569.0,2558.0,2566.0,2575.0,2596.0,2612.0,2608.0,2669.0,2611.0,2648.0,2628.0,2651.0,2636.0,2543.0,2649.0,2617.0,2622.0,2606.0,2587.0,2598.0,2653.0,2641.0,2622.0,2649.0,2646.0,2616.0,2633.0,2535.0,2502.0,2484.0,2468.0,2478.0,2479.0,2453.0,2375.0,2454.0,2451.0,2439.0,2277.0,2303.0,2431.0,2360.0,2405.0,2371.0,2383.0,2394.0,2383.0,2379.0,2373.0,2385.0,2184.0,2011.0,1929.0,1941.0,1927.0,1961.0,2005.0,2062.0,2082.0,2156.0,2127.0,2214.0,2226.0,2248.0,2268.0,2198.0,2217.0,2284.0,2229.0,2245.0,2357.0,2326.0,2357.0,2349.0,2386.0,2369.0,2402.0,2341.0,2366.0,2394.0,2341.0,2370.0,2498.0,2256.0,2220.0,2240.0,2042.0,2209.0,2203.0,2163.0,2022.0,2009.0,2118.0,2113.0,2128.0,2137.0,2057.0,2151.0,2118.0,2152.0,2183.0,2202.0,2131.0,2118.0,2100.0,2102.0,2087.0,2073.0,2149.0,2126.0,2142.0,2185.0,2172.0,2120.0,2183.0,2180.0,2176.0,2133.0,2121.0,2147.0,2148.0,2156.0,2122.0,2161.0,2136.0,2148.0,2116.0,2162.0,2123.0,2117.0,2119.0,2099.0,2127.0,2124.0,2077.0,2118.0,2132.0,1961.0,2089.0,2037.0,2133.0,1983.0,1850.0,1989.0,2023.0,2046.0,2052.0,2050.0,2080.0,2084.0,2039.0,2109.0,2179.0,2204.0,2205.0,2202.0,2190.0,2212.0,2171.0,2192.0,2217.0,2242.0,2249.0,2275.0,2273.0,2309.0,2286.0,2214.0,2179.0,2126.0,2197.0,2178.0,2221.0,2196.0,2175.0,2310.0,2299.0,2261.0,2222.0,2274.0,2282.0,2313.0,2298.0,2291.0,2305.0,2344.0,2297.0,2308.0,2297.0,2222.0,2309.0,2335.0,2294.0,2317.0,2147.0
mean,174.61938816050855,184.75803921568627,171.3786561264822,173.42795614722004,172.118703631394,169.4223281684545,174.17481128327373,173.0674024438313,172.4205533596838,175.65404543642885,167.56739811912226,176.4252738654147,171.31568703775787,172.5457388584832,172.1921278254092,167.73281553398058,171.865562403698,165.78254211332313,162.04217791411045,163.4065192956163,162.79548065875144,162.95128398791542,162.90296803652967,166.17804602036966,164.04400606980272,161.86472670074716,164.74782936957342,157.7244936950707,157.26201372997713,156.51688411358404,156.2435253189022,166.5050038491147,164.12514134941574,156.78871639530482,160.42944317315028,163.3106832767082,159.79554043839758,161.67163608562691,161.11052031902773,165.58303747534518,174.74620303756996,178.29066022544282,176.27106969205835,173.30629539951573,172.72448567970957,175.71830411740726,169.43157894736842,172.13243683781582,175.0191758465932,174.84870848708488,169.59288537549406,181.4020842379505,179.28465651995063,181.55254237288136,186.7110187110187,179.8317165752847,177.93033990767938,181.30701754385964,177.07259756609315,176.94577553593948,171.9384745048462,181.3874213836478,198.79761904761904,206.1118846345102,207.25194401244167,199.17928902627511,203.5921120913337,206.96124426313105,193.96159600997507,192.36517943743937,191.76609029779056,191.08719851577,194.04372355430183,187.83965672990064,188.78661275831087,180.87366548042704,181.3703703703704,180.95905368516836,181.6702751465945,178.00131348511383,177.13324360699866,182.45256124721604,170.77301654645737,180.5313843508169,179.52948663555367,174.85142613878247,172.47820620284995,171.54115660616293,169.1773522064946,172.82614267407092,171.19019442096365,170.32456140350877,179.561725758223,179.61940928270042,199.1277021617294,179.8834219858156,180.2045045045045,178.00982142857143,191.76297747306563,188.6283386147578,185.9609623241035,194.13453536754508,187.83827893175075,188.43106022896964,205.50188857412653,200.66161855182204,185.13486842105263,192.93635938231165,191.6538648517258,186.7582519758252,184.61898016997168,186.21236059479557,175.27210261108567,177.11398728428702,185.54246832473015,182.11567516525025,185.5423809523809,177.60038058991438,187.57546717776717,184.2469850458273,174.9232201023732,184.32925682031984,174.8062558356676,175.95652173913044,175.27394106813998,184.6221698113208,173.7695831424645,178.22935779816513,182.7610294117647,180.8373183309892,188.3767090994814,181.6972519795063,180.62569832402235,179.4234693877551,181.20358152686143,179.3692734844979,182.77996254681648,187.82262569832403,180.35018903591683,176.7918593894542,187.70136599152144,187.66084081247047,183.90844738084,185.0271557884707,184.5651151857076,185.3804143126177,192.3307655272027,183.9848914069877,187.0530018761726,186.4395716471188,189.5308760172331,179.77859597447227,180.2405063291139,187.34291477559253,183.6189189189189,188.82001005530415,192.31191300049431,192.7380254154448,203.4566276803119,193.32439024390243,191.73990384615385,195.0902111324376,195.5590975968612,187.53959222380277,187.2037631941257,188.16560798548093,187.8993197278912,198.0363306085377,192.4461187214612,190.5741410488246,187.66927683095344,189.3125,184.0766801984664,189.87377341659231,189.72743441529568,187.78065934065933,184.41794984601847,181.37808575140755,183.4938757655293,185.8635953026197,187.12941716383665,187.38428974600188,181.1106053709604,182.87603305785123,181.4443944169293,182.5537340619308,179.46114942528737,186.4160173160173,179.7651152675076,186.59000442282172,190.85058505850583,182.06772207563765,184.7326906222612,185.80285343709468,186.00870322019148,185.89262330859887,183.58177874186552,185.62670648464163,185.9616891597736,189.6533795493934,186.7797126686983,184.82943294329436,190.0082286704201,180.3678800856531,184.6133391455972,178.1855848079413,176.85607824871914
std,236.88526615617727,251.16832512124597,235.65625390999608,230.91808390491408,236.6748510566632,234.7022756887893,233.62380339242048,237.3606958836853,233.330457981966,229.95372056362152,227.4650691130627,244.5918543936757,234.6570382801526,231.59013509236016,238.4094486734053,224.7873053024368,236.26724041754,227.80694797847892,222.29265981012088,224.5544730500336,225.9783504249772,233.4020794297764,223.08117662720548,230.00417712554585,229.39341916722037,226.88980597259555,231.4096754600654,219.08081046441265,218.59874669164347,213.31187800118195,216.2693464910152,230.90290824538425,226.4835691810811,218.2746585255608,228.6795118342891,226.79546738983524,219.33315363292024,226.9066392149998,222.54959561199388,221.20441309337775,233.24108766163425,237.39287398389104,229.5065728600493,229.73376362320528,229.34880691105647,226.09733711746563,228.8455575924825,233.4216758220853,229.30714995370715,229.54858255463756,233.8585632264748,236.53640103353865,232.43375711718048,232.69492504361523,239.29443061834976,236.44799060143703,232.6532921309929,236.06188262571013,235.76708899282332,229.2935836892185,224.97640968451648,235.49160704654216,239.86870602079276,263.50566358103595,262.4454592175403,256.4158425950337,261.33944994918454,262.1004919586792,248.26437244235865,250.79783610470105,243.9504592474117,253.1039051939836,252.8167517009053,245.4340604500177,247.29533600427104,240.8052801837935,242.51634162364476,242.21371175934348,246.38638718895817,245.32520631457595,238.1756490041912,244.9112558888213,231.16666494017647,239.32312184368536,243.32073511337163,243.653981785124,237.13804007147465,236.68982567890745,233.57254967853572,235.86393861396172,234.72820719429336,232.35380605708653,238.85206444220344,244.26518254474752,260.60493860638053,236.8613956971687,236.00632735210223,241.3874420492208,256.1816568258178,242.2013006736514,241.1004786401858,254.5255947377385,254.38498772104876,257.9086444371712,275.3413250792266,266.85050811721686,248.86107499233185,257.48891047797923,249.37263261778148,250.3964821535968,251.90460280999645,252.34061897145187,237.378792816722,245.75751688502572,253.6358179066438,242.1145907209124,243.52857404896216,244.59764854029177,259.7182630413195,243.33072448541844,246.6882096492306,250.29165060476788,237.1599816316324,243.0377302194877,244.37761780744935,251.5159271557843,237.7885945954313,248.01043602031936,249.69079520805235,246.6770497266587,261.0720189163361,248.4121533985369,251.0205485973136,250.41798410289417,257.01466949584545,255.46592629916168,259.3015773209309,260.1657003252083,261.84933634743226,257.58225378046075,257.07344332317825,268.31093402513454,254.5714132742808,262.4415695576771,260.19857162412256,254.5312267133954,261.3104349842137,257.1313491420912,262.7288473178117,261.91706613988833,260.7703444366218,260.78502007001816,254.85241804102424,252.99416761778105,265.7596643759447,264.924258911028,267.05299616569846,260.1464845782969,275.24674019192605,267.85686802363625,265.02335316703005,270.99982111402664,266.4180904792543,261.2319793445692,262.2995850691146,262.0277820777994,262.5680118003165,271.2755732870589,270.5856997261747,265.3525690609046,262.5543775503644,263.474177376073,259.566621043795,272.4637138377644,268.84487476831083,268.93679190966213,264.08283430553445,266.11001534100814,262.9761072874357,267.37540506302554,263.26250181077705,269.50843883788946,265.2580419809405,260.4492642722507,262.49846364433347,263.4314273755179,256.46021699507725,268.88937417157587,260.6763072208913,264.13328036021795,264.713948042536,261.1865253856463,257.08663244324504,267.51560451621214,265.0436372725387,260.97922886223296,260.7281294381979,260.6001170090607,264.155993260692,265.9237962484751,265.8388754944121,268.9510736803388,269.97420510620566,255.84407488929315,263.00067574712864,260.7326549492396,264.9210335563912
min,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
q1,13.0,15.0,12.0,13.0,12.0,13.0,18.0,14.0,15.0,16.0,14.75,15.0,15.0,15.0,13.0,15.0,13.0,12.75,15.0,13.0,12.0,11.0,13.0,13.0,13.0,11.0,14.0,12.0,11.0,12.0,12.0,12.0,13.0,12.0,12.0,13.0,12.0,12.0,12.0,15.0,18.0,17.75,19.0,18.0,18.0,19.0,16.5,17.0,19.0,17.0,13.0,17.0,20.0,20.0,21.0,20.0,21.0,20.0,16.5,18.0,19.0,18.0,17.0,14.0,13.0,12.0,15.0,13.0,13.0,11.0,13.25,12.75,12.0,14.0,13.0,12.0,12.0,12.0,12.0,13.0,11.0,12.0,11.0,13.0,13.0,11.0,11.0,11.0,12.0,11.0,13.0,13.0,14.0,13.0,18.0,15.0,14.0,13.0,13.0,15.0,14.0,14.0,13.0,13.0,14.25,17.0,15.0,16.0,15.0,13.0,11.0,11.0,10.0,10.0,11.0,12.0,12.0,10.0,11.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0,9.0,11.0,9.0,11.0,10.0,9.0,10.0,8.0,9.0,9.0,10.0,10.0,10.0,10.0,11.0,11.0,9.0,9.0,10.0,10.0,11.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,7.0,8.0,8.0,7.0,8.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,9.0,8.0,8.0,8.0,7.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,6.0,7.0
q2,67.0,78.0,72.0,77.0,72.0,70.0,77.0,70.0,72.0,76.0,65.0,71.5,69.0,74.0,69.0,75.0,69.0,69.0,67.0,66.0,64.0,62.0,69.0,67.0,65.0,60.0,67.0,60.0,61.0,61.0,61.0,66.0,65.0,63.0,61.0,67.0,65.0,62.0,63.0,68.0,72.0,75.0,77.5,72.0,73.0,80.0,72.0,75.5,81.0,77.0,71.0,80.0,83.0,84.0,86.0,78.0,80.0,80.0,78.0,78.0,70.0,78.0,96.0,95.0,99.0,91.0,98.0,103.0,92.0,81.0,89.5,83.0,81.0,78.5,77.0,75.0,66.5,68.0,70.0,69.5,66.0,72.0,63.0,69.0,67.0,64.0,65.0,62.0,63.0,62.0,66.0,64.5,70.0,72.0,90.0,75.5,78.0,67.0,76.5,80.0,79.0,81.0,76.0,72.0,80.0,87.0,77.0,86.0,84.0,72.0,69.0,72.0,64.0,62.0,67.0,69.5,76.0,62.0,70.0,66.0,59.0,67.0,62.0,62.0,59.0,66.0,63.0,60.0,65.5,66.0,63.0,64.0,60.0,62.0,60.0,61.0,59.5,61.5,57.0,57.0,66.0,64.0,64.0,61.0,61.0,68.0,72.0,63.0,63.0,68.0,67.0,65.0,60.0,71.0,59.0,64.0,71.0,74.0,72.5,73.0,66.0,76.0,73.0,67.0,69.0,71.0,66.0,72.5,67.0,69.0,67.0,66.5,62.0,66.0,68.0,63.0,59.0,60.0,62.0,61.0,63.0,60.0,59.0,61.0,58.0,60.0,60.0,62.0,61.0,60.0,69.0,61.0,63.0,63.0,63.0,65.0,64.0,65.0,65.0,69.0,62.0,62.0,68.0,64.0,67.0,61.0,58.0
q3,273.0,276.0,255.75,271.0,257.0,246.0,261.0,257.0,262.0,273.0,255.0,264.25,260.0,260.0,252.0,248.5,258.0,245.0,235.0,239.0,246.0,238.25,239.0,249.0,239.0,240.0,243.0,227.0,227.0,240.0,238.0,244.0,245.0,224.0,227.75,238.0,239.0,240.25,241.0,245.0,263.0,273.25,263.0,262.0,259.5,261.0,250.0,250.0,258.0,263.0,241.0,275.0,265.0,282.0,288.0,278.0,262.0,279.75,262.5,280.0,265.0,277.0,322.0,330.5,327.0,319.0,310.5,330.0,306.0,309.0,311.0,291.25,314.0,296.0,304.0,287.0,286.25,290.0,292.0,267.25,284.0,282.0,267.0,286.0,283.0,270.0,267.0,268.0,268.0,274.0,262.75,254.75,286.0,277.75,308.75,277.0,288.0,284.25,307.5,307.0,298.0,306.0,298.0,298.0,321.75,321.0,294.0,290.0,301.0,295.5,291.0,294.25,285.5,268.0,301.0,295.0,307.0,289.0,294.5,312.0,275.0,311.0,288.5,282.0,275.0,303.0,282.0,278.0,298.0,294.0,307.0,282.0,295.25,294.75,298.0,283.0,288.25,314.0,281.25,281.75,294.5,292.0,297.5,281.5,290.0,296.25,308.0,295.5,298.25,290.0,301.0,267.0,288.0,293.0,286.75,303.0,312.0,307.75,342.25,313.0,307.25,307.75,315.5,299.0,292.5,294.25,298.0,323.75,305.0,296.0,294.5,303.0,296.0,290.25,299.0,294.0,296.0,287.0,290.0,304.0,300.0,298.0,282.0,297.0,291.0,281.0,284.0,294.75,279.5,302.0,313.0,292.75,298.75,292.0,295.0,296.0,297.0,301.0,295.0,301.0,291.0,285.0,296.0,275.0,283.75,276.0,262.0
max,1443.0,1464.0,1449.0,1466.0,1463.0,1476.0,2015.0,1557.0,1629.0,1519.0,1432.0,1456.0,1440.0,1433.0,1613.0,1440.0,1440.0,1430.0,1448.0,1440.0,1508.0,1650.0,1440.0,1440.0,1460.0,1440.0,2034.0,1598.0,1432.0,1430.0,1429.0,1522.0,1907.0,1621.0,1450.0,1431.0,1429.0,1625.0,1731.0,1672.0,1771.0,1902.0,1429.0,1430.0,1432.0,1429.0,1432.0,1863.0,1763.0,1430.0,1542.0,1607.0,1430.0,1431.0,1430.0,1549.0,1467.0,1430.0,1656.0,1440.0,1430.0,1435.0,1545.0,1431.0,1431.0,1432.0,1651.0,1430.0,1431.0,1432.0,1449.0,1990.0,1440.0,1440.0,1460.0,1666.0,1538.0,1787.0,1983.0,2370.0,1578.0,1513.0,1440.0,1876.0,1440.0,1503.0,1448.0,1440.0,1896.0,1769.0,1440.0,2009.0,1768.0,1620.0,1846.0,1440.0,1440.0,1758.0,1715.0,1440.0,1627.0,1550.0,1510.0,2160.0,1530.0,2347.0,2219.0,1733.0,1786.0,1684.0,1471.0,2680.0,2036.0,1440.0,1440.0,1674.0,1440.0,1440.0,2234.0,1440.0,1440.0,1815.0,1546.0,1955.0,1442.0,1766.0,1440.0,1440.0,1444.0,1440.0,1441.0,1440.0,1440.0,1672.0,1440.0,1440.0,1484.0,1440.0,1440.0,1440.0,1440.0,2043.0,1440.0,2165.0,1440.0,1441.0,1597.0,1440.0,1440.0,1422.0,1440.0,1440.0,1440.0,1423.0,1440.0,1441.0,1440.0,1424.0,1440.0,1476.0,1447.0,2276.0,1440.0,1440.0,1440.0,1440.0,1577.0,1440.0,1526.0,1612.0,1475.0,1998.0,1425.0,1764.0,1440.0,1440.0,1440.0,1430.0,1427.0,1427.0,1433.0,1426.0,1429.0,1427.0,1419.0,1424.0,1423.0,1426.0,1424.0,1426.0,1424.0,1424.0,1424.0,1431.0,1428.0,1427.0,1426.0,1425.0,1428.0,1424.0,1427.0,1427.0,1429.0,1423.0,1428.0,1423.0,1424.0
sum,439517.0,471133.0,433588.0,442935.0,440796.0,426436.0,438398.0,439072.0,436224.0,440716.0,427632.0,450943.0,440110.0,441372.0,441845.0,431912.0,446163.0,433024.0,422606.0,436132.0,425059.0,431495.0,428109.0,440538.0,432420.0,411622.0,436417.0,412765.0,412341.0,407883.0,404202.0,432580.0,435424.0,414079.0,420646.0,432610.0,422819.0,422933.0,424204.0,419753.0,437215.0,442874.0,435037.0,429453.0,428184.0,431037.0,402400.0,422413.0,428972.0,426456.0,386163.0,417769.0,435841.0,428464.0,449040.0,426381.0,424008.0,434049.0,421964.0,420954.0,408010.0,432609.0,434174.0,414491.0,399789.0,386607.0,392322.0,405851.0,388893.0,396657.0,399257.0,411984.0,412731.0,415877.0,420239.0,406604.0,411348.0,397748.0,402763.0,406555.0,394830.0,409606.0,402512.0,419916.0,423151.0,410726.0,411533.0,406381.0,406364.0,404586.0,405036.0,407757.0,420354.0,425698.0,497421.0,405817.0,400054.0,398742.0,391580.0,416680.0,409672.0,419913.0,379809.0,378558.0,435253.0,423998.0,393967.0,412305.0,394232.0,401717.0,391023.0,400729.0,382619.0,390005.0,395391.0,385721.0,389639.0,373316.0,391470.0,381944.0,375910.0,391884.0,374435.0,384465.0,380695.0,391399.0,379339.0,388540.0,397688.0,385726.0,399547.0,390104.0,387984.0,386837.0,384514.0,387617.0,390418.0,403443.0,381621.0,382224.0,398490.0,397278.0,389702.0,388372.0,392570.0,393748.0,399471.0,389680.0,398797.0,365608.0,395930.0,366209.0,384453.0,371501.0,339695.0,375563.0,389047.0,394342.0,417493.0,396315.0,398819.0,406568.0,398745.0,395521.0,407917.0,414717.0,414318.0,436076.0,421457.0,421550.0,407430.0,414973.0,408098.0,425697.0,426697.0,427201.0,419182.0,418802.0,419467.0,411502.0,407755.0,398379.0,397900.0,398304.0,402988.0,400888.0,390328.0,430621.0,413280.0,421880.0,424070.0,414022.0,421560.0,429762.0,427448.0,425880.0,423156.0,435109.0,427154.0,437720.0,429033.0,410691.0,438729.0,421159.0,423503.0,412856.0,379710.0
