metrics,2019-01-07,2019-01-14,2019-01-21,2019-01-28,2019-02-04,2019-02-11,2019-02-18,2019-02-25,2019-03-04,2019-03-11,2019-03-18,2019-03-25,2019-04-01,2019-04-08,2019-04-15,2019-04-22,2019-04-29,2019-05-06,2019-05-13,2019-05-20,2019-05-27,2019-06-03,2019-06-10,2019-06-17,2019-06-24,2019-07-01,2019-07-08,2019-07-15,2019-07-22,2019-07-29,2019-08-05,2019-08-12,2019-08-19,2019-08-26,2019-09-02,2019-09-09,2019-09-16,2019-09-23,2019-09-30,2019-10-07,2019-10-14,2019-10-21,2019-10-28,2019-11-04,2019-11-11,2019-11-18,2019-11-25,2019-12-02,2019-12-09,2019-12-16,2019-12-23,2019-12-30,2020-01-06,2020-01-13,2020-01-20,2020-01-27,2020-02-03,2020-02-10,2020-02-17,2020-02-24,2020-03-02,2020-03-09,2020-03-16,2020-03-23,2020-03-30,2020-04-06,2020-04-13,2020-04-20,2020-04-27,2020-05-04,2020-05-11,2020-05-18,2020-05-25,2020-06-01,2020-06-08,2020-06-15,2020-06-22,2020-06-29,2020-07-06,2020-07-13,2020-07-20,2020-07-27,2020-08-03,2020-08-10,2020-08-17,2020-08-24,2020-08-31,2020-09-07,2020-09-14,2020-09-21,2020-09-28,2020-10-05,2020-10-12,2020-10-19,2020-10-26,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21,2020-12-28,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-05,2021-04-12,2021-04-19,2021-04-26,2021-05-03,2021-05-10,2021-05-17,2021-05-24,2021-05-31,2021-06-07,2021-06-14,2021-06-21,2021-06-28,2021-07-05,2021-07-12,2021-07-19,2021-07-26,2021-08-02,2021-08-09,2021-08-23,2021-08-30,2021-09-06,2021-09-13,2021-09-20,2021-09-27,2021-10-04,2021-10-11,2021-10-18,2021-10-25,2021-11-01,2021-11-08,2021-11-15,2021-11-22,2021-11-29,2021-12-06,2021-12-13,2021-12-20,2021-12-27,2022-01-03,2022-01-10,2022-01-17,2022-01-24,2022-01-31,2022-02-07,2022-02-14,2022-02-21,2022-02-28,2022-03-07,2022-03-14,2022-03-21,2022-03-28,2022-04-04,2022-04-11,2022-04-18,2022-04-25,2022-05-02,2022-05-09,2022-05-16,2022-05-23,2022-05-30,2022-06-06,2022-06-13,2022-06-20,2022-06-27,2022-07-04,2022-07-11,2022-07-18,2022-07-25,2022-08-01,2022-08-08,2022-08-15,2022-08-22,2022-08-29,2022-09-05,2022-09-12,2022-09-19,2022-09-26,2022-10-03,2022-10-10,2022-10-17,2022-10-24,2022-10-31,2022-11-07,2022-11-14,2022-11-21,2022-11-28,2022-12-05,2022-12-12,2022-12-19,2022-12-26
count,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,7.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,3.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,7.0,7.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,7.0,7.0,7.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0
mean,343.75,238.125,260.375,157.875,280.375,208.0,195.75,283.625,319.375,285.125,268.75,297.5,316.875,237.875,298.0,250.75,240.875,262.5,311.5,237.75,271.375,217.0,320.5,293.0,250.75,193.375,215.75,186.75,230.75,296.5,348.25,298.875,221.25,213.5,240.375,366.5,250.125,197.625,192.25,282.75,235.125,288.625,295.25,288.5,369.125,221.125,286.0,268.375,292.875,291.375,286.57142857142856,279.625,263.0,216.375,318.5,277.42857142857144,300.375,292.125,244.25,341.0,293.75,235.125,295.2857142857143,293.125,259.5,281.125,228.875,270.5,300.25,270.125,253.375,239.25,251.625,284.625,255.5,309.625,258.25,204.5,392.25,295.625,290.0,262.85714285714283,192.0,233.0,194.5,247.5,252.625,259.375,168.5,182.0,252.25,228.875,263.75,247.0,438.3333333333333,226.57142857142856,271.1428571428572,356.1428571428572,363.2857142857143,316.2857142857143,330.625,331.875,311.2857142857143,307.85714285714283,366.4285714285714,332.5,314.625,302.75,245.28571428571428,220.7142857142857,226.0,252.5,200.25,190.875,242.75,175.625,258.75,308.5,332.1428571428572,245.125,263.75,335.1428571428572,223.57142857142856,379.57142857142856,276.875,310.75,345.75,352.57142857142856,361.875,386.625,239.625,363.25,303.375,330.625,302.75,264.125,369.625,457.0,275.625,367.75,358.875,344.125,367.25,309.5,361.875,477.375,385.125,298.125,385.875,297.375,326.625,217.25,403.375,330.625,288.25,310.75,327.0,256.2857142857143,288.85714285714283,437.625,381.125,310.75,394.0,265.875,387.25,304.625,370.625,262.25,313.25,361.0,332.25,307.625,345.125,328.75,244.75,305.375,345.625,355.625,323.875,289.5,301.75,292.625,235.625,345.5,226.375,323.875,343.625,298.625,366.25,420.375,356.0,283.25,299.125,413.875,412.125,406.75,429.625,269.125,380.625,340.0,287.375,412.5,354.75,373.25,333.25,363.625,316.85714285714283
std,164.63444354083384,130.80349219890337,163.65288832508534,152.42369285270954,185.2256828072948,134.82687311617707,203.93959189636803,195.57894825364,176.72815080149027,104.22014817545735,159.16186729238885,188.7348858660135,178.18163886487133,165.06746456265347,204.7897876918113,175.5633788692847,158.24071852718566,150.78745684856264,192.98038390320548,149.20623311376772,170.02095459089742,183.5468021280365,161.16362581461826,175.18643130758076,169.39366660449346,123.56598873245248,173.74591464878495,119.82218969313296,165.18279917369466,155.88915475884963,173.1281523694432,186.94341198799785,194.78981346202735,184.3947628633432,137.27754732657488,161.08648963478328,147.50538731081753,164.6970704050318,137.6192988957996,166.1004429339583,162.1969151547411,219.10658691278869,173.89549406796849,149.8435851146121,112.86963086423458,159.69384772119432,203.84728177170845,185.79092512053128,189.6774988537875,186.48549349939876,132.64973569876562,146.21309058064142,151.12624807472346,153.8468046002721,156.6652482205291,159.08054264308709,180.65985205035773,182.9570109537835,152.1594558349891,177.62882648939612,176.337946649527,218.21839486428007,211.2003111469569,211.58209315265117,172.14362773982828,201.37841954177424,159.52289356524528,144.56041742369968,179.63514609977,139.21662205765108,170.88671059255267,192.58894049243847,161.1866154492984,194.6909180507108,187.7437463291768,177.2568253773522,164.65179709227073,192.08182780114456,159.47301607840387,183.407382231858,192.80646600498991,178.1361170298606,157.45656997588708,158.15182578775372,159.80702648596437,180.9632954101861,137.8922327658192,104.416661916163,122.58175114708432,162.712717915437,200.1897314335293,179.77004160077075,182.55077571537657,165.2140026349663,54.37217425607821,185.12055274231184,159.89207669699016,137.91232549634395,147.87575222205328,212.5650600684524,208.18668648252088,184.78747445183,218.67686532546472,204.33504232952683,155.6243951986718,204.78420698035143,179.3965579379939,204.81332964433736,191.51824481035248,158.29794090650103,177.55937973909835,203.08970572490517,209.96649392564652,154.37194184362463,220.7744485733282,207.98141228759567,191.13775884723265,201.4433631853593,206.7586584816773,218.555934324766,225.6367181365404,188.6508490761249,228.30670682429016,124.15562430924766,168.05053449143546,203.93959189636803,198.47903811593952,172.76559952997698,139.98820103341362,150.98338366475014,144.3873139461062,122.55348686535665,202.2402655259333,164.5339196466361,209.967854682568,194.71403023775292,210.56314797635957,116.02462792749772,205.24963024153223,224.5094652793062,185.818988342342,178.75716768845942,167.32410807429136,167.40370366273262,228.87141586489125,39.358925290205775,154.40432775207896,175.9532709881478,148.964461245915,193.58861942642332,172.22654308455807,140.99417414509415,145.0014162492412,166.13930256607813,188.2170100101021,195.727032952966,185.43770613643508,158.49049843835465,204.1416408374576,300.9854944297862,97.26904881380746,154.30558734444546,149.79509814600553,180.66103817449329,111.31005602113662,142.28737269544135,156.0832538834873,169.65826997652837,180.72690526237173,186.84676685914124,173.55176255432926,197.1250056617446,218.9849554519344,178.78458706339472,212.6101395243685,188.93607195481303,140.56207322237185,183.5148398047728,164.09094821383135,195.10363546440792,160.57552740065967,196.66863901351576,190.76607777215375,186.7649401176325,154.72642908418348,173.13367048943095,148.4173050172096,134.7165675461952,130.54911500493378,83.60098683628082,169.0342315289167,183.00253706281936,187.9243293760246,166.0846922506707,178.6140591970776,169.61784778057492,129.89989277461757,216.512907896306,220.01034878257107,150.51340709148045,188.54248289747025,95.73176812621516,207.8184303665101,154.6108016925079,185.20085621523768,127.19045056247624,201.38555771738663
min,84.0,24.0,77.0,19.0,43.0,69.0,12.0,12.0,1.0,145.0,27.0,20.0,40.0,1.0,1.0,10.0,42.0,6.0,9.0,9.0,21.0,12.0,28.0,5.0,29.0,15.0,40.0,19.0,39.0,9.0,5.0,9.0,7.0,17.0,46.0,11.0,9.0,11.0,1.0,10.0,7.0,4.0,1.0,141.0,169.0,8.0,6.0,22.0,9.0,19.0,22.0,49.0,25.0,42.0,1.0,4.0,1.0,3.0,52.0,34.0,11.0,11.0,25.0,1.0,31.0,3.0,21.0,11.0,31.0,18.0,33.0,28.0,37.0,49.0,18.0,45.0,20.0,1.0,72.0,14.0,31.0,35.0,3.0,31.0,5.0,15.0,41.0,132.0,16.0,13.0,38.0,15.0,61.0,9.0,376.0,46.0,49.0,150.0,55.0,26.0,45.0,81.0,3.0,9.0,109.0,79.0,52.0,2.0,14.0,83.0,1.0,9.0,20.0,12.0,21.0,3.0,38.0,41.0,84.0,28.0,12.0,59.0,23.0,116.0,7.0,13.0,19.0,61.0,131.0,138.0,58.0,245.0,38.0,62.0,46.0,20.0,48.0,253.0,19.0,19.0,46.0,57.0,43.0,81.0,13.0,390.0,46.0,58.0,147.0,30.0,59.0,32.0,87.0,90.0,14.0,31.0,32.0,4.0,14.0,22.0,239.0,44.0,121.0,41.0,141.0,66.0,129.0,55.0,30.0,94.0,129.0,44.0,51.0,102.0,43.0,12.0,69.0,19.0,99.0,26.0,61.0,1.0,7.0,77.0,40.0,34.0,80.0,115.0,167.0,278.0,118.0,15.0,31.0,83.0,132.0,96.0,219.0,21.0,20.0,117.0,37.0,203.0,19.0,98.0,35.0,201.0,37.0
q1,248.25,198.75,134.0,83.5,124.5,109.5,59.0,126.0,225.0,226.75,211.0,222.0,256.0,129.5,111.25,137.5,142.5,147.5,178.75,117.75,192.25,75.0,236.5,232.0,117.5,91.5,63.75,87.5,61.0,231.0,290.5,159.0,50.5,53.75,163.5,365.0,130.75,61.25,114.5,216.75,123.0,99.0,180.75,164.25,322.5,94.0,161.5,116.75,140.5,149.5,258.5,192.75,195.5,126.5,295.0,214.0,196.75,174.5,138.5,251.5,178.25,99.0,139.0,122.75,141.5,107.0,102.75,216.0,214.0,242.0,96.0,70.5,184.25,115.25,66.75,164.25,124.75,86.75,340.0,155.75,167.0,136.5,100.0,117.25,49.0,120.5,186.0,193.0,104.25,29.75,64.75,44.0,70.25,138.5,419.5,98.5,154.5,276.5,349.0,169.0,157.0,168.25,183.0,183.0,283.5,124.0,197.0,158.5,126.0,117.5,61.5,92.75,26.25,62.0,65.25,45.75,114.5,116.75,169.0,76.25,38.0,210.5,29.0,380.0,183.25,190.0,210.5,249.0,257.25,334.75,132.25,258.75,124.75,228.0,88.75,114.25,247.25,383.0,109.75,222.25,239.75,216.5,325.75,185.0,202.5,471.25,371.5,194.25,330.25,150.75,220.75,134.5,351.25,210.75,184.0,145.0,197.0,175.5,136.0,302.0,326.75,239.0,328.5,119.0,355.5,234.75,316.75,170.25,178.25,199.0,143.25,135.0,170.25,130.0,57.25,134.25,289.25,262.75,176.25,133.0,237.25,173.25,67.0,213.5,107.25,207.0,250.75,210.75,305.0,371.5,219.75,131.0,171.5,383.75,377.0,319.75,369.0,63.25,290.5,231.75,165.0,399.5,267.25,332.25,169.5,243.75,139.5
q2,328.5,244.5,226.5,113.0,303.0,163.0,94.5,327.5,331.0,257.0,278.0,279.5,354.0,205.0,335.0,233.0,186.5,297.0,390.0,238.5,311.0,172.5,365.5,336.5,259.0,238.0,171.5,203.0,254.5,323.0,384.5,379.5,226.0,158.5,218.0,416.0,292.0,181.0,200.0,328.0,253.0,321.5,340.0,272.5,396.0,244.5,324.5,289.0,353.0,341.0,340.0,297.0,287.5,179.0,349.0,317.0,353.5,309.5,220.5,366.0,320.0,174.0,232.0,351.0,225.0,319.0,249.0,246.0,340.5,294.5,294.0,190.5,269.5,255.0,299.5,389.5,258.0,162.0,465.5,314.0,214.0,276.0,174.0,240.5,225.5,241.0,245.5,255.5,143.0,172.0,254.0,254.0,295.0,233.0,463.0,125.0,333.0,401.0,430.0,347.0,361.0,338.5,377.0,299.0,370.0,385.5,284.5,336.0,195.0,131.0,313.0,228.5,108.0,186.5,196.0,98.0,224.0,357.5,297.0,152.5,270.5,305.0,151.0,413.0,287.0,362.5,397.5,395.0,401.0,427.5,204.0,338.5,323.5,324.5,340.0,246.5,448.0,507.5,226.0,494.0,417.0,417.5,419.5,338.0,496.0,485.0,424.5,270.0,432.5,295.0,300.5,176.5,473.5,317.5,250.0,379.0,351.5,245.0,361.0,432.5,385.0,334.0,406.5,245.5,426.5,326.5,403.5,213.5,309.5,407.0,359.0,343.5,352.0,425.5,184.0,379.0,362.5,438.5,340.5,313.5,331.5,320.0,215.0,411.0,198.5,379.5,371.5,283.5,397.5,414.5,430.0,291.0,311.0,455.5,473.5,433.0,467.5,294.0,462.0,367.0,267.0,422.0,401.0,431.0,439.5,389.5,458.0
q3,467.75,271.25,341.75,168.25,423.25,309.25,300.0,424.0,441.0,333.75,377.25,471.5,411.75,402.5,465.25,403.75,384.75,376.25,468.25,372.5,367.75,335.0,452.5,396.75,381.75,281.75,331.5,254.0,345.25,376.25,481.25,444.5,382.75,376.75,296.25,447.25,356.75,276.25,296.25,374.75,370.75,482.5,395.0,377.0,441.5,338.25,453.0,415.75,426.75,433.0,353.5,375.5,349.5,295.0,421.0,371.5,416.5,447.0,336.0,471.5,425.0,319.25,500.0,470.25,392.0,437.25,357.75,350.25,423.5,343.75,359.75,443.75,273.75,484.5,369.5,450.0,391.0,254.0,481.75,411.5,462.5,364.0,209.5,320.5,254.0,359.25,350.75,274.75,208.25,282.0,332.25,339.5,395.25,368.5,469.5,355.5,390.0,439.5,443.0,468.5,493.5,503.25,421.5,468.5,481.0,504.25,472.0,462.0,347.0,286.5,358.0,385.0,378.0,328.5,384.75,206.5,407.0,450.0,491.0,466.0,422.75,502.0,373.0,429.5,392.75,475.25,502.0,497.5,473.75,479.25,354.5,438.5,462.0,485.5,475.25,436.5,541.5,519.5,451.5,521.75,505.5,477.75,479.5,439.75,511.5,500.25,474.0,469.5,500.0,448.75,501.0,296.5,488.25,501.75,484.5,473.5,465.25,371.5,432.5,494.75,456.5,410.5,457.0,415.0,441.75,399.25,495.0,329.25,469.75,488.25,491.25,482.75,514.25,456.5,466.75,459.0,446.25,495.75,451.25,480.5,435.75,440.75,398.75,478.5,324.25,449.0,458.25,391.5,451.5,501.25,492.5,448.5,464.75,502.25,498.5,516.0,489.5,424.0,509.75,460.75,466.25,473.25,504.5,460.5,464.25,455.5,474.0
max,587.0,468.0,520.0,515.0,513.0,444.0,523.0,508.0,536.0,460.0,460.0,505.0,512.0,448.0,567.0,469.0,475.0,431.0,483.0,413.0,460.0,487.0,473.0,491.0,504.0,323.0,486.0,385.0,447.0,522.0,511.0,471.0,460.0,498.0,462.0,508.0,410.0,476.0,372.0,462.0,423.0,552.0,518.0,505.0,510.0,435.0,493.0,513.0,515.0,500.0,420.0,455.0,476.0,465.0,469.0,450.0,538.0,499.0,457.0,541.0,514.0,649.0,532.0,528.0,499.0,541.0,412.0,474.0,528.0,441.0,485.0,484.0,579.0,519.0,486.0,476.0,495.0,588.0,552.0,540.0,526.0,528.0,517.0,487.0,484.0,504.0,426.0,481.0,402.0,472.0,608.0,496.0,485.0,473.0,476.0,507.0,427.0,510.0,474.0,566.0,614.0,565.0,590.0,544.0,557.0,553.0,580.0,560.0,562.0,523.0,429.0,547.0,489.0,368.0,567.0,575.0,554.0,577.0,624.0,563.0,570.0,557.0,587.0,509.0,502.0,513.0,566.0,519.0,520.0,554.0,464.0,567.0,571.0,510.0,574.0,503.0,556.0,604.0,585.0,549.0,548.0,514.0,515.0,514.0,572.0,517.0,534.0,516.0,518.0,557.0,520.0,439.0,525.0,514.0,510.0,515.0,564.0,451.0,510.0,1067.0,499.0,488.0,636.0,525.0,503.0,468.0,522.0,538.0,537.0,627.0,523.0,525.0,614.0,505.0,501.0,482.0,501.0,505.0,523.0,495.0,456.0,514.0,507.0,567.0,442.0,508.0,508.0,484.0,514.0,515.0,505.0,507.0,499.0,617.0,620.0,641.0,625.0,569.0,642.0,497.0,507.0,508.0,594.0,527.0,507.0,520.0,496.0
sum,2750.0,1905.0,2083.0,1263.0,2243.0,1664.0,1566.0,2269.0,2555.0,2281.0,2150.0,2380.0,2535.0,1903.0,2384.0,2006.0,1927.0,2100.0,2492.0,1902.0,2171.0,1736.0,2564.0,2344.0,2006.0,1547.0,1726.0,1494.0,1846.0,2372.0,2786.0,2391.0,1770.0,1708.0,1923.0,2932.0,2001.0,1581.0,1538.0,2262.0,1881.0,2309.0,2362.0,1731.0,2953.0,1769.0,2288.0,2147.0,2343.0,2331.0,2006.0,2237.0,2104.0,1731.0,2548.0,1942.0,2403.0,2337.0,1954.0,2387.0,2350.0,1881.0,2067.0,2345.0,2076.0,2249.0,1831.0,2164.0,2402.0,2161.0,2027.0,1914.0,2013.0,2277.0,2044.0,2477.0,2066.0,1636.0,3138.0,2365.0,2030.0,1840.0,1536.0,1864.0,1556.0,1980.0,2021.0,2075.0,1348.0,1456.0,2018.0,1831.0,2110.0,1729.0,1315.0,1586.0,1898.0,2493.0,2543.0,2214.0,2645.0,2655.0,2179.0,2155.0,2565.0,2660.0,2517.0,2422.0,1717.0,1545.0,1582.0,2020.0,1602.0,1527.0,1942.0,1405.0,2070.0,2468.0,2325.0,1961.0,2110.0,2346.0,1565.0,2657.0,2215.0,2486.0,2766.0,2468.0,2895.0,3093.0,1917.0,2906.0,2427.0,2645.0,2422.0,2113.0,2957.0,3656.0,2205.0,2942.0,2871.0,2753.0,2938.0,2476.0,2895.0,3819.0,3081.0,2385.0,3087.0,2379.0,2613.0,1738.0,3227.0,2645.0,2306.0,2486.0,2616.0,1794.0,2022.0,3501.0,3049.0,2486.0,3152.0,2127.0,3098.0,2437.0,2965.0,2098.0,2506.0,2888.0,2658.0,2461.0,2761.0,2630.0,1958.0,2443.0,2765.0,2845.0,2591.0,2316.0,2414.0,2341.0,1885.0,2764.0,1811.0,2591.0,2749.0,2389.0,2930.0,3363.0,2848.0,2266.0,2393.0,3311.0,3297.0,3254.0,3437.0,2153.0,3045.0,2720.0,2299.0,3300.0,2838.0,2986.0,2666.0,2909.0,2218.0
