metrics,2019-01-07,2019-01-14,2019-01-21,2019-01-28,2019-02-04,2019-02-11,2019-02-18,2019-02-25,2019-03-04,2019-03-11,2019-03-18,2019-03-25,2019-04-01,2019-04-08,2019-04-15,2019-04-22,2019-04-29,2019-05-06,2019-05-13,2019-05-20,2019-05-27,2019-06-03,2019-06-10,2019-06-17,2019-06-24,2019-07-01,2019-07-08,2019-07-15,2019-07-22,2019-07-29,2019-08-05,2019-08-12,2019-08-19,2019-08-26,2019-09-02,2019-09-09,2019-09-16,2019-09-23,2019-09-30,2019-10-07,2019-10-14,2019-10-21,2019-10-28,2019-11-04,2019-11-11,2019-11-18,2019-11-25,2019-12-02,2019-12-09,2019-12-16,2019-12-23,2019-12-30,2020-01-06,2020-01-13,2020-01-20,2020-01-27,2020-02-03,2020-02-10,2020-02-17,2020-02-24,2020-03-02,2020-03-09,2020-03-16,2020-03-23,2020-03-30,2020-04-06,2020-04-13,2020-04-20,2020-04-27,2020-05-04,2020-05-11,2020-05-18,2020-05-25,2020-06-01,2020-06-08,2020-06-15,2020-06-22,2020-06-29,2020-07-06,2020-07-13,2020-07-20,2020-07-27,2020-08-03,2020-08-10,2020-08-17,2020-08-24,2020-08-31,2020-09-07,2020-09-14,2020-09-21,2020-09-28,2020-10-05,2020-10-12,2020-10-19,2020-10-26,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21,2020-12-28,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-05,2021-04-12,2021-04-19,2021-04-26,2021-05-03,2021-05-10,2021-05-17,2021-05-24,2021-05-31,2021-06-07,2021-06-14,2021-06-21,2021-06-28,2021-07-05,2021-07-12,2021-07-19,2021-07-26,2021-08-02,2021-08-09,2021-08-23,2021-08-30,2021-09-06,2021-09-13,2021-09-20,2021-09-27,2021-10-04,2021-10-11,2021-10-18,2021-10-25,2021-11-01,2021-11-08,2021-11-15,2021-11-22,2021-11-29,2021-12-06,2021-12-13,2021-12-20,2021-12-27,2022-01-03,2022-01-10,2022-01-17,2022-01-24,2022-01-31,2022-02-07,2022-02-14,2022-02-21,2022-02-28,2022-03-07,2022-03-14,2022-03-21,2022-03-28,2022-04-04,2022-04-11,2022-04-18,2022-04-25,2022-05-02,2022-05-09,2022-05-16,2022-05-23,2022-05-30,2022-06-06,2022-06-13,2022-06-20,2022-06-27,2022-07-04,2022-07-11,2022-07-18,2022-07-25,2022-08-01,2022-08-08,2022-08-15,2022-08-22,2022-08-29,2022-09-05,2022-09-12,2022-09-19,2022-09-26,2022-10-03,2022-10-10,2022-10-17,2022-10-24,2022-10-31,2022-11-07,2022-11-14,2022-11-21,2022-11-28,2022-12-05,2022-12-12,2022-12-19,2022-12-26
count,75.0,78.0,77.0,77.0,78.0,78.0,76.0,74.0,79.0,78.0,75.0,73.0,78.0,78.0,78.0,77.0,76.0,77.0,77.0,77.0,77.0,81.0,78.0,77.0,77.0,75.0,78.0,77.0,75.0,75.0,74.0,73.0,77.0,78.0,77.0,76.0,77.0,78.0,74.0,77.0,76.0,74.0,73.0,78.0,75.0,73.0,72.0,78.0,75.0,78.0,71.0,76.0,73.0,73.0,74.0,76.0,76.0,73.0,76.0,76.0,75.0,71.0,71.0,71.0,66.0,65.0,74.0,71.0,69.0,70.0,73.0,71.0,74.0,78.0,72.0,71.0,76.0,71.0,73.0,70.0,76.0,74.0,76.0,76.0,73.0,77.0,76.0,76.0,73.0,77.0,76.0,77.0,76.0,72.0,177.0,72.0,72.0,71.0,68.0,70.0,74.0,71.0,72.0,68.0,67.0,68.0,72.0,70.0,66.0,70.0,69.0,68.0,76.0,73.0,72.0,71.0,68.0,74.0,69.0,72.0,69.0,71.0,74.0,70.0,72.0,70.0,72.0,76.0,70.0,72.0,66.0,76.0,71.0,70.0,69.0,71.0,72.0,66.0,69.0,67.0,63.0,66.0,66.0,66.0,67.0,65.0,64.0,68.0,70.0,70.0,70.0,68.0,64.0,64.0,58.0,69.0,66.0,65.0,63.0,67.0,63.0,66.0,66.0,67.0,71.0,70.0,71.0,70.0,71.0,68.0,69.0,69.0,71.0,72.0,71.0,67.0,69.0,71.0,67.0,69.0,74.0,71.0,72.0,71.0,70.0,75.0,73.0,73.0,71.0,73.0,73.0,71.0,72.0,71.0,68.0,71.0,71.0,71.0,70.0,63.0,66.0,66.0,66.0,71.0,74.0,73.0,68.0
mean,73.08,60.37179487179487,60.87012987012987,56.50649350649351,63.87179487179487,64.46153846153847,66.13157894736842,68.63513513513513,62.91139240506329,69.87179487179488,68.32,71.67123287671232,71.21794871794872,70.37179487179488,66.94871794871794,71.7012987012987,72.22368421052632,72.01298701298701,70.92207792207792,70.54545454545455,68.92207792207792,72.71604938271605,72.17948717948718,75.23376623376623,79.3896103896104,67.77333333333333,85.6923076923077,77.49350649350649,79.22666666666667,81.86666666666666,82.8108108108108,83.32876712328768,77.1038961038961,80.33333333333333,79.76623376623377,78.72368421052632,79.53246753246754,72.61538461538461,74.45945945945945,65.8961038961039,66.96052631578948,67.47297297297297,63.53424657534247,64.92307692307692,61.81333333333333,64.91780821917808,55.833333333333336,61.91025641025641,63.52,59.82051282051282,44.80281690140845,44.1578947368421,46.9041095890411,48.53424657534247,47.74324324324324,49.026315789473685,47.28947368421053,51.65753424657535,51.1578947368421,50.0921052631579,51.586666666666666,47.04225352112676,21.87323943661972,14.352112676056338,13.424242424242424,14.430769230769233,12.797297297297296,14.295774647887324,16.043478260869566,17.585714285714285,17.671232876712327,21.92957746478873,22.68918918918919,24.756410256410252,27.041666666666668,28.04225352112676,26.67105263157895,27.112676056338028,28.65753424657534,31.114285714285717,26.605263157894736,26.17567567567568,28.960526315789476,32.23684210526316,34.93150684931507,33.90909090909091,34.21052631578947,33.53947368421053,35.56164383561644,36.50649350649351,35.94736842105263,32.11688311688312,33.44736842105263,34.80555555555556,52.38418079096045,28.45833333333333,25.48611111111111,22.943661971830984,19.455882352941178,22.914285714285715,22.93243243243243,23.112676056338028,17.833333333333332,17.91176470588235,19.98507462686567,20.72058823529412,20.13888888888889,21.67142857142857,21.818181818181817,23.685714285714287,21.608695652173918,24.19117647058824,22.43421052631579,23.315068493150687,21.84722222222222,20.140845070422536,21.705882352941178,20.5,20.91304347826087,20.45833333333333,21.49275362318841,21.169014084507044,21.43243243243243,22.642857142857142,21.70833333333333,21.17142857142857,23.569444444444443,22.223684210526315,24.428571428571427,24.40277777777778,30.151515151515152,25.48684210526316,24.97183098591549,27.47142857142857,27.39130434782609,29.04225352112676,26.20833333333333,29.060606060606062,31.057971014492757,28.611940298507463,31.07936507936508,28.727272727272727,31.484848484848484,29.78787878787879,28.044776119402982,27.953846153846158,28.96875,25.58823529411765,28.12857142857143,22.728571428571428,27.357142857142858,24.0,28.109375,19.703125,20.948275862068964,16.666666666666668,21.651515151515152,23.93846153846154,23.444444444444443,22.791044776119403,29.80952380952381,26.666666666666668,29.37878787878788,30.17910447761194,32.7887323943662,31.242857142857144,32.40845070422535,34.08571428571429,36.61971830985915,35.088235294117645,43.289855072463766,36.5072463768116,36.563380281690144,39.09722222222222,32.971830985915496,36.940298507462686,34.69565217391305,36.85915492957746,38.38805970149254,35.84057971014493,35.83783783783784,41.54929577464789,34.34722222222222,37.15492957746479,39.62857142857143,34.08,35.821917808219176,38.75342465753425,36.38028169014085,38.78082191780822,39.65753424657535,37.71830985915493,38.02777777777778,41.04225352112676,39.5,40.91549295774648,41.816901408450704,42.16901408450704,39.81428571428572,44.80952380952381,43.34848484848485,38.25757575757576,41.54545454545455,43.74647887323944,36.067567567567565,24.534246575342465,28.38235294117647
std,157.624833411833,113.6814995941879,118.63892041881029,105.38496139800267,122.528274921253,125.2644674805542,122.30577441862812,130.54129397835433,128.22468159879858,145.97103065862692,129.89134336467953,135.90315739060912,147.31595583130445,140.42663278074855,129.66318980552182,140.7723119582848,135.89629366387794,140.64424076618707,134.40549078635206,135.10108744103874,132.47072826952,147.41338427767514,146.42224509777827,150.9818650755165,154.24784873055475,134.0079236597732,189.3798016967736,157.8621670099237,156.28902309099877,164.33537999200632,156.1022386854886,153.70227848330325,147.81448048995532,161.24569191197995,170.48768253885956,151.74958307986313,162.8036906680772,146.1692872646663,143.46449030260416,133.83184504361637,133.1213422197431,130.07576537920338,118.65941951088662,127.39291599204032,116.23109475259788,123.28374604778124,109.56353870738434,122.1713918409256,125.93309678104828,121.86939395988308,91.53775485219352,89.60863836804708,80.54383975057063,84.48719202600093,87.02024025475234,97.4645198601981,87.25637562791215,96.88928664232098,103.88519979690136,101.6977453216578,96.28183479614268,82.85330179121553,33.387734949685075,22.696820791561656,20.221892634591395,19.54239720355562,18.83742975351528,21.67578923670844,24.47654025833518,23.58917269263552,26.04646211554809,30.9508014868122,35.68850230247627,38.17362450338725,38.66775688522948,39.4303858970712,38.49792657893659,41.515762684886894,42.78344019532239,47.20585288482617,40.74672304120285,38.91168719320893,42.5855815316166,52.6819054125298,56.83194738464628,62.32748439496644,56.80570764503011,56.28272459395777,58.089487072717255,59.66168288481296,63.44822450614717,55.45742179602721,56.67718994136109,56.39464535786286,164.89118098464994,45.0786284893282,41.57124990262325,36.89711073626368,29.80355274000486,34.82034340295616,36.88498639554423,35.67173723022378,28.270823062297257,28.26565623176768,30.56562365821379,29.338399059088196,31.197826556454785,32.6188890900018,33.51734755932497,38.258291838632026,35.75908662444881,36.06431127650978,35.65326933164879,35.51481565344273,33.23143756865627,30.92400628944994,34.653534128109385,32.29710110406238,31.83908952032668,34.43668920468809,32.188609233156946,36.13070950056315,31.38234434308525,35.10358820351425,33.694751336159655,33.87571975964429,38.67518270717658,38.76720218060984,41.76975239717026,44.69100792506668,62.33266643872461,51.618212140303775,45.193226999182045,50.980735613824834,50.45884094146445,60.36802290231815,50.788136992362006,63.14936598448494,71.6104420700622,53.59555477493209,60.96781318656315,55.31213400179176,63.38629854963015,59.452764741694175,53.10293972226102,57.885239582629886,51.561019098503,48.59188412491825,58.770968241764855,44.74142179252425,53.55588594407395,46.42824667755868,54.14065080366549,33.11101082266159,36.41593174277564,27.796882319185844,36.90715687286449,42.75982230840248,40.42906084209076,45.23056666694678,56.65909861814957,49.74468145775319,64.01869081676674,64.24619440990716,78.69723456621726,66.67081922884977,71.98245370818576,71.67979175879245,78.24711152992587,70.10498210713928,96.77735233503078,71.34127243468659,73.3710204361302,91.55144166559316,64.32106338650681,70.15542930176969,66.61087712533629,77.89118706331801,76.47399146389984,66.36876107565831,80.20641641176333,101.41340975466908,70.54718922585242,81.15094364160863,83.1822116276247,71.8613078615159,76.12751409199228,88.85846749214882,70.62605067682343,106.3772436211156,98.31669621659756,84.4838417515599,81.39331948608564,92.39147094521508,84.35842153325352,90.24834727079862,89.81668789566493,85.74346887505993,81.35470606398725,84.32270140567267,89.55144502106766,92.03332349770182,77.88555347790395,91.37641432321256,74.98882676244308,43.81909850985223,56.18414006088405
min,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
q1,5.0,3.0,3.0,4.0,3.25,3.0,4.75,5.0,3.5,4.0,5.5,5.0,4.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,6.0,5.0,4.0,5.5,5.0,5.0,5.0,5.0,5.25,5.0,6.0,5.0,4.25,5.5,4.0,4.75,5.25,4.0,4.0,4.0,3.0,3.75,4.0,4.5,3.25,3.0,2.75,4.0,4.0,3.25,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.5,2.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,3.0,3.0,4.0,2.0,2.0,3.0,3.25,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.75,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.25,3.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.75,2.0,2.0,2.0,2.0,2.0,2.25,2.0,2.0,2.5,3.0,3.0,2.0,3.0,2.0,2.75,2.0,2.0,2.0,1.25,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.5,2.0,2.0,2.0,2.0,2.0,2.25,2.0,2.25,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.75,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0
q2,13.0,11.5,11.0,11.0,13.5,11.5,13.5,14.0,13.0,10.5,12.0,15.0,13.0,12.0,13.5,12.0,13.0,11.0,11.0,11.0,11.0,14.0,12.0,14.0,14.0,14.0,12.0,12.0,13.0,15.0,16.0,18.0,17.0,15.5,13.0,16.5,16.0,12.0,15.0,15.0,11.5,12.5,15.0,12.0,12.0,12.0,9.5,10.5,12.0,11.5,9.0,7.5,11.0,11.0,8.5,7.5,9.0,11.0,10.0,10.0,11.0,13.0,10.0,7.0,6.5,6.0,5.5,5.0,7.0,7.0,5.0,9.0,7.0,8.0,9.5,11.0,8.0,8.0,9.0,9.5,7.0,7.0,7.0,10.0,11.0,9.0,10.5,9.0,10.0,10.0,11.5,8.0,8.5,10.5,6.0,8.5,8.0,8.0,7.0,8.0,7.0,9.0,6.0,5.5,7.0,7.0,6.5,7.0,8.5,7.0,6.0,9.0,6.5,7.0,7.5,5.0,6.0,6.0,6.0,5.0,7.0,7.0,6.0,5.5,6.0,5.5,4.5,5.0,6.0,6.0,6.0,7.0,5.0,6.5,7.0,5.0,4.5,6.5,4.0,7.0,6.0,6.5,6.5,7.0,6.0,7.0,7.0,6.0,5.0,4.0,5.5,6.0,6.0,5.0,5.0,5.0,5.5,6.0,6.0,6.0,6.0,6.0,5.5,6.0,6.0,5.5,9.0,7.0,7.0,9.5,9.0,7.0,6.0,7.0,6.0,8.0,8.0,6.0,6.0,7.0,5.5,7.0,6.0,9.0,7.5,6.0,7.0,6.0,8.0,7.0,5.0,6.0,7.0,8.0,9.5,9.0,7.0,8.0,8.5,8.0,10.5,8.0,10.5,6.0,6.0,7.0,5.5
q3,54.0,57.75,57.0,55.0,54.0,61.25,60.25,62.75,55.0,58.75,61.0,74.0,58.75,60.5,64.25,68.0,72.25,69.0,70.0,70.0,69.0,65.0,77.0,77.0,76.0,61.5,70.5,71.0,86.0,72.0,82.0,80.0,74.0,71.25,64.0,72.25,78.0,69.25,68.5,57.0,60.5,63.25,55.0,58.25,54.5,62.0,63.5,64.75,64.0,51.25,41.5,34.75,49.0,54.0,50.5,42.0,51.0,55.0,52.5,50.25,58.5,57.0,28.5,17.0,17.75,20.0,15.0,19.5,22.0,21.75,20.0,30.0,32.0,30.0,36.25,34.0,31.0,34.0,36.0,41.25,34.25,34.5,39.5,36.25,38.0,41.0,38.5,43.5,46.0,45.0,40.5,31.0,44.25,42.25,31.0,36.75,32.25,27.0,27.25,31.75,28.0,26.5,23.0,22.75,22.5,26.0,26.0,25.75,25.5,27.5,26.0,32.5,29.0,29.0,29.0,23.5,23.25,23.75,25.0,21.75,27.0,29.0,27.75,28.5,27.25,27.0,28.75,24.75,31.25,22.5,26.25,20.5,20.5,25.0,27.0,26.5,21.25,26.25,31.0,30.0,33.5,35.5,36.5,37.25,31.5,30.0,30.0,27.25,33.75,22.5,31.75,23.5,29.5,23.25,20.0,20.0,22.5,27.0,28.5,22.5,29.5,32.25,33.5,29.5,27.5,35.5,36.0,31.0,35.5,35.25,33.0,42.0,36.0,38.25,28.5,40.0,33.0,36.0,41.5,39.0,29.75,24.5,27.75,34.5,35.25,29.0,38.0,41.0,38.5,30.0,37.0,32.0,38.0,40.5,37.25,40.5,37.5,43.5,36.25,49.0,42.0,32.0,42.0,38.5,34.0,28.0,25.75
max,942.0,576.0,609.0,529.0,661.0,626.0,535.0,595.0,671.0,796.0,732.0,700.0,742.0,685.0,685.0,717.0,628.0,671.0,680.0,686.0,652.0,717.0,766.0,814.0,770.0,770.0,1064.0,821.0,760.0,921.0,775.0,758.0,877.0,928.0,893.0,744.0,937.0,726.0,667.0,704.0,650.0,614.0,597.0,638.0,546.0,600.0,566.0,601.0,655.0,703.0,598.0,569.0,448.0,497.0,474.0,542.0,477.0,495.0,569.0,626.0,503.0,443.0,217.0,140.0,124.0,114.0,104.0,118.0,149.0,143.0,164.0,162.0,179.0,199.0,191.0,183.0,169.0,213.0,211.0,216.0,217.0,188.0,205.0,254.0,274.0,330.0,262.0,304.0,285.0,307.0,356.0,276.0,297.0,303.0,1466.0,216.0,242.0,193.0,171.0,165.0,202.0,187.0,168.0,131.0,161.0,149.0,136.0,155.0,161.0,175.0,182.0,187.0,182.0,180.0,181.0,158.0,199.0,169.0,155.0,206.0,164.0,252.0,156.0,158.0,168.0,198.0,222.0,246.0,240.0,260.0,378.0,351.0,273.0,307.0,311.0,345.0,309.0,452.0,417.0,338.0,321.0,351.0,340.0,385.0,356.0,408.0,290.0,319.0,385.0,248.0,300.0,278.0,298.0,194.0,197.0,144.0,183.0,218.0,227.0,262.0,259.0,275.0,418.0,353.0,484.0,393.0,454.0,402.0,390.0,401.0,508.0,429.0,418.0,600.0,310.0,344.0,300.0,442.0,388.0,310.0,421.0,589.0,424.0,540.0,489.0,455.0,486.0,524.0,437.0,832.0,526.0,505.0,423.0,561.0,479.0,617.0,629.0,534.0,470.0,514.0,535.0,617.0,431.0,450.0,489.0,265.0,335.0
sum,5481.0,4709.0,4687.0,4351.0,4982.0,5028.0,5026.0,5079.0,4970.0,5450.0,5124.0,5232.0,5555.0,5489.0,5222.0,5521.0,5489.0,5545.0,5461.0,5432.0,5307.0,5890.0,5630.0,5793.0,6113.0,5083.0,6684.0,5967.0,5942.0,6140.0,6128.0,6083.0,5937.0,6266.0,6142.0,5983.0,6124.0,5664.0,5510.0,5074.0,5089.0,4993.0,4638.0,5064.0,4636.0,4739.0,4020.0,4829.0,4764.0,4666.0,3181.0,3356.0,3424.0,3543.0,3533.0,3726.0,3594.0,3771.0,3888.0,3807.0,3869.0,3340.0,1553.0,1019.0,886.0,938.0,947.0,1015.0,1107.0,1231.0,1290.0,1557.0,1679.0,1931.0,1947.0,1991.0,2027.0,1925.0,2092.0,2178.0,2022.0,1937.0,2201.0,2450.0,2550.0,2611.0,2600.0,2549.0,2596.0,2811.0,2732.0,2473.0,2542.0,2506.0,9272.0,2049.0,1835.0,1629.0,1323.0,1604.0,1697.0,1641.0,1284.0,1218.0,1339.0,1409.0,1450.0,1517.0,1440.0,1658.0,1491.0,1645.0,1705.0,1702.0,1573.0,1430.0,1476.0,1517.0,1443.0,1473.0,1483.0,1503.0,1586.0,1585.0,1563.0,1482.0,1697.0,1689.0,1710.0,1757.0,1990.0,1937.0,1773.0,1923.0,1890.0,2062.0,1887.0,1918.0,2143.0,1917.0,1958.0,1896.0,2078.0,1966.0,1879.0,1817.0,1854.0,1740.0,1969.0,1591.0,1915.0,1632.0,1799.0,1261.0,1215.0,1150.0,1429.0,1556.0,1477.0,1527.0,1878.0,1760.0,1939.0,2022.0,2328.0,2187.0,2301.0,2386.0,2600.0,2386.0,2987.0,2519.0,2596.0,2815.0,2341.0,2475.0,2394.0,2617.0,2572.0,2473.0,2652.0,2950.0,2473.0,2638.0,2774.0,2556.0,2615.0,2829.0,2583.0,2831.0,2895.0,2678.0,2738.0,2914.0,2686.0,2905.0,2969.0,2994.0,2787.0,2823.0,2861.0,2525.0,2742.0,3106.0,2669.0,1791.0,1930.0
