metrics,2019-01-07,2019-01-14,2019-01-21,2019-01-28,2019-02-04,2019-02-11,2019-02-18,2019-02-25,2019-03-04,2019-03-11,2019-03-18,2019-03-25,2019-04-01,2019-04-08,2019-04-15,2019-04-22,2019-04-29,2019-05-06,2019-05-13,2019-05-20,2019-05-27,2019-06-03,2019-06-10,2019-06-17,2019-06-24,2019-07-01,2019-07-08,2019-07-15,2019-07-22,2019-07-29,2019-08-05,2019-08-12,2019-08-19,2019-08-26,2019-09-02,2019-09-09,2019-09-16,2019-09-23,2019-09-30,2019-10-07,2019-10-14,2019-10-21,2019-10-28,2019-11-04,2019-11-11,2019-11-18,2019-11-25,2019-12-02,2019-12-09,2019-12-16,2019-12-23,2019-12-30,2020-01-06,2020-01-13,2020-01-20,2020-01-27,2020-02-03,2020-02-10,2020-02-17,2020-02-24,2020-03-02,2020-03-09,2020-03-16,2020-03-23,2020-03-30,2020-04-06,2020-04-13,2020-04-20,2020-04-27,2020-05-04,2020-05-11,2020-05-18,2020-05-25,2020-06-01,2020-06-08,2020-06-15,2020-06-22,2020-06-29,2020-07-06,2020-07-13,2020-07-20,2020-07-27,2020-08-03,2020-08-10,2020-08-17,2020-08-24,2020-08-31,2020-09-07,2020-09-14,2020-09-21,2020-09-28,2020-10-05,2020-10-12,2020-10-19,2020-10-26,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21,2020-12-28,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-05,2021-04-12,2021-04-19,2021-04-26,2021-05-03,2021-05-10,2021-05-17,2021-05-24,2021-05-31,2021-06-07,2021-06-14,2021-06-21,2021-06-28,2021-07-05,2021-07-12,2021-07-19,2021-07-26,2021-08-02,2021-08-09,2021-08-23,2021-08-30,2021-09-06,2021-09-13,2021-09-20,2021-09-27,2021-10-04,2021-10-11,2021-10-18,2021-10-25,2021-11-01,2021-11-08,2021-11-15,2021-11-22,2021-11-29,2021-12-06,2021-12-13,2021-12-20,2021-12-27,2022-01-03,2022-01-10,2022-01-17,2022-01-24,2022-01-31,2022-02-07,2022-02-14,2022-02-21,2022-02-28,2022-03-07,2022-03-14,2022-03-21,2022-03-28,2022-04-04,2022-04-11,2022-04-18,2022-04-25,2022-05-02,2022-05-09,2022-05-16,2022-05-23,2022-05-30,2022-06-06,2022-06-13,2022-06-20,2022-06-27,2022-07-04,2022-07-11,2022-07-18,2022-07-25,2022-08-01,2022-08-08,2022-08-15,2022-08-22,2022-08-29,2022-09-05,2022-09-12,2022-09-19,2022-09-26,2022-10-03,2022-10-10,2022-10-17,2022-10-24,2022-10-31,2022-11-07,2022-11-14,2022-11-21,2022-11-28,2022-12-05,2022-12-12,2022-12-19,2022-12-26
count,77.0,80.0,80.0,81.0,81.0,81.0,81.0,81.0,77.0,79.0,81.0,82.0,81.0,79.0,79.0,81.0,81.0,79.0,79.0,82.0,78.0,81.0,78.0,83.0,81.0,80.0,83.0,78.0,79.0,81.0,79.0,80.0,81.0,83.0,82.0,82.0,82.0,82.0,81.0,80.0,82.0,82.0,78.0,81.0,82.0,81.0,80.0,81.0,79.0,79.0,79.0,77.0,79.0,80.0,81.0,80.0,80.0,78.0,80.0,80.0,77.0,79.0,78.0,75.0,74.0,75.0,74.0,74.0,75.0,78.0,80.0,79.0,80.0,78.0,76.0,77.0,75.0,72.0,78.0,80.0,80.0,81.0,83.0,80.0,81.0,77.0,81.0,80.0,82.0,79.0,82.0,81.0,80.0,79.0,112.0,82.0,79.0,83.0,78.0,77.0,80.0,79.0,78.0,78.0,76.0,77.0,77.0,78.0,79.0,75.0,74.0,77.0,77.0,77.0,78.0,76.0,77.0,78.0,76.0,77.0,80.0,75.0,78.0,78.0,76.0,77.0,78.0,77.0,81.0,80.0,74.0,79.0,81.0,79.0,78.0,78.0,78.0,79.0,80.0,78.0,80.0,79.0,81.0,81.0,76.0,80.0,81.0,81.0,80.0,76.0,77.0,73.0,74.0,77.0,74.0,77.0,78.0,75.0,80.0,77.0,79.0,79.0,77.0,80.0,79.0,77.0,78.0,81.0,81.0,79.0,80.0,80.0,81.0,79.0,79.0,78.0,78.0,77.0,77.0,81.0,79.0,78.0,76.0,79.0,79.0,80.0,81.0,80.0,78.0,79.0,76.0,80.0,76.0,77.0,80.0,83.0,81.0,83.0,79.0,81.0,80.0,80.0,81.0,80.0,79.0,81.0,77.0
mean,1321.922077922078,1278.9375,1349.1625,1221.9012345679012,1275.5061728395062,1430.0123456790122,1430.8148148148148,1367.4444444444443,1482.6233766233763,1562.6582278481012,1512.1851851851852,1498.658536585366,1506.7283950617284,1638.3544303797469,1836.949367088608,1740.0864197530864,1519.2469135802469,1582.9620253164558,1672.7848101265822,1766.6707317073171,1830.4102564102564,1739.148148148148,1847.2435897435896,1844.951807228916,2031.1851851851848,2024.125,1960.566265060241,2049.974358974359,2081.0506329113923,2003.9382716049383,2053.253164556962,2039.7,2009.283950617284,1870.566265060241,1702.4146341463415,1603.3536585365853,1644.3658536585365,1632.1341463414635,1588.3950617283951,1561.125,1510.0243902439024,1406.4512195121952,1454.1153846153843,1458.1728395061727,1343.5487804878048,1359.5061728395062,1657.0625,1415.2469135802469,1488.607594936709,1656.1898734177216,1788.5696202531649,1599.2727272727273,1353.3544303797469,1326.6375,1328.469135802469,1212.0625,1243.8,1471.9871794871794,1527.175,1319.45,1320.974025974026,1101.6455696202531,656.6666666666666,391.4,338.97297297297297,321.70666666666665,346.3918918918919,368.5945945945946,421.12,439.2051282051282,472.45,521.4303797468355,564.65,592.8461538461538,679.6052631578947,747.1688311688312,826.0266666666666,927.1666666666666,831.4615384615385,839.7625,847.575,868.604938271605,866.8072289156627,925.6875,936.1234567901234,933.5584415584416,905.2716049382716,852.4625,756.3658536585366,811.0759493670886,787.3780487804878,825.716049382716,829.025,821.5443037974684,28.535714285714285,745.3048780487804,724.7594936708861,700.710843373494,771.2307692307693,690.2597402597403,688.925,679.9746835443038,810.4487179487179,815.2820512820513,713.6973684210526,701.0519480519481,701.012987012987,645.0,529.5443037974684,756.5733333333334,794.1081081081081,749.2337662337662,778.3246753246754,804.7402597402597,787.6410256410256,868.4473684210526,987.5064935064936,915.3205128205128,869.1973684210526,845.2207792207793,817.0375,894.2666666666667,916.2692307692308,917.474358974359,1024.092105263158,1104.8181818181818,1016.8076923076924,1136.2987012987012,1157.5432098765432,1218.225,1371.445945945946,1230.987341772152,1233.1358024691358,1261.9367088607594,1294.179487179487,1289.3846153846157,1227.423076923077,1120.1518987341772,1075.2625,974.2307692307692,969.325,979.5316455696204,988.1851851851852,1039.2345679012346,1047.2105263157894,928.8125,1004.7283950617284,993.432098765432,1042.175,1319.5263157894738,1021.0649350649352,1049.6712328767123,1173.7567567567569,1122.6493506493507,1128.2432432432431,859.1428571428571,862.0769230769231,918.1733333333332,699.0,886.4155844155844,881.6582278481013,1069.9367088607594,1177.1948051948052,965.7,1203.126582278481,1369.7792207792209,1312.6666666666667,1220.679012345679,1316.5061728395062,1622.620253164557,1587.05,1304.7625,1256.0987654320988,1376.0379746835442,1476.1645569620252,1553.628205128205,1627.8974358974358,1560.5844155844156,1742.571428571429,1755.469135802469,1859.0506329113923,1912.0384615384612,1921.1447368421047,1853.455696202532,1871.759493670886,1808.2,1813.4567901234568,1835.2,1797.1923076923076,1681.240506329114,1548.2631578947369,1393.575,1510.2236842105262,1451.935064935065,1500.1,1478.1566265060242,1445.7283950617284,1356.8072289156626,1424.607594936709,1472.9753086419753,1483.075,1749.7625,1024.7407407407406,680.4625,749.873417721519,757.6296296296297,994.6363636363636
std,8008.2602055729985,7866.219121949586,8272.024769268168,7519.567546749177,7795.995007251253,8837.01035912857,8878.471870360225,8467.747293406906,8947.931964895224,9531.929623956172,9353.475681679927,9264.25716905079,9230.231335145863,9942.177884040138,11197.336768863932,10710.735412656704,9358.086919251798,9578.823216684195,10121.299609557707,10917.477712653845,11073.011824633117,10699.557207089356,11157.274845537078,11543.885830638654,12596.620343480145,12472.97761428504,12273.723726997156,12441.12866426887,12709.561731533462,12404.988833475103,12519.852810501588,12520.590176367765,12412.381356164666,11642.14245452833,10535.958881580314,9899.612001839352,10116.504369327484,10053.694324693544,9724.468699727267,9506.229715397094,9318.605810222432,8670.270896066128,8709.652431642722,8923.367409210108,8293.554923132973,8335.49430766325,10119.26678104287,8698.436674958992,9016.126083256177,10104.146043004212,10939.970663584563,9754.907909997708,8307.483322572478,8159.045776367138,8189.311213536856,7387.9871590215325,7569.831955394477,8957.24326140523,9417.954452547174,8066.55035346977,7894.721352660812,6688.959370672853,3976.1222271665606,2277.518949990881,1953.43246881443,1863.7514099788625,1989.907369067114,2119.6515733250003,2455.419614934565,2608.8569142316715,2863.388056485763,3147.133342255621,3429.81257966752,3558.839680588024,4035.4855571672247,4470.32700559036,4904.923172038843,5442.060569254685,5064.532133600076,5178.231346665443,5240.93757622127,5400.176343599836,5443.230737790304,5717.31254604896,5834.187039302726,5642.823370612834,5602.906676476831,5193.429158942644,4631.459497218472,4889.340256926685,4831.361083281094,5054.339794262372,5050.415618879076,4967.0555891369,54.68450520389765,4594.309633086049,4374.258841881,4335.5048895228,4659.20010670991,4116.462793667314,4194.227895557586,4112.805359171253,4912.24180484675,4944.174680375207,4239.414399874075,4188.632925757469,4198.879990054699,3872.894665609832,3196.391221512274,4472.385369864338,4669.976863535916,4479.63616619435,4657.20634704845,4833.002473135258,4769.032682484649,5190.907929305463,5981.382661452154,5555.195673768789,5210.903594118105,5098.292605381616,5015.704335974931,5309.622006023296,5557.170817781475,5563.964989863334,6144.913563108124,6696.267638191938,6178.589617690769,6873.977568116729,7194.879740220442,7543.4452340669295,8178.254506373028,7563.63934328061,7692.052541020968,7769.780750201338,7911.832428897263,7876.773768047868,7497.642560267756,6857.946712014909,6630.7446223389725,5903.270315137738,5958.42005601519,5981.933196301288,6119.762025828928,6445.916560644429,6286.245417450791,5695.927928300948,6221.418582229346,6150.240749227366,6412.09461180662,7977.124872991412,6161.612146648631,6160.810888761122,6941.809698142675,6803.110054592744,6702.276174004242,5248.059778608626,5249.6268705233015,5470.768018550301,4294.602243558737,5340.652043156314,5373.765157823503,6550.264536333086,7126.237170593721,5945.75938108174,7396.23266952306,8307.02247407732,7990.290664327107,7566.548208772544,8176.9975665329885,9970.93447168112,9808.185767413934,8038.544440073192,7774.8625737130205,8409.993608709785,9046.477311894674,9471.01587292346,9930.997820140215,9453.712104874952,10568.410737252703,10951.422635993946,11465.714198179132,11714.049988299164,11599.032637484845,11423.542238590366,11533.311744698029,11211.19340568821,11313.718842680975,11371.223739184024,10975.558023334232,10324.00790070033,9324.5039365726,8593.997579669609,9080.108940020024,8786.7240277856,9250.80374010684,9285.49457878954,8967.9650074757,8509.324342582328,8716.742448193974,9144.27327617579,9152.891304653962,10844.88322006299,6482.071032428175,5812.784617653933,6406.268693515368,6595.343183725251,8506.456632757028
min,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
q1,6.0,6.0,5.0,7.0,6.0,5.0,5.0,4.0,6.0,6.0,6.0,6.0,5.0,6.5,6.5,6.0,4.0,7.0,6.5,6.0,5.25,6.0,8.0,6.0,7.0,6.0,5.5,7.0,8.0,7.0,7.0,6.0,6.0,6.0,6.0,6.25,6.25,6.0,6.0,6.0,5.0,5.25,8.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,3.0,4.0,5.5,5.0,5.0,5.0,5.75,5.25,4.0,5.75,6.0,4.5,4.25,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.75,3.0,4.0,3.75,3.0,3.0,3.75,3.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.5,3.0,4.0,3.5,3.0,3.0,3.0,3.0,2.5,3.0,2.0,3.75,3.0,3.0,3.0,2.0,3.0,3.25,4.0,4.0,4.0,3.0,3.0,3.0,2.25,3.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,4.0,2.75,4.0,3.0,2.5,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.5,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,4.25,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.5,4.0,3.0,4.75,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0
q2,16.0,15.5,16.5,14.0,14.0,14.0,14.0,16.0,15.0,21.0,19.0,18.5,19.0,17.0,20.0,18.0,16.0,17.0,21.0,18.0,17.5,19.0,20.5,20.0,20.0,18.5,19.0,18.5,18.0,18.0,18.0,16.5,15.0,16.0,17.0,20.5,20.0,17.5,19.0,18.0,17.0,19.0,18.0,18.0,14.0,20.0,16.0,13.0,18.0,17.0,13.0,13.0,16.0,14.0,15.0,13.5,13.0,17.0,14.5,16.0,16.0,14.0,11.0,5.0,6.0,6.0,6.5,7.5,9.0,7.0,7.5,7.0,7.0,7.0,10.0,10.0,12.0,11.5,11.5,11.0,9.5,11.0,11.0,9.5,10.0,11.0,9.0,11.0,10.0,11.0,11.0,14.0,10.0,12.0,8.0,10.5,10.0,9.0,9.5,9.0,9.5,8.0,8.0,6.5,9.0,12.0,10.0,9.5,9.0,10.0,11.0,11.0,9.0,9.0,8.0,7.5,7.0,8.0,7.0,7.0,7.5,8.0,9.0,7.0,9.0,8.0,9.0,8.0,6.0,6.0,8.0,8.0,6.0,7.0,8.0,7.0,7.0,7.0,7.0,9.0,8.0,7.0,8.0,8.0,8.0,8.0,7.0,6.0,7.0,7.0,7.0,10.0,11.0,8.0,7.0,6.0,7.0,8.0,7.5,7.0,8.0,9.0,10.0,8.0,9.0,9.0,9.0,8.0,8.0,9.0,7.5,8.5,10.0,9.0,9.0,10.0,12.0,11.0,10.0,10.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,8.5,9.5,9.0,9.5,9.5,11.5,11.0,10.0,9.0,9.0,11.0,9.0,10.0,9.0,8.5,10.0,9.0,11.0,8.0,8.0
q3,60.0,54.0,52.25,57.0,63.0,59.0,56.0,58.0,63.0,64.0,66.0,74.0,66.0,69.0,63.0,64.0,62.0,62.5,64.0,58.0,64.5,63.0,71.75,59.0,65.0,60.0,69.5,58.75,60.0,62.0,63.0,61.0,63.0,67.0,58.75,62.25,60.5,68.0,58.0,60.0,55.0,57.5,60.25,57.0,56.5,55.0,46.25,52.0,50.0,53.0,38.5,44.0,47.5,54.75,48.0,54.25,49.0,49.25,46.0,49.0,57.0,49.0,22.0,16.0,15.5,12.0,14.5,17.5,20.0,17.75,17.5,18.5,18.25,22.25,22.25,29.0,26.0,26.0,27.5,28.5,26.0,28.0,25.5,26.25,28.0,27.0,29.0,29.5,32.0,32.0,33.0,31.0,29.25,32.0,29.0,30.0,27.0,26.0,24.75,24.0,22.5,24.0,23.0,23.0,25.25,25.0,23.0,20.0,20.5,24.0,21.75,25.0,26.0,23.0,19.5,23.5,21.0,21.5,19.5,25.0,17.0,22.5,20.5,20.25,25.25,23.0,22.75,25.0,21.0,21.0,17.75,20.0,22.0,23.0,21.25,22.5,19.5,25.0,20.25,20.5,18.25,23.0,19.0,22.0,22.0,23.75,22.0,23.0,22.0,20.0,24.0,25.0,28.5,19.0,20.0,19.0,19.25,17.0,18.0,21.0,23.5,24.5,23.0,23.25,26.5,29.0,29.5,27.0,27.0,24.5,26.0,22.25,28.0,30.5,26.0,28.0,27.75,30.0,31.0,25.0,28.0,23.75,28.25,25.0,28.0,25.0,26.0,24.5,27.5,29.5,27.5,31.0,31.25,25.0,23.5,29.0,29.0,29.5,28.0,27.0,32.5,25.0,31.0,28.25,27.0,24.0,22.0
max,59347.0,59164.0,60456.0,55677.0,56800.0,66103.0,66610.0,63813.0,65567.0,70570.0,69813.0,68686.0,67020.0,71586.0,80202.0,76737.0,69186.0,68577.0,71241.0,77080.0,77241.0,77271.0,78981.0,84468.0,92154.0,89000.0,89632.0,87714.0,89836.0,88667.0,87657.0,87796.0,88702.0,81862.0,75199.0,71709.0,72043.0,72019.0,68622.0,66055.0,65804.0,62149.0,60018.0,61778.0,58849.0,59656.0,66269.0,61698.0,62670.0,71642.0,72995.0,70564.0,61307.0,59631.0,58619.0,52381.0,52931.0,64679.0,67608.0,57542.0,53920.0,48065.0,28685.0,14482.0,12087.0,11530.0,12205.0,13198.0,15556.0,17101.0,19618.0,21767.0,23802.0,24372.0,27301.0,30548.0,34183.0,37650.0,36272.0,37408.0,38276.0,39454.0,39918.0,41327.0,43088.0,40303.0,40726.0,36189.0,31919.0,33539.0,33471.0,35475.0,35155.0,34034.0,288.0,31977.0,28961.0,28701.0,30972.0,25892.0,27362.0,26228.0,32175.0,32966.0,26883.0,26739.0,26696.0,24774.0,20979.0,27879.0,28873.0,28598.0,30244.0,31850.0,31352.0,32530.0,40053.0,36496.0,34224.0,33992.0,33954.0,33809.0,36340.0,36050.0,39895.0,44827.0,40232.0,44978.0,48005.0,50399.0,53421.0,49694.0,52269.0,51846.0,52646.0,52093.0,50346.0,45173.0,44741.0,38080.0,39461.0,39336.0,41204.0,43859.0,41396.0,36972.0,42304.0,39548.0,41582.0,52833.0,39964.0,38634.0,44183.0,43857.0,41081.0,37239.0,35769.0,35737.0,29421.0,34748.0,35009.0,43383.0,46501.0,40539.0,50914.0,56123.0,52907.0,50480.0,54845.0,63571.0,63784.0,52919.0,51059.0,54135.0,58788.0,60426.0,62487.0,61881.0,68483.0,73280.0,75768.0,75492.0,74775.0,74933.0,74067.0,73457.0,74039.0,72461.0,69259.0,65829.0,60112.0,58001.0,58997.0,57845.0,59588.0,61559.0,59628.0,57167.0,57404.0,60015.0,61787.0,71480.0,49954.0,52017.0,56966.0,59381.0,74667.0
sum,101788.0,102315.0,107933.0,98974.0,103316.0,115831.0,115896.0,110763.0,114162.0,123450.0,122487.0,122890.0,122045.0,129430.0,145119.0,140947.0,123059.0,125054.0,132150.0,144867.0,142772.0,140871.0,144085.0,153131.0,164526.0,161930.0,162727.0,159898.0,164403.0,162319.0,162207.0,163176.0,162752.0,155257.0,139598.0,131475.0,134838.0,133835.0,128660.0,124890.0,123822.0,115329.0,113421.0,118112.0,110171.0,110120.0,132565.0,114635.0,117600.0,130839.0,141297.0,123144.0,106915.0,106131.0,107606.0,96965.0,99504.0,114815.0,122174.0,105556.0,101715.0,87030.0,51220.0,29355.0,25084.0,24128.0,25633.0,27276.0,31584.0,34258.0,37796.0,41193.0,45172.0,46242.0,51650.0,57532.0,61952.0,66756.0,64854.0,67181.0,67806.0,70357.0,71945.0,74055.0,75826.0,71884.0,73327.0,68197.0,62022.0,64075.0,64565.0,66883.0,66322.0,64902.0,3196.0,61115.0,57256.0,58159.0,60156.0,53150.0,55114.0,53718.0,63215.0,63592.0,54241.0,53981.0,53978.0,50310.0,41834.0,56743.0,58764.0,57691.0,59931.0,61965.0,61436.0,66002.0,76038.0,71395.0,66059.0,65082.0,65363.0,67070.0,71469.0,71563.0,77831.0,85071.0,79311.0,87495.0,93761.0,97458.0,101487.0,97248.0,99884.0,99693.0,100946.0,100572.0,95739.0,88492.0,86021.0,75990.0,77546.0,77383.0,80043.0,84178.0,79588.0,74305.0,81383.0,80468.0,83374.0,100284.0,78622.0,76626.0,86858.0,86444.0,83490.0,66154.0,67242.0,68863.0,55920.0,68254.0,69651.0,84525.0,90644.0,77256.0,95047.0,105473.0,102388.0,98875.0,106637.0,128187.0,126964.0,104381.0,101744.0,108707.0,116617.0,121183.0,126976.0,120165.0,134178.0,142193.0,146865.0,149139.0,146007.0,146423.0,147869.0,144656.0,146890.0,146816.0,140181.0,132818.0,117668.0,111486.0,114777.0,111799.0,120008.0,122687.0,117104.0,112615.0,112544.0,119311.0,118646.0,139981.0,83004.0,54437.0,59240.0,61368.0,76587.0
