metrics,2019-01-07,2019-01-14,2019-01-21,2019-01-28,2019-02-04,2019-02-11,2019-02-18,2019-02-25,2019-03-04,2019-03-11,2019-03-18,2019-03-25,2019-04-01,2019-04-08,2019-04-15,2019-04-22,2019-04-29,2019-05-06,2019-05-13,2019-05-20,2019-05-27,2019-06-03,2019-06-10,2019-06-17,2019-06-24,2019-07-01,2019-07-08,2019-07-15,2019-07-22,2019-07-29,2019-08-05,2019-08-12,2019-08-19,2019-08-26,2019-09-02,2019-09-09,2019-09-16,2019-09-23,2019-09-30,2019-10-07,2019-10-14,2019-10-21,2019-10-28,2019-11-04,2019-11-11,2019-11-18,2019-11-25,2019-12-02,2019-12-09,2019-12-16,2019-12-23,2019-12-30,2020-01-06,2020-01-13,2020-01-20,2020-01-27,2020-02-03,2020-02-10,2020-02-17,2020-02-24,2020-03-02,2020-03-09,2020-03-16,2020-03-23,2020-03-30,2020-04-06,2020-04-13,2020-04-20,2020-04-27,2020-05-04,2020-05-11,2020-05-18,2020-05-25,2020-06-01,2020-06-08,2020-06-15,2020-06-22,2020-06-29,2020-07-06,2020-07-13,2020-07-20,2020-07-27,2020-08-03,2020-08-10,2020-08-17,2020-08-24,2020-08-31,2020-09-07,2020-09-14,2020-09-21,2020-09-28,2020-10-05,2020-10-12,2020-10-19,2020-10-26,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21,2020-12-28,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-05,2021-04-12,2021-04-19,2021-04-26,2021-05-03,2021-05-10,2021-05-17,2021-05-24,2021-05-31,2021-06-07,2021-06-14,2021-06-21,2021-06-28,2021-07-05,2021-07-12,2021-07-19,2021-07-26,2021-08-02,2021-08-09,2021-08-23,2021-08-30,2021-09-06,2021-09-13,2021-09-20,2021-09-27,2021-10-04,2021-10-11,2021-10-18,2021-10-25,2021-11-01,2021-11-08,2021-11-15,2021-11-22,2021-11-29,2021-12-06,2021-12-13,2021-12-20,2021-12-27,2022-01-03,2022-01-10,2022-01-17,2022-01-24,2022-01-31,2022-02-07,2022-02-14,2022-02-21,2022-02-28,2022-03-07,2022-03-14,2022-03-21,2022-03-28,2022-04-04,2022-04-11,2022-04-18,2022-04-25,2022-05-02,2022-05-09,2022-05-16,2022-05-23,2022-05-30,2022-06-06,2022-06-13,2022-06-20,2022-06-27,2022-07-04,2022-07-11,2022-07-18,2022-07-25,2022-08-01,2022-08-08,2022-08-15,2022-08-22,2022-08-29,2022-09-05,2022-09-12,2022-09-19,2022-09-26,2022-10-03,2022-10-10,2022-10-17,2022-10-24,2022-10-31,2022-11-07,2022-11-14,2022-11-21,2022-11-28,2022-12-05,2022-12-12,2022-12-19,2022-12-26
count,213.0,213.0,217.0,217.0,217.0,216.0,219.0,216.0,222.0,217.0,222.0,221.0,221.0,221.0,215.0,222.0,220.0,220.0,222.0,219.0,218.0,221.0,221.0,219.0,224.0,221.0,218.0,223.0,225.0,225.0,222.0,223.0,225.0,220.0,222.0,222.0,226.0,220.0,225.0,222.0,221.0,221.0,222.0,221.0,218.0,215.0,223.0,216.0,218.0,217.0,214.0,214.0,212.0,214.0,214.0,216.0,217.0,219.0,218.0,219.0,217.0,219.0,207.0,197.0,192.0,195.0,190.0,190.0,199.0,193.0,206.0,198.0,201.0,212.0,208.0,210.0,214.0,214.0,214.0,213.0,205.0,217.0,211.0,213.0,221.0,216.0,219.0,221.0,213.0,211.0,214.0,218.0,214.0,213.0,126.0,217.0,211.0,210.0,204.0,210.0,206.0,198.0,194.0,196.0,203.0,208.0,204.0,195.0,190.0,200.0,199.0,207.0,213.0,205.0,209.0,209.0,210.0,206.0,204.0,204.0,210.0,207.0,207.0,212.0,211.0,213.0,214.0,215.0,215.0,211.0,213.0,213.0,213.0,216.0,212.0,210.0,210.0,211.0,212.0,205.0,214.0,212.0,214.0,210.0,216.0,206.0,212.0,212.0,215.0,204.0,215.0,217.0,212.0,203.0,202.0,206.0,203.0,204.0,203.0,204.0,210.0,211.0,213.0,212.0,210.0,213.0,210.0,215.0,214.0,210.0,210.0,216.0,218.0,223.0,219.0,217.0,215.0,214.0,218.0,218.0,221.0,216.0,212.0,218.0,217.0,218.0,218.0,215.0,213.0,213.0,215.0,214.0,216.0,213.0,220.0,216.0,216.0,222.0,219.0,219.0,217.0,211.0,217.0,218.0,214.0,210.0,203.0
mean,366.76056338028167,366.1126760563381,377.3640552995392,368.52073732718895,401.7972350230415,391.1759259259259,366.2374429223744,393.72222222222223,394.35135135135135,429.3041474654378,401.9864864864865,426.3891402714932,428.4434389140271,441.28054298642536,454.9441860465116,440.6126126126126,437.6181818181818,431.7590909090909,466.4234234234234,469.958904109589,468.0183486238532,484.262443438914,471.9095022624434,488.7853881278539,497.94642857142856,446.5656108597285,491.2522935779817,471.0134529147982,482.0266666666666,472.2133333333333,464.1576576576576,461.45739910313904,464.73333333333335,478.94545454545454,450.6621621621622,474.427927927928,474.283185840708,470.9772727272728,435.44,420.1576576576576,407.28054298642536,392.1674208144796,387.9594594594595,388.24886877828055,375.1238532110092,383.1488372093023,387.63677130044846,399.3842592592592,406.8532110091743,404.4377880184332,375.1355140186916,330.285046728972,343.49056603773585,335.5607476635514,336.88317757009344,333.0231481481481,346.741935483871,361.6849315068493,360.6422018348624,350.36986301369865,352.778801843318,277.2511415525114,153.7391304347826,104.02030456852792,105.0625,102.2102564102564,109.45263157894736,113.14736842105263,125.1608040201005,134.83937823834196,134.6990291262136,151.32323232323233,156.7910447761194,151.73584905660377,172.90384615384616,186.02380952380952,193.53271028037383,194.94859813084116,193.07476635514016,201.94366197183095,211.56585365853655,203.25345622119812,212.7440758293839,215.14084507042253,221.06787330316743,213.5787037037037,224.56164383561645,209.29864253393663,208.5399061032864,212.28436018957345,212.91121495327104,207.8394495412844,205.49065420560748,209.4225352112676,40.57936507936508,183.78341013824885,174.9952606635071,171.4142857142857,165.66666666666666,152.3047619047619,164.91747572815535,152.24747474747474,170.51030927835052,170.41326530612244,152.2167487684729,155.9278846153846,162.2549019607843,159.8,141.03684210526316,170.605,162.30653266331657,172.55555555555554,173.00469483568074,185.78048780487805,175.71291866028707,172.8421052631579,187.2904761904762,188.7961165048544,179.5049019607843,177.49019607843138,177.93809523809523,177.7536231884058,194.0531400966184,184.622641509434,190.957345971564,209.96713615023475,208.66822429906543,214.53023255813957,225.693023255814,222.5165876777251,231.2394366197183,231.62910798122067,234.56807511737088,221.11574074074076,233.6179245283019,234.7619047619048,223.65714285714284,209.75829383886256,229.5283018867925,232.0,222.36915887850463,219.9575471698113,218.72429906542052,231.52380952380952,217.26388888888889,221.995145631068,219.8490566037736,218.96698113207543,222.62325581395348,246.6960784313725,215.40465116279069,209.7142857142857,233.0283018867925,204.49261083743843,193.55445544554456,159.28155339805826,171.98522167487684,179.2941176470588,162.95566502463055,191.76470588235293,201.3523809523809,213.4170616113744,210.6854460093897,212.3443396226415,245.47142857142856,267.1267605633803,269.4190476190476,261.5906976744186,276.7056074766355,296.1095238095238,304.1142857142857,276.162037037037,262.1192660550459,280.8744394618834,289.75342465753425,281.705069124424,308.0232558139535,312.196261682243,317.0642201834862,307.408256880734,299.3031674208145,316.47222222222223,333.24056603773585,313.6146788990825,315.26267281106,310.58715596330273,316.9357798165138,329.1488372093023,312.037558685446,317.962441314554,316.31162790697675,318.9205607476636,321.19444444444446,304.19718309859155,314.34090909090907,344.13425925925924,331.3287037037037,315.31081081081084,316.958904109589,318.3607305936073,315.7511520737327,342.3127962085308,228.3548387096774,161.03669724770643,169.3177570093458,122.31904761904762,151.5320197044335
std,2779.896756251669,2754.0859502213225,2936.208054932441,2812.1879680049924,3052.8541192646016,2988.6708839594653,2936.562464600378,3009.0460988170657,3078.7211679266748,3218.7074139047354,3123.3495818874144,3238.6997282396715,3298.554430313504,3395.08838324259,3527.1624343077447,3453.4292516074943,3313.989893371213,3316.176071353623,3631.2067389488193,3683.779410606695,3724.452606256608,3646.466966791456,3727.927147765317,3796.9297223040335,3925.157229924483,3703.320613313655,3817.510520824745,3784.135313038604,3843.8221560242423,3834.9944040748887,3704.98645369864,3761.0775694656127,3833.7496460011935,3857.421757860524,3595.692109327168,3573.6135724739947,3592.173145960601,3544.7676166572774,3323.4703835534838,3263.631433449959,3124.872125824683,3047.501451118627,3043.0562785111506,2987.954080601441,2909.99892129136,2941.251208131116,3268.30851751618,2914.1652880501924,2955.6695384887016,2988.237735821512,3047.02259280765,2724.742153121283,2657.488146042439,2570.457079894308,2639.810777184624,2561.98215131326,2652.0045541658874,2781.339914749258,2867.69524993604,2744.2730216980417,2702.958430112999,2283.052141069151,1489.0176991277658,1059.2091435546156,1085.0019259519183,1098.207631532453,1157.889265281622,1196.8675072953952,1347.5866997731212,1448.1439917844073,1482.6835580679062,1642.842416251536,1716.173853698804,1666.1081779702286,1915.5498675465485,2048.3116082291945,2125.872709246797,2162.889043877375,2100.311956265681,2170.8919057895014,2231.439995328102,2197.7655751752727,2212.5718930262974,2229.5736052441,2282.083005802436,2159.2968867063423,2270.500702486117,2107.735336035072,1997.464218999433,2004.7529392235992,2016.7160789892848,1970.4655107216356,1989.4772516050623,2001.6038380247544,115.68414606502328,1811.0181922571803,1666.454598406107,1624.1755198906822,1649.7211666673886,1454.8586943587957,1528.7957792393138,1419.1981093105885,1646.8661878931784,1688.023707947361,1499.355314369476,1549.0427617938874,1585.4478578857063,1499.3635818291257,1280.2830431561415,1537.4908061088845,1489.113674934288,1600.0495033469222,1647.915153687058,1730.9702667357658,1640.1785297630763,1624.0048577002497,1784.6852205003822,1772.773001353053,1643.395432260259,1613.627323093671,1659.5522890156903,1620.4712014509712,1800.987995323219,1725.2259139260825,1775.4135247559243,1974.59223014018,1922.9830814808597,1984.8350334632423,2033.485991876193,2034.2726402140736,2167.246275533718,2105.5942285223105,2165.4337034140885,2051.0362804570464,2145.003483301104,2163.1626103750464,1990.0349054598855,1821.5940934521973,2044.9286211371584,1957.023011777697,1885.857434204121,1861.8578610816887,1854.5998527372367,1944.97754428059,1836.392066815258,1846.84640505884,1849.6049266508371,1822.750290017168,1846.710101375433,2154.087656367446,1698.0883696654944,1662.2875585315187,1825.9114971443005,1732.5559193166,1682.9499566895445,1412.93321898687,1503.8216382212686,1577.2358191864755,1340.487310905234,1566.3191181339555,1638.8398684642707,1766.648291861197,1772.2047322059657,1750.2034490583571,2000.1155640399115,2195.466166144711,2165.058381395468,2160.68541174119,2281.8121849088416,2492.1830810512784,2511.076186353281,2296.178306552508,2222.172193507843,2428.9126163114734,2513.58212050778,2440.7644817158557,2730.6599925263017,2669.9633288236287,2855.889953136884,2727.1731069257207,2765.688152643342,2951.9508187695315,2896.1897298575545,2862.2814638033747,2830.8429398551966,2832.211938524209,2868.7149334028727,3056.515882868916,2760.1619275881644,2738.0356352852905,2686.912025766746,2549.182315415642,2642.503200000996,2440.486608335257,2563.8983049164626,2743.926176295634,2698.7631151911896,2624.1656390459743,2570.868191831559,2538.7457628080074,2541.47863290088,2944.41690836472,1227.836752626001,459.02541372383854,499.3380143220203,384.1774387182845,464.9259418395638
min,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
q1,7.0,6.0,6.0,7.0,6.0,7.75,6.0,6.75,6.25,7.0,7.0,7.0,9.0,7.0,7.0,7.0,9.0,7.0,7.0,7.0,8.25,7.0,9.0,8.0,7.0,6.0,9.0,7.0,8.0,7.0,7.0,7.0,8.0,9.0,8.0,9.0,9.0,9.75,8.0,8.0,7.0,8.0,7.0,8.0,8.0,7.5,6.0,7.75,7.0,7.0,5.25,6.0,6.75,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,6.0,4.25,4.0,4.0,3.25,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.5,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.5,3.0,4.0,4.0,3.0,3.0,3.75,3.0,4.0,4.0,4.75,5.0,4.0,4.0,4.0,4.25,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,2.0,3.0,3.0,3.0,3.75,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,4.5,6.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.25,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,5.75,6.0,6.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,4.0,5.0
q2,21.0,21.0,20.0,20.0,21.0,21.0,20.0,23.5,21.5,26.0,24.0,25.0,25.0,28.0,26.0,26.5,24.0,25.0,26.0,27.0,24.5,27.0,26.0,24.0,27.0,22.0,26.0,23.0,25.0,24.0,23.0,22.0,23.0,24.5,24.5,25.0,28.5,24.0,27.0,23.0,24.0,21.0,21.5,26.0,23.5,25.0,18.0,23.5,26.0,21.0,16.0,18.0,23.0,20.5,20.0,22.5,21.0,20.0,22.0,20.0,19.0,14.0,9.0,6.0,7.0,5.0,6.0,6.0,7.0,8.0,6.5,6.0,8.0,8.0,7.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,11.0,11.0,11.0,11.5,12.0,12.0,14.0,14.0,12.0,13.0,13.0,13.0,9.5,12.0,10.0,10.0,8.0,9.0,9.0,7.0,7.0,7.0,8.0,8.0,9.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,11.0,10.0,10.0,9.0,10.0,10.0,10.0,12.0,9.0,10.0,10.0,11.0,10.5,10.0,12.0,12.0,10.0,12.0,13.0,13.0,13.5,12.0,12.0,13.0,13.5,13.0,12.0,13.0,10.0,13.0,13.0,13.5,8.0,8.0,7.5,9.0,11.0,11.0,12.0,11.0,13.0,10.0,12.0,14.0,14.0,14.5,17.0,14.5,15.0,15.0,17.0,15.0,15.0,17.0,14.0,15.0,15.5,14.0,14.5,12.0,14.0,15.0,13.5,14.0,13.0,13.0,12.0,15.0,14.0,16.0,16.0,15.5,18.0,17.0,18.5,17.0,18.0,20.0,19.0,18.0,15.0,17.0,16.0,17.5,11.0,13.0
q3,87.0,88.0,97.0,106.0,103.0,104.25,88.5,89.75,93.75,92.0,79.5,89.0,94.0,90.0,99.5,94.5,116.75,101.0,111.75,104.5,98.0,105.0,97.0,105.0,99.0,77.0,96.25,86.0,82.0,84.0,81.25,83.5,85.0,95.0,99.25,102.5,105.75,108.5,107.0,98.75,85.0,93.0,89.0,91.0,89.5,92.0,66.5,87.75,88.0,84.0,64.75,61.75,70.75,86.75,83.5,88.5,85.0,81.5,75.5,73.5,78.0,63.0,38.5,22.0,23.5,24.5,25.75,24.75,28.0,28.0,27.5,32.0,32.0,29.5,33.0,32.75,35.0,34.75,35.5,36.0,37.0,38.0,43.5,40.0,39.0,43.0,44.5,42.0,46.0,44.0,43.25,45.5,42.75,48.0,23.75,42.0,41.0,38.5,30.5,31.75,34.0,32.75,30.75,37.0,31.0,31.0,35.0,35.0,36.0,38.0,33.5,37.0,33.0,37.0,34.0,33.0,34.25,33.0,35.25,39.0,35.75,36.5,39.5,36.25,37.0,42.0,36.75,38.0,43.5,41.0,40.0,46.0,44.0,41.25,43.5,42.0,47.0,43.5,45.25,47.0,52.5,58.75,47.75,51.5,44.5,51.75,48.5,56.25,53.0,48.25,53.0,45.0,52.0,35.0,33.0,31.75,38.5,42.0,43.0,50.5,48.75,47.5,41.0,55.5,58.0,54.0,64.0,61.5,60.5,63.25,67.0,66.5,63.5,59.5,51.5,56.0,62.0,68.75,56.5,46.75,41.0,51.0,56.0,49.0,51.0,54.0,60.5,52.0,66.0,72.0,61.5,64.5,63.0,72.0,65.25,79.75,79.25,58.5,66.5,61.5,59.0,61.0,75.0,66.0,64.25,42.75,55.5
max,40250.0,39833.0,42963.0,41124.0,44611.0,43568.0,43211.0,43925.0,45536.0,47006.0,46142.0,47730.0,48669.0,50072.0,51338.0,51067.0,48760.0,48812.0,53713.0,54125.0,54643.0,53692.0,55035.0,55766.0,58324.0,54746.0,55953.0,56133.0,57245.0,57165.0,54836.0,55849.0,57212.0,56897.0,53243.0,52801.0,53494.0,52124.0,49473.0,48238.0,46102.0,44962.0,45007.0,44073.0,42653.0,42807.0,48428.0,42294.0,43024.0,43397.0,44018.0,39575.0,38433.0,37325.0,38374.0,37402.0,38788.0,40831.0,42072.0,40343.0,39539.0,33621.0,21418.0,14874.0,15045.0,15346.0,15972.0,16509.0,19022.0,20131.0,21292.0,23130.0,24345.0,24272.0,27640.0,29694.0,31107.0,31654.0,30733.0,31689.0,31958.0,32378.0,32143.0,32539.0,33911.0,31727.0,33589.0,31320.0,29131.0,29097.0,29472.0,29057.0,29079.0,29185.0,960.0,26666.0,24186.0,23520.0,23552.0,21063.0,21904.0,19941.0,22917.0,23623.0,21358.0,22333.0,22636.0,20929.0,17638.0,21711.0,20983.0,22994.0,24021.0,24755.0,23675.0,23441.0,25823.0,25407.0,23432.0,23011.0,24010.0,23271.0,25868.0,25073.0,25741.0,28770.0,28064.0,29040.0,29727.0,29459.0,31552.0,30644.0,31529.0,30074.0,31155.0,31279.0,28780.0,26384.0,29699.0,27929.0,27480.0,27020.0,27018.0,28080.0,26876.0,26396.0,26812.0,26410.0,26926.0,30611.0,24701.0,24248.0,26334.0,24522.0,23793.0,20221.0,21365.0,22464.0,19023.0,22279.0,23628.0,25541.0,25745.0,25368.0,28818.0,31850.0,31192.0,31510.0,33197.0,35941.0,36196.0,33579.0,32663.0,36105.0,37019.0,35798.0,39886.0,38867.0,42013.0,40114.0,40987.0,43273.0,41989.0,42113.0,41539.0,41684.0,42216.0,44702.0,40152.0,39794.0,39197.0,37028.0,38607.0,35388.0,37791.0,40054.0,39409.0,38848.0,37790.0,37289.0,37153.0,42527.0,17219.0,4069.0,4684.0,3782.0,4251.0
sum,78120.0,77982.0,81888.0,79969.0,87190.0,84494.0,80206.0,85044.0,87546.0,93159.0,89241.0,94232.0,94686.0,97523.0,97813.0,97816.0,96276.0,94987.0,103546.0,102921.0,102028.0,107022.0,104292.0,107044.0,111540.0,98691.0,107093.0,105036.0,108456.0,106248.0,103043.0,102905.0,104565.0,105368.0,100047.0,105323.0,107188.0,103615.0,97974.0,93275.0,90009.0,86669.0,86127.0,85803.0,81777.0,82377.0,86443.0,86267.0,88694.0,87763.0,80279.0,70681.0,72820.0,71810.0,72093.0,71933.0,75243.0,79209.0,78620.0,76731.0,76553.0,60718.0,31824.0,20492.0,20172.0,19931.0,20796.0,21498.0,24907.0,26024.0,27748.0,29962.0,31515.0,32168.0,35964.0,39065.0,41416.0,41719.0,41318.0,43014.0,43371.0,44106.0,44889.0,45825.0,48856.0,46133.0,49179.0,46255.0,44419.0,44792.0,45563.0,45309.0,43975.0,44607.0,5113.0,39881.0,36924.0,35997.0,33796.0,31984.0,33973.0,30145.0,33079.0,33401.0,30900.0,32433.0,33100.0,31161.0,26797.0,34121.0,32299.0,35719.0,36850.0,38085.0,36724.0,36124.0,39331.0,38892.0,36619.0,36208.0,37367.0,36795.0,40169.0,39140.0,40292.0,44723.0,44655.0,46124.0,48524.0,46951.0,49254.0,49337.0,49963.0,47761.0,49527.0,49300.0,46968.0,44259.0,48660.0,47560.0,47587.0,46631.0,46807.0,48620.0,46929.0,45731.0,46608.0,46421.0,47864.0,50326.0,46312.0,45508.0,49402.0,41512.0,39098.0,32812.0,34913.0,36576.0,33080.0,39120.0,42284.0,45031.0,44876.0,45017.0,51549.0,56898.0,56578.0,56242.0,59215.0,62183.0,63864.0,59651.0,57142.0,62635.0,63456.0,61130.0,66225.0,66810.0,69120.0,67015.0,66146.0,68358.0,70647.0,68368.0,68412.0,67708.0,69092.0,70767.0,66464.0,67726.0,68007.0,68249.0,69378.0,64794.0,69155.0,74333.0,71567.0,69999.0,69414.0,69721.0,68518.0,72228.0,49553.0,35106.0,36234.0,25687.0,30761.0
