metrics,2019-01-07,2019-01-14,2019-01-21,2019-01-28,2019-02-04,2019-02-11,2019-02-18,2019-02-25,2019-03-04,2019-03-11,2019-03-18,2019-03-25,2019-04-01,2019-04-08,2019-04-15,2019-04-22,2019-04-29,2019-05-06,2019-05-13,2019-05-20,2019-05-27,2019-06-03,2019-06-10,2019-06-17,2019-06-24,2019-07-01,2019-07-08,2019-07-15,2019-07-22,2019-07-29,2019-08-05,2019-08-12,2019-08-19,2019-08-26,2019-09-02,2019-09-09,2019-09-16,2019-09-23,2019-09-30,2019-10-07,2019-10-14,2019-10-21,2019-10-28,2019-11-04,2019-11-11,2019-11-18,2019-11-25,2019-12-02,2019-12-09,2019-12-16,2019-12-23,2019-12-30,2020-01-06,2020-01-13,2020-01-20,2020-01-27,2020-02-03,2020-02-10,2020-02-17,2020-02-24,2020-03-02,2020-03-09,2020-03-16,2020-03-23,2020-03-30,2020-04-06,2020-04-13,2020-04-20,2020-04-27,2020-05-04,2020-05-11,2020-05-18,2020-05-25,2020-06-01,2020-06-08,2020-06-15,2020-06-22,2020-06-29,2020-07-06,2020-07-13,2020-07-20,2020-07-27,2020-08-03,2020-08-10,2020-08-17,2020-08-24,2020-08-31,2020-09-07,2020-09-14,2020-09-21,2020-09-28,2020-10-05,2020-10-12,2020-10-19,2020-10-26,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21,2020-12-28,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-05,2021-04-12,2021-04-19,2021-04-26,2021-05-03,2021-05-10,2021-05-17,2021-05-24,2021-05-31,2021-06-07,2021-06-14,2021-06-21,2021-06-28,2021-07-05,2021-07-12,2021-07-19,2021-07-26,2021-08-02,2021-08-09,2021-08-23,2021-08-30,2021-09-06,2021-09-13,2021-09-20,2021-09-27,2021-10-04,2021-10-11,2021-10-18,2021-10-25,2021-11-01,2021-11-08,2021-11-15,2021-11-22,2021-11-29,2021-12-06,2021-12-13,2021-12-20,2021-12-27,2022-01-03,2022-01-10,2022-01-17,2022-01-24,2022-01-31,2022-02-07,2022-02-14,2022-02-21,2022-02-28,2022-03-07,2022-03-14,2022-03-21,2022-03-28,2022-04-04,2022-04-11,2022-04-18,2022-04-25,2022-05-02,2022-05-09,2022-05-16,2022-05-23,2022-05-30,2022-06-06,2022-06-13,2022-06-20,2022-06-27,2022-07-04,2022-07-11,2022-07-18,2022-07-25,2022-08-01,2022-08-08,2022-08-15,2022-08-22,2022-08-29,2022-09-05,2022-09-12,2022-09-19,2022-09-26,2022-10-03,2022-10-10,2022-10-17,2022-10-24,2022-10-31,2022-11-07,2022-11-14,2022-11-21,2022-11-28,2022-12-05,2022-12-12,2022-12-19,2022-12-26
count,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,38.0,38.0,40.0,40.0,40.0,38.0,40.0,40.0,40.0,38.0,38.0,38.0,38.0,38.0,40.0,40.0,38.0,38.0,40.0,38.0,38.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,43.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,26.0,28.0,28.0,28.0
mean,9947.9,10395.05,10498.475,9731.225,10162.775,10974.7,11387.7,11294.475,11800.25,12666.3,12780.45,12728.55,11828.05,11939.2,12332.475,12165.1,11669.775,11860.875,11989.675,12562.55,12783.525,13380.325,13837.35,14398.875,14642.525,13516.575,14674.5,14483.175,14522.025,13980.95,13392.25,12465.575,11856.025,11463.375,10683.46153846154,11553.6,12005.75,11735.75,11238.15,11446.675,11315.15,10571.65,10017.975,10689.375,10371.225,10904.575,11671.55,11272.157894736842,10684.85,12594.6,12805.875,12720.425,10016.375,10053.325,10016.45,9089.125,9601.075,10897.75,11371.35,10241.7,10117.3,8886.325,4373.575,1775.975,1367.157894736842,1092.725,1149.842105263158,1235.7631578947369,1385.475,1548.275,1727.225,2217.184210526316,2404.1,2732.35,3250.625,3852.157894736842,4194.131578947368,4351.394736842105,4571.684210526316,4328.5,4029.475,4083.925,4370.868421052632,4335.210526315789,3931.5,3914.657894736842,4255.631578947368,4160.65,3939.475,4161.4,4345.375,4796.275,5040.025,4819.775,1507.2790697674418,4394.125,4489.175,5148.9,5151.775,4387.75,4113.575,5096.875,6027.875,6495.725,5001.4,4373.825,4217.9,3836.675,3768.875,4986.1,5537.95,4999.95,5201.575,6082.375,6607.175,6778.575,7673.0,7040.95,5792.0,5608.55,5713.95,6006.9,6464.775,6458.6,7279.825,7825.625,7741.825,8219.35,8707.525,8762.55,8998.475,8971.075,9066.1,8774.025,8071.25,7388.675,6339.8421052631575,6189.575,6229.8,5965.2,6216.75,6240.325,7370.736842105263,7274.275,6804.3,6467.525,6734.125,6803.275,7741.125,8370.375,6844.6,6520.575,8105.5,8622.921052631578,8217.475,7022.25,5996.0,5991.2,5482.0,5725.525,6271.3,7701.425,8243.2,7585.975,10469.5,11544.15,10484.65,10109.175,10391.05,10419.475,10242.975,9378.4,9414.15,9643.775,10112.525,10722.9,11152.95,11440.775,12052.05,12871.921052631578,12209.175,11945.475,12176.475,12363.675,12171.925,11335.175,10682.95,10096.475,9221.225,9208.325,9358.05,9272.65,9518.75,9093.875,10248.75,10966.95,10406.9,9729.75,9739.875,10017.1,11436.175,11858.925,6895.3,5657.384615384615,6532.357142857143,6267.142857142857,6365.5
std,14154.258675621631,14675.688036026428,14827.269636421732,13999.76695499717,14486.004587076271,15535.422480617708,15792.927753773123,15645.34341960277,16200.403780580476,17216.161490639977,17389.499268752643,17375.683462595298,16193.065407126818,16116.11578704802,16462.044383411507,16411.446906945384,16026.133130044913,16452.046100148465,16504.720649322713,17173.44076444041,17539.743617088738,18192.87606192289,18655.05456706037,19326.05747023817,19640.483209873117,18189.32107229827,19758.70128738482,19436.95516922959,19443.259394225905,18665.948341421485,18002.668169411685,17116.70417725523,16423.726408863648,16134.13401915569,15771.11857970324,16607.889894835356,17144.88626122251,16805.575333646622,15893.41630918045,16019.965996614734,15480.904161877326,14589.28604701198,13868.301838046138,14730.656562190468,14399.50008122166,14938.582809396785,15739.176171627863,14992.399700688551,14877.29100056138,16897.20120778617,16982.25664867335,16780.31073623153,13903.387100119497,14009.071810588694,13990.34040558351,12919.43734026767,13632.513048586155,15181.994598443893,15684.768382341268,14101.925295359404,13807.209022268598,12259.166649611574,6363.909320565828,2989.8265491882253,2502.993705127714,2236.027097073323,2436.9960743274373,2600.1325687014864,2914.696738304356,3082.8954587555163,3181.307935243955,3717.721780260007,4058.65705211301,4440.058561348615,5166.461754518022,5778.516065595162,6139.379228109579,6151.365823020136,6440.715245262343,6154.620280512625,5983.587616855773,6081.344400063153,6370.673578757896,6312.204271511784,6027.482014564409,5843.398581981975,6222.368304757996,6219.363688905143,6051.02473198146,6328.079547459432,6431.6669119308135,6916.9361417539885,7174.361708363743,6853.693529722421,3620.249717285242,6499.919104772746,6779.313700562988,7572.946988610689,7477.150847363639,6640.246735259782,6437.910311096136,7545.963632155969,8524.776198844436,8960.68335302644,7311.837338986343,6652.826651564674,6488.398240963122,6072.238624865437,5997.714775015222,7494.5291561108015,8103.612363061871,7372.654004790878,7620.7434723361375,8801.900487343775,9358.119926477397,9355.171899878807,10481.995110053213,9823.556593784251,8322.306605188805,8129.879407280471,8311.375297191747,8715.92357022773,9286.12168635098,9189.003935306422,10208.046745249809,10747.4542261388,10513.40991278428,11025.975183454471,11625.54704748147,11583.27087225366,11963.3007215068,11951.066205814828,12113.084033814692,11661.735729732867,10754.594783697732,10001.30596956192,8611.096121100256,8736.715271646462,8895.514015502422,8696.831000206561,9021.44490033296,8943.977109356456,9913.024328341058,10155.645177620076,9637.755694702437,9273.063388910032,9639.205489621738,9851.471385579793,11093.521010926685,11657.226816910506,10006.734608662566,9689.670412979976,11649.572744448831,11572.92134013492,11345.161225391565,10072.82524915428,8997.54110854738,9035.255236557714,8524.30165874195,8846.77817926985,9634.867878486835,11336.920089796697,11867.722632072038,10971.06579327572,14835.793131685068,16131.592174348049,14753.693650604831,14062.177195634047,14449.472638677767,14463.586961546946,14404.258297528657,13618.342070860694,13744.699952979545,13860.556399990142,14275.095067243728,15135.561534482378,15587.635032129529,16090.268636484314,16961.26935251952,17116.89380191486,16842.84359463108,16594.989504848312,16977.172426205212,17228.001462121083,17042.48848957533,15821.374632954054,15083.835477602655,14670.897322787358,13502.13306127914,13635.710366510391,13840.342584966267,13888.047186108986,14239.721867332044,13762.179585105418,14975.96376377314,15751.924094030628,15104.666595595632,14328.601400337144,14337.361764585205,14724.631813428328,16328.218617626357,16571.619409883442,9639.970675559183,9688.613907373638,11593.014797279742,10704.937672468186,10756.017810888385
min,2.0,11.0,9.0,9.0,13.0,12.0,13.0,12.0,10.0,13.0,18.0,15.0,16.0,12.0,3.0,7.0,9.0,6.0,1.0,12.0,10.0,3.0,2.0,7.0,4.0,3.0,7.0,2.0,9.0,8.0,4.0,1.0,3.0,3.0,3.0,5.0,3.0,7.0,12.0,2.0,5.0,1.0,7.0,2.0,9.0,1.0,2.0,24.0,5.0,6.0,3.0,8.0,11.0,7.0,8.0,5.0,8.0,1.0,13.0,8.0,19.0,21.0,4.0,2.0,3.0,1.0,7.0,10.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,4.0,3.0,2.0,3.0,2.0,1.0,1.0,8.0,10.0,2.0,14.0,19.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,5.0,2.0,2.0,3.0,5.0,6.0,4.0,3.0,7.0,1.0,5.0,1.0,2.0,2.0,5.0,5.0,1.0,5.0,2.0,4.0,5.0,7.0,7.0,4.0,4.0,4.0,3.0,6.0,1.0,3.0,2.0,2.0,6.0,4.0,2.0,4.0,1.0,2.0,9.0,8.0,9.0,4.0,5.0,1.0,4.0,5.0,8.0,1.0,2.0,3.0,6.0,3.0,6.0,2.0,3.0,2.0,2.0,4.0,2.0,3.0,5.0,2.0,5.0,5.0,3.0,1.0,2.0,3.0,3.0,4.0,3.0,1.0,3.0,10.0,6.0,1.0,4.0,3.0,5.0,5.0,4.0,3.0,2.0,17.0,2.0,2.0,1.0,3.0,5.0,1.0,2.0,1.0,3.0,2.0,4.0,3.0,1.0,3.0,5.0,4.0,5.0,1.0,3.0,3.0,3.0,1.0,1.0,10.0,2.0,3.0,3.0
q1,138.5,135.0,172.0,168.25,153.25,159.75,137.5,156.25,143.5,132.75,135.25,156.5,144.5,217.0,154.25,151.75,135.0,138.25,158.25,177.25,165.0,179.25,177.0,186.75,174.75,147.75,178.25,161.25,173.0,190.75,185.0,206.25,185.25,172.0,171.5,193.75,199.0,191.75,239.5,206.0,223.5,191.25,180.75,171.25,206.5,233.25,169.25,269.75,225.25,199.25,127.0,134.0,143.0,147.0,132.75,122.5,164.75,195.75,198.0,205.0,199.0,167.5,89.5,78.75,67.75,48.0,53.75,53.25,42.5,60.0,67.25,99.25,76.75,84.75,74.25,110.0,103.25,83.0,99.75,100.25,76.0,80.5,91.25,96.5,77.25,96.75,92.25,94.25,89.0,79.25,98.25,91.75,77.75,93.5,33.0,82.5,72.75,105.25,87.75,88.0,81.0,91.0,74.5,64.0,81.5,84.75,83.75,74.0,71.25,76.0,79.75,91.25,79.0,73.75,77.75,74.75,66.5,76.0,73.5,75.75,76.5,81.75,82.0,80.75,81.75,86.0,85.75,88.75,92.75,78.75,91.25,101.0,82.5,92.0,82.0,87.25,88.5,76.75,94.5,89.0,86.25,92.75,124.75,90.5,88.0,86.25,83.0,99.75,101.5,81.5,98.0,90.5,95.5,79.25,64.75,73.25,74.0,87.75,86.75,74.25,81.5,87.25,88.5,88.0,106.0,107.5,100.25,103.25,114.25,110.25,112.5,117.0,108.25,121.5,109.25,116.5,101.75,117.75,123.5,134.25,113.75,110.75,118.75,92.75,117.25,108.75,92.0,101.75,119.75,125.0,115.0,118.25,129.75,127.5,129.0,139.75,122.0,127.0,139.0,153.0,144.5,126.75,136.5,108.75,72.25,61.25,53.25
q2,2627.0,2716.5,2859.5,2701.5,2805.5,3154.0,3274.5,3235.5,3465.5,3842.5,3865.5,3849.5,3644.5,3231.5,3411.5,3524.0,3417.5,3608.0,3486.5,3600.0,3696.0,4168.5,4366.5,4390.5,4716.0,4642.0,4918.0,4912.0,5027.5,4867.5,4523.0,3855.0,3550.0,3258.0,2413.0,2823.5,2922.0,2995.5,3105.0,3124.0,3159.0,2909.0,2685.5,2923.5,2899.5,3038.5,3279.0,3288.0,3246.5,3642.0,3761.0,4002.5,3071.5,3085.0,3083.5,2861.0,2903.0,3125.0,3454.0,3203.0,3182.0,3072.0,1786.5,572.0,383.0,276.0,324.5,370.5,394.0,597.5,883.5,1012.0,1067.0,1202.0,1389.0,1504.0,1662.0,1934.0,2266.0,2116.0,2097.5,2001.0,2129.0,2063.0,1602.0,1429.5,1572.5,1640.0,1477.5,1514.5,1666.0,1950.0,2107.5,2030.5,114.0,1681.0,1679.0,1803.0,1927.0,1407.0,1397.5,1704.0,2384.0,2851.0,1723.5,1406.5,1406.0,1277.0,1318.0,1943.5,2118.0,2079.0,2229.5,2577.5,2739.5,3002.5,3259.0,2924.5,2309.0,2179.5,2128.5,2318.5,2501.5,2480.5,3221.5,3838.5,4183.5,4642.5,4916.5,5244.5,4966.5,4713.0,4855.5,4682.5,4405.0,3464.0,2790.5,2266.5,2212.0,2023.0,2092.0,2171.5,2970.5,2931.0,2668.5,2384.0,2377.0,2416.5,2862.0,3364.5,2504.0,2383.5,3057.0,4526.0,3813.5,2568.0,2235.0,2206.5,1988.5,2043.0,2538.0,2972.5,3274.0,3302.5,4324.5,5057.5,4919.5,4237.0,4116.0,4077.5,4178.0,3592.5,3757.0,3660.5,3824.0,4224.0,4790.0,4871.5,5132.5,5823.0,5399.5,5472.5,5445.0,5435.0,5441.0,5016.0,4566.0,3433.0,3233.5,3203.5,3412.5,3006.5,3046.5,2369.5,3435.0,3900.0,3669.5,3454.0,3327.5,3294.0,4046.0,4714.0,2652.5,1226.0,806.5,865.0,970.5
q3,13330.75,13268.5,13327.25,12496.0,12378.0,13282.75,13830.5,13887.75,14122.5,15432.5,16134.5,15486.0,13457.75,14010.75,14819.25,14216.0,13055.75,13182.5,13545.25,14262.75,14151.25,15611.0,16588.75,17329.25,17279.0,15953.75,16846.75,16604.5,16617.75,16270.5,15822.25,14550.75,13276.75,12395.25,12727.5,12467.75,12843.5,12475.5,11837.0,12150.5,12403.75,11712.25,11231.0,12041.5,11673.5,12340.75,13744.75,17547.0,12320.25,15264.0,16468.0,16491.25,13076.25,12250.75,12196.75,11303.75,11883.0,12607.0,13957.25,12432.25,11845.25,10675.0,5671.25,1732.5,1232.0,841.5,900.25,1050.25,952.0,1127.25,1322.75,2462.75,2430.25,2820.75,3326.0,5117.25,5465.75,5372.25,5351.25,4744.75,3236.0,3246.75,4517.5,4718.0,3131.5,4084.25,4542.0,3353.5,3107.5,3430.5,3730.25,4096.75,4351.25,4239.75,530.0,4101.25,4154.5,5232.0,5525.0,4775.5,4739.25,6031.0,7143.0,7914.25,6370.75,5237.0,4829.25,4500.5,4274.25,5521.75,6341.0,5611.0,5810.5,6847.0,8148.0,8363.0,9121.25,7994.0,6691.5,6112.75,6219.5,6367.0,6860.0,7056.25,7932.75,8349.25,8564.75,9474.75,9609.25,10008.5,10099.5,9892.5,10186.75,10248.0,9806.5,8834.0,8293.5,7048.25,6651.5,6099.5,6354.5,6497.0,9408.25,7665.5,7432.0,7188.0,7600.5,7877.5,9335.75,10875.75,9061.0,8526.5,11247.0,13953.75,11389.0,10242.75,8283.75,8258.0,7408.5,7848.75,8343.75,9986.75,11147.25,10378.0,14160.75,16909.75,15100.5,12811.5,13066.75,13888.75,13502.25,11981.25,11923.5,12237.5,12725.0,13447.75,14442.25,15020.0,15463.75,18141.0,16165.25,15723.5,15608.25,16134.0,16323.25,15522.0,14580.25,13321.75,11722.0,11666.0,11511.0,11459.25,11527.75,11673.75,12608.75,13630.75,13074.0,12409.25,12766.25,13740.5,15820.75,16856.0,9779.0,7486.0,10090.0,9880.0,10030.0
max,65605.0,67042.0,67232.0,66190.0,65481.0,69986.0,67355.0,68914.0,70323.0,74205.0,75045.0,73254.0,68574.0,67415.0,69850.0,68465.0,66501.0,69876.0,68869.0,68999.0,71014.0,74092.0,75475.0,76838.0,77961.0,75545.0,78416.0,75937.0,78327.0,76665.0,76079.0,72384.0,68323.0,68612.0,70251.0,73268.0,74125.0,72502.0,68531.0,67457.0,61766.0,59905.0,58773.0,61231.0,61210.0,62184.0,63055.0,62720.0,62776.0,69593.0,69876.0,68713.0,61556.0,61434.0,60830.0,58954.0,60502.0,63449.0,65402.0,60450.0,58396.0,53002.0,31036.0,15840.0,13551.0,12738.0,13832.0,14904.0,16867.0,17767.0,17861.0,19994.0,21747.0,23607.0,26742.0,28397.0,28470.0,26852.0,27714.0,26620.0,26866.0,26528.0,28605.0,28355.0,28096.0,26970.0,27956.0,28013.0,27712.0,28916.0,29559.0,30411.0,30943.0,30600.0,14948.0,30384.0,32168.0,35185.0,33990.0,32425.0,32733.0,35878.0,38141.0,38363.0,35000.0,33216.0,32896.0,31900.0,31496.0,36244.0,37578.0,35637.0,36537.0,40764.0,42587.0,42749.0,45261.0,43022.0,39232.0,38230.0,38068.0,38982.0,40657.0,40397.0,44266.0,46125.0,45440.0,47155.0,48353.0,48816.0,49702.0,49924.0,50951.0,49867.0,48947.0,45912.0,39420.0,40262.0,40763.0,39726.0,40319.0,40238.0,42888.0,45346.0,44116.0,43179.0,45022.0,46790.0,51263.0,52994.0,48687.0,47103.0,55205.0,54623.0,52614.0,48172.0,45574.0,46206.0,44523.0,45968.0,48327.0,54111.0,55837.0,53603.0,69810.0,77000.0,71499.0,65133.0,68157.0,70013.0,68269.0,64245.0,65891.0,65875.0,67203.0,69382.0,71568.0,75574.0,80502.0,77984.0,77142.0,77539.0,78638.0,79467.0,80228.0,76352.0,73733.0,71642.0,65598.0,66426.0,66718.0,66330.0,67440.0,65781.0,70338.0,71868.0,71365.0,69479.0,70501.0,72148.0,76668.0,75591.0,37812.0,30400.0,37165.0,34019.0,34214.0
sum,397916.0,415802.0,419939.0,389249.0,406511.0,438988.0,455508.0,451779.0,472010.0,506652.0,511218.0,509142.0,473122.0,477568.0,493299.0,486604.0,466791.0,474435.0,479587.0,502502.0,511341.0,535213.0,553494.0,575955.0,585701.0,540663.0,586980.0,579327.0,580881.0,559238.0,535690.0,498623.0,474241.0,458535.0,416655.0,462144.0,480230.0,469430.0,449526.0,457867.0,452606.0,422866.0,400719.0,427575.0,414849.0,436183.0,466862.0,428342.0,427394.0,503784.0,512235.0,508817.0,400655.0,402133.0,400658.0,363565.0,384043.0,435910.0,454854.0,409668.0,404692.0,355453.0,174943.0,71039.0,51952.0,43709.0,43694.0,46959.0,55419.0,61931.0,69089.0,84253.0,96164.0,109294.0,130025.0,146382.0,159377.0,165353.0,173724.0,164483.0,161179.0,163357.0,166093.0,164738.0,157260.0,148757.0,161714.0,166426.0,157579.0,166456.0,173815.0,191851.0,201601.0,192791.0,64813.0,175765.0,179567.0,205956.0,206071.0,175510.0,164543.0,203875.0,241115.0,259829.0,200056.0,174953.0,168716.0,153467.0,150755.0,199444.0,221518.0,199998.0,208063.0,243295.0,264287.0,271143.0,306920.0,281638.0,231680.0,224342.0,228558.0,240276.0,258591.0,258344.0,291193.0,313025.0,309673.0,328774.0,348301.0,350502.0,359939.0,358843.0,362644.0,350961.0,322850.0,295547.0,240914.0,247583.0,249192.0,238608.0,248670.0,249613.0,280088.0,290971.0,272172.0,258701.0,269365.0,272131.0,309645.0,334815.0,273784.0,260823.0,324220.0,327671.0,328699.0,280890.0,239840.0,239648.0,219280.0,229021.0,250852.0,308057.0,329728.0,303439.0,418780.0,461766.0,419386.0,404367.0,415642.0,416779.0,409719.0,375136.0,376566.0,385751.0,404501.0,428916.0,446118.0,457631.0,482082.0,489133.0,488367.0,477819.0,487059.0,494547.0,486877.0,453407.0,427318.0,403859.0,368849.0,368333.0,374322.0,370906.0,380750.0,363755.0,409950.0,438678.0,416276.0,389190.0,389595.0,400684.0,457447.0,474357.0,275812.0,147092.0,182906.0,175480.0,178234.0
